#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1     1.00229     1.00229           0
           2     1.12477     1.06353   0.0433032
           3     1.18456     1.10387   0.0438016
           4     1.18844     1.12501   0.0376089
           5      1.1934     1.13869   0.0324789
           6     1.17932     1.14546   0.0277629
           7     1.19255     1.15219   0.0245981
           8     1.17844     1.15547   0.0217411
           9     1.16025       1.156   0.0193319
          10     1.18536     1.15894   0.0176202
          11     1.18354     1.16117   0.0161597
          12      1.1816     1.16288   0.0149024
          13     1.18385     1.16449   0.0138432
          14     1.21632     1.16819   0.0133403
          15     1.22355     1.17188   0.0129514
          16     1.24833     1.17666   0.0129934
          17     1.24898     1.18091   0.0129068
          18     1.22746      1.1835    0.012446
          19     1.18422     1.18354    0.011791
          20     1.23373     1.18605   0.0114654
          21     1.22781     1.18804   0.0110906
          22     1.21934     1.18946   0.0106774
          23     1.23119     1.19127   0.0103661
          24     1.22987     1.19288   0.0100582
          25     1.22875     1.19432  0.00975762
          26     1.27486     1.19741  0.00986182
          27      1.2342     1.19878  0.00959023
          28     1.18195     1.19818  0.00926653
          29     1.16486     1.19703  0.00901792
          30     1.20181     1.19719  0.00871873
          31     1.14765     1.19559  0.00858265
          32     1.16287     1.19457  0.00837511
          33     1.18501     1.19428  0.00812632
          34     1.22037     1.19504  0.00792346
          35      1.2045     1.19531  0.00770168
          36     1.21338     1.19582  0.00750407
          37     1.23058     1.19676  0.00735985
          38     1.21929     1.19735  0.00719002
          39     1.21009     1.19768  0.00701307
          40     1.19484      1.1976   0.0068381
          41     1.18547     1.19731  0.00667772
          42     1.20611     1.19752  0.00652202
          43     1.18946     1.19733  0.00637303
          44      1.2108     1.19764  0.00623553
          45      1.2577     1.19897   0.0062382
          46     1.22708     1.19958  0.00613244
          47      1.2355     1.20035  0.00604938
          48     1.18588     1.20005  0.00593086
          49      1.1931      1.1999  0.00581152
          50     1.20808     1.20007  0.00569759
          51     1.21545     1.20037  0.00559384
          52     1.20523     1.20046  0.00548705
          53     1.22005     1.20083  0.00539595
          54      1.2078     1.20096  0.00529757
          55     1.22669     1.20143  0.00522186
          56     1.19319     1.20128  0.00513068
          57      1.1995     1.20125  0.00504076
          58     1.23075     1.20176  0.00497945
          59      1.2392     1.20239  0.00493532
          60     1.19599     1.20229  0.00485422
          61     1.19539     1.20217  0.00477595
          62     1.17119     1.20167  0.00472499
          63     1.16442     1.20108  0.00468685
          64     1.16975     1.20059  0.00463912
          65     1.21075     1.20075  0.00457038
          66     1.21644     1.20099  0.00450732
          67     1.23452     1.20149  0.00446774
          68     1.20668     1.20156  0.00440269
          69     1.22392     1.20189  0.00435079
          70       1.219     1.20213   0.0042955
          71     1.22687     1.20248  0.00424911
          72     1.21907     1.20271  0.00419634
          73     1.21205     1.20284   0.0041408
          74     1.21307     1.20298  0.00408715
          75     1.21651     1.20316  0.00403663
          76     1.19502     1.20305  0.00398494
          77     1.18675     1.20284   0.0039388
          78     1.19018     1.20268  0.00389165
          79     1.17492     1.20232  0.00385822
          80     1.15737     1.20176   0.0038507
          81     1.18607     1.20157  0.00380803
          82     1.20872     1.20166  0.00376259
          83     1.21106     1.20177  0.00371896
          84     1.20594     1.20182  0.00367502
          85     1.19618     1.20175  0.00363238
          86     1.20582      1.2018  0.00359045
          87     1.20687     1.20186  0.00354965
          88     1.19307     1.20176  0.00351072
          89     1.23826     1.20217  0.00349515
          90     1.24882     1.20269  0.00349454
          91     1.24092     1.20311   0.0034813
          92     1.19607     1.20303   0.0034443
          93     1.20647     1.20307  0.00340746
          94     1.20358     1.20307  0.00337122
          95     1.22258     1.20328  0.00334198
          96     1.20827     1.20333  0.00330758
          97     1.21189     1.20342  0.00327465
          98     1.22862     1.20368  0.00325132
          99      1.2215     1.20386  0.00322346
         100     1.22491     1.20407  0.00319809
         101     1.21875     1.20421  0.00316973
         102     1.21452     1.20431  0.00314027
         103     1.25034     1.20476  0.00314142
         104     1.25691     1.20526  0.00315098
         105     1.27327     1.20591  0.00318685
         106     1.24633     1.20629  0.00317952
         107     1.20698      1.2063  0.00314981
         108     1.18467      1.2061    0.003127
         109     1.20646      1.2061  0.00309832
