#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1   -0.397543   -0.397543           0
           2   -0.377082   -0.387313  0.00723384
           3    -0.33999   -0.371538   0.0137528
           4   -0.368898   -0.370878   0.0103304
           5   -0.402057   -0.377114  0.00997032
           6   -0.447429   -0.388833   0.0135455
           7   -0.446024   -0.397003    0.013857
           8   -0.421338   -0.400045   0.0124543
           9   -0.416274   -0.401848   0.0112003
          10    -0.44238   -0.405902   0.0107887
          11    -0.44169   -0.409155   0.0102868
          12   -0.485994   -0.415558   0.0112473
          13   -0.475817   -0.420194    0.011297
          14   -0.425823   -0.420596   0.0104972
          15   -0.387175   -0.418368   0.0100311
          16   -0.375129   -0.415665  0.00976135
          17   -0.372717   -0.413139  0.00950846
          18   -0.398216    -0.41231  0.00901628
          19   -0.444237    -0.41399  0.00869691
          20   -0.447716   -0.415676  0.00842396
          21    -0.40637   -0.415233  0.00803447
          22   -0.416283   -0.415281   0.0076694
          23   -0.457848   -0.417132  0.00755596
          24   -0.382973   -0.415709  0.00737395
          25    -0.37983   -0.414273   0.0072173
          26   -0.410086   -0.414112  0.00694151
          27   -0.424362   -0.414492  0.00669479
          28    -0.37393   -0.413043  0.00661056
          29   -0.418667   -0.413237  0.00638546
          30   -0.386276   -0.412338  0.00623553
          31   -0.400189   -0.411947  0.00604669
          32    -0.43189    -0.41257  0.00588976
          33   -0.421283   -0.412834   0.0057172
          34   -0.372728   -0.411654  0.00566943
          35   -0.408248   -0.411557  0.00550828
          36   -0.402222   -0.411298  0.00536137
          37    -0.40236   -0.411056  0.00522191
          38   -0.404422   -0.410882  0.00508741
          39   -0.408226   -0.410813  0.00495742
          40   -0.439422   -0.411529   0.0048848
          41   -0.442078   -0.412274  0.00482215
          42   -0.395794   -0.411881  0.00472327
          43   -0.368766   -0.410879  0.00471866
          44   -0.398592   -0.410599  0.00461967
          45   -0.420725   -0.410824  0.00452249
          46   -0.390856    -0.41039  0.00444496
          47   -0.339281   -0.408877  0.00460067
          48   -0.368638   -0.408039  0.00458057
          49    -0.34378   -0.406728  0.00467104
          50    -0.42779   -0.407149  0.00459658
          51   -0.417877   -0.407359  0.00451126
          52   -0.408296   -0.407377  0.00442454
          53   -0.391242   -0.407073  0.00435152
          54   -0.431004   -0.407516  0.00429344
          55    -0.41671   -0.407683  0.00421863
          56   -0.378178   -0.407156  0.00417607
          57   -0.370796   -0.406518  0.00415124
          58   -0.393237   -0.406289  0.00408598
          59   -0.341246   -0.405187  0.00416279
          60   -0.403693   -0.405162  0.00409349
          61   -0.413688   -0.405302  0.00402877
          62   -0.439412   -0.405852  0.00400118
          63   -0.416345   -0.406019  0.00394113
          64   -0.407714   -0.406045  0.00387964
          65   -0.389037   -0.405783  0.00382877
          66    -0.37312   -0.405288   0.0038026
          67   -0.388563   -0.405039  0.00375403
          68   -0.427399   -0.405368   0.0037132
          69   -0.404685   -0.405358   0.0036594
          70   -0.353431   -0.404616  0.00368154
          71   -0.406334    -0.40464  0.00362977
          72   -0.418991   -0.404839  0.00358483
          73   -0.402941   -0.404813  0.00353581
          74   -0.411174   -0.404899  0.00348908
          75   -0.403012   -0.404874  0.00344265
          76   -0.437583   -0.405305  0.00342414
          77   -0.426398   -0.405579  0.00339061
          78   -0.360608   -0.405002  0.00339581
          79    -0.38159   -0.404706  0.00336573
          80   -0.454665    -0.40533   0.0033811
          81   -0.438151   -0.405735  0.00336355
          82   -0.393044   -0.405581  0.00332609
          83   -0.452051    -0.40614  0.00333281
          84   -0.433179   -0.406462  0.00330864
          85   -0.378202    -0.40613  0.00328638
          86    -0.37767   -0.405799  0.00326478
          87   -0.387835   -0.405592  0.00323378
          88   -0.391724   -0.405435  0.00320087
          89   -0.401244   -0.405388  0.00316525
          90     -0.4338   -0.405703  0.00314578
          91   -0.516536   -0.406921  0.00333868
          92   -0.490083   -0.407825  0.00342257
          93   -0.473408   -0.408531  0.00345765
          94    -0.43905   -0.408855  0.00343608
          95   -0.396313   -0.408723  0.00340244
          96   -0.420976   -0.408851  0.00336939
          97   -0.429412   -0.409063  0.00334132
          98   -0.334953   -0.408307  0.00339172
          99    -0.38108   -0.408032  0.00336859
         100    -0.37059   -0.407657  0.00335565
         101   -0.456777   -0.408143  0.00335748
         102   -0.398301   -0.408047  0.00332595
         103    -0.44461   -0.408402  0.00331255
         104   -0.446825   -0.408771  0.00330124
         105   -0.471857   -0.409372  0.00332402
         106   -0.427573   -0.409544  0.00329709
         107   -0.391086   -0.409371  0.00327079
         108   -0.449146    -0.40974  0.00326117
         109   -0.400888   -0.409659  0.00323226
         110    -0.37426   -0.409337  0.00321886
         111   -0.350419   -0.408806  0.00323333
         112   -0.466611   -0.409322  0.00324539
         113   -0.384896   -0.409106  0.00322386
         114   -0.388174   -0.408922  0.00320081
         115   -0.399613   -0.408841    0.003174
         116    -0.37167   -0.408521  0.00316277
         117     -0.3799   -0.408276  0.00314518
         118   -0.399683   -0.408203  0.00311937
         119   -0.362612    -0.40782   0.0031166
         120   -0.380675   -0.407594  0.00309882
