#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
           1   0.0498925   0.0498925           0
           2   0.0498893   0.0498909 1.12157e-06
           3   0.0499367   0.0499061 1.24871e-05
           4   0.0499028   0.0499053 9.39374e-06
           5   0.0499135   0.0499069 7.65671e-06
           6   0.0498848   0.0499032 7.21766e-06
           7    0.049886   0.0499008 6.59401e-06
           8   0.0499233   0.0499036  6.3417e-06
           9    0.049895   0.0499026 5.70909e-06
          10    0.049866    0.049899 6.20079e-06
          11   0.0498768    0.049897 5.95535e-06
          12   0.0498661   0.0498944 5.98868e-06
          13   0.0499088   0.0498955 5.63025e-06
          14   0.0498993   0.0498958 5.23476e-06
          15    0.049913   0.0498969 5.01016e-06
          16   0.0499089   0.0498977 4.75247e-06
          17   0.0498825   0.0498968 4.55631e-06
          18   0.0499215   0.0498981 4.50509e-06
          19   0.0498845   0.0498974 4.32508e-06
          20   0.0498979   0.0498974  4.1089e-06
          21   0.0499068   0.0498979  3.9372e-06
          22   0.0499168   0.0498988 3.85081e-06
          23   0.0498932   0.0498985 3.69099e-06
          24   0.0498833   0.0498979 3.59131e-06
          25     0.04991   0.0498984 3.48046e-06
          26   0.0499211   0.0498992 3.45472e-06
          27   0.0499072   0.0498995 3.33941e-06
          28   0.0499045   0.0498997 3.22481e-06
          29   0.0499403   0.0499011 3.40373e-06
          30   0.0499232   0.0499018 3.36925e-06
          31   0.0499144   0.0499023 3.28496e-06
          32   0.0499171   0.0499027 3.21499e-06
          33   0.0499044   0.0499028 3.11797e-06
          34   0.0498744   0.0499019 3.13596e-06
          35   0.0498887   0.0499016 3.06896e-06
          36   0.0498874   0.0499012 3.00891e-06
          37   0.0499167   0.0499016 2.95687e-06
          38    0.049936   0.0499025 3.01476e-06
          39   0.0498841    0.049902 2.97395e-06
          40   0.0499036   0.0499021 2.89985e-06
          41   0.0499313   0.0499028  2.9153e-06
          42   0.0498781   0.0499022 2.90425e-06
          43   0.0499011   0.0499022 2.83681e-06
          44   0.0498872   0.0499018 2.79272e-06
          45   0.0499129   0.0499021 2.74141e-06
          46   0.0499203   0.0499025 2.71048e-06
          47   0.0499065   0.0499025 2.65417e-06
          48   0.0499301   0.0499031 2.66006e-06
          49   0.0499011   0.0499031 2.60609e-06
          50   0.0498801   0.0499026 2.59407e-06
          51   0.0499067   0.0499027 2.54446e-06
          52   0.0498857   0.0499024 2.51644e-06
          53   0.0499115   0.0499025 2.47482e-06
          54   0.0498724    0.049902 2.49115e-06
          55    0.049898   0.0499019 2.44689e-06
          56    0.049872   0.0499014 2.46066e-06
          57   0.0498839   0.0499011 2.43646e-06
          58   0.0499025   0.0499011 2.39458e-06
          59   0.0498834   0.0499008 2.37279e-06
          60   0.0499271   0.0499012 2.37327e-06
          61   0.0499191   0.0499015 2.35227e-06
          62   0.0498811   0.0499012 2.33737e-06
          63   0.0499074   0.0499013 2.30235e-06
          64   0.0498792    0.049901 2.29203e-06
          65   0.0499219   0.0499013 2.27921e-06
          66   0.0499074   0.0499014 2.24656e-06
          67   0.0498872   0.0499012 2.22299e-06
          68   0.0498873    0.049901 2.19959e-06
          69   0.0498956   0.0499009  2.1691e-06
          70   0.0499164   0.0499011 2.14944e-06
          71   0.0499142   0.0499013 2.12713e-06
          72     0.04993   0.0499017 2.13469e-06
          73    0.049922    0.049902 2.12355e-06
          74   0.0499126   0.0499021 2.09972e-06
          75   0.0499133   0.0499023 2.07701e-06
          76   0.0498849    0.049902 2.06225e-06
          77    0.049918   0.0499022 2.04589e-06
          78   0.0499155   0.0499024 2.02675e-06
          79   0.0499169   0.0499026 2.00935e-06
          80   0.0498741   0.0499022 2.01549e-06
          81   0.0498953   0.0499021 1.99244e-06
          82   0.0498709   0.0499018 2.00419e-06
          83   0.0499396   0.0499022 2.03129e-06
          84   0.0498964   0.0499021  2.0083e-06
          85   0.0499116   0.0499023 1.98774e-06
          86   0.0498816    0.049902  1.9791e-06
          87   0.0498967    0.049902  1.9573e-06
          88   0.0499138   0.0499021 1.93964e-06
          89   0.0499161   0.0499023 1.92421e-06
          90   0.0499162   0.0499024 1.90909e-06
          91   0.0498621    0.049902 1.93893e-06
          92   0.0498917   0.0499019 1.92105e-06
          93   0.0498905   0.0499017 1.90425e-06
          94   0.0499019   0.0499017 1.88399e-06
          95   0.0498864   0.0499016 1.87107e-06
          96   0.0499018   0.0499016 1.85159e-06
          97   0.0498823   0.0499014 1.84311e-06
          98   0.0499268   0.0499016 1.84248e-06
          99   0.0499467   0.0499021 1.87921e-06
         100   0.0498997   0.0499021 1.86058e-06
         101    0.049931   0.0499024 1.86405e-06
         102   0.0498944   0.0499023  1.8474e-06
         103   0.0498854   0.0499021 1.83672e-06
         104   0.0498853   0.0499019 1.82612e-06
         105   0.0498672   0.0499016  1.8384e-06
         106    0.049873   0.0499013 1.84074e-06
         107   0.0498751   0.0499011 1.83983e-06
         108    0.049925   0.0499013 1.83606e-06
         109   0.0499013   0.0499013 1.81921e-06
         110   0.0499286   0.0499016 1.81944e-06
         111   0.0498987   0.0499015 1.80324e-06
         112   0.0498992   0.0499015 1.78725e-06
         113   0.0498961   0.0499015 1.77209e-06
         114   0.0498766   0.0499013 1.76998e-06
         115   0.0498878   0.0499011 1.75845e-06
         116   0.0499414   0.0499015 1.77727e-06
         117   0.0499029   0.0499015 1.76213e-06
         118   0.0499244   0.0499017 1.75781e-06
         119   0.0499083   0.0499017 1.74392e-06
         120   0.0498886   0.0499016  1.7328e-06
