#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1     1.39217     1.39217           0
           2     1.39222     1.39219 1.50209e-05
           3     1.39214     1.39218 1.83334e-05
           4     1.39207     1.39215 2.71798e-05
           5     1.39206     1.39213 2.66495e-05
           6      1.3921     1.39213 2.28204e-05
           7     1.39212     1.39213 1.95633e-05
           8     1.39214     1.39213 1.71592e-05
           9      1.3921     1.39212 1.55454e-05
          10     1.39205     1.39212 1.57683e-05
          11     1.39201     1.39211   1.717e-05
          12     1.39207      1.3921 1.59849e-05
          13     1.39219     1.39211 1.61452e-05
          14     1.39224     1.39212 1.76445e-05
          15     1.39222     1.39213 1.75978e-05
          16     1.39213     1.39213 1.65052e-05
          17     1.39218     1.39213 1.58721e-05
          18     1.39219     1.39213 1.52903e-05
          19     1.39215     1.39213 1.45232e-05
          20     1.39231     1.39214 1.61834e-05
          21     1.39221     1.39215 1.56997e-05
          22     1.39219     1.39215 1.50915e-05
          23     1.39211     1.39215  1.4509e-05
          24     1.39205     1.39214 1.44738e-05
          25      1.3921     1.39214   1.401e-05
          26     1.39209     1.39214 1.35834e-05
          27     1.39218     1.39214 1.31772e-05
          28     1.39215     1.39214 1.27114e-05
          29     1.39204     1.39214 1.27149e-05
          30     1.39203     1.39213 1.27746e-05
          31     1.39203     1.39213 1.27856e-05
          32      1.3921     1.39213 1.24295e-05
          33     1.39218     1.39213  1.2151e-05
          34     1.39209     1.39213  1.1848e-05
          35     1.39197     1.39212  1.2311e-05
          36     1.39208     1.39212  1.2034e-05
          37     1.39216     1.39212 1.17484e-05
          38     1.39214     1.39212  1.1448e-05
          39     1.39208     1.39212  1.1204e-05
          40     1.39196     1.39212 1.16167e-05
          41     1.39186     1.39211 1.29681e-05
          42     1.39209     1.39211 1.26743e-05
          43     1.39225     1.39212 1.27708e-05
          44     1.39221     1.39212 1.26433e-05
          45     1.39215     1.39212 1.23846e-05
          46     1.39219     1.39212 1.22189e-05
          47     1.39207     1.39212 1.20135e-05
          48     1.39216     1.39212 1.17892e-05
          49     1.39208     1.39212  1.1583e-05
          50     1.39207     1.39212 1.13964e-05
          51     1.39211     1.39212 1.11741e-05
          52     1.39204     1.39212 1.10511e-05
          53     1.39214     1.39212   1.085e-05
          54     1.39227     1.39212 1.10071e-05
          55     1.39226     1.39212 1.10942e-05
          56     1.39222     1.39212 1.10197e-05
          57     1.39218     1.39212 1.08632e-05
          58     1.39226     1.39213 1.09284e-05
          59     1.39218     1.39213 1.07745e-05
          60     1.39216     1.39213 1.06051e-05
          61     1.39207     1.39213 1.04802e-05
          62     1.39204     1.39213 1.04015e-05
          63     1.39201     1.39212 1.03946e-05
          64     1.39205     1.39212 1.02972e-05
          65     1.39215     1.39212 1.01461e-05
          66     1.39211     1.39212 9.99324e-06
          67     1.39208     1.39212 9.86423e-06
          68     1.39214     1.39212 9.72211e-06
          69     1.39222     1.39212 9.68421e-06
          70     1.39212     1.39212 9.54587e-06
          71     1.39214     1.39212 9.41301e-06
          72     1.39215     1.39212 9.28821e-06
          73      1.3922     1.39213 9.21688e-06
          74      1.3922     1.39213 9.13993e-06
          75      1.3921     1.39213 9.02613e-06
          76     1.39213     1.39213 8.90744e-06
          77     1.39215     1.39213 8.79891e-06
          78     1.39223     1.39213 8.77942e-06
          79     1.39216     1.39213 8.67958e-06
          80     1.39215     1.39213 8.57405e-06
          81     1.39224     1.39213 8.57673e-06
          82     1.39204     1.39213 8.53522e-06
          83     1.39201     1.39213 8.55375e-06
          84     1.39213     1.39213 8.45193e-06
          85     1.39213     1.39213  8.3527e-06
          86      1.3921     1.39213 8.26075e-06
          87     1.39214     1.39213 8.16772e-06
          88       1.392     1.39213 8.20574e-06
          89     1.39193     1.39212 8.41722e-06
          90     1.39199     1.39212 8.46171e-06
          91     1.39201     1.39212 8.45184e-06
          92     1.39201     1.39212 8.45212e-06
          93       1.392     1.39212 8.45385e-06
          94     1.39203     1.39212 8.41887e-06
          95      1.3921     1.39212 8.33173e-06
          96     1.39219     1.39212 8.27814e-06
          97     1.39227     1.39212 8.34839e-06
          98     1.39238     1.39212 8.67707e-06
          99     1.39215     1.39212 8.59291e-06
         100     1.39217     1.39212 8.51894e-06
         101     1.39217     1.39212 8.44784e-06
         102     1.39224     1.39212 8.43994e-06
         103     1.39227     1.39213 8.46935e-06
         104     1.39225     1.39213  8.4761e-06
         105     1.39207     1.39213 8.41456e-06
         106       1.392     1.39213   8.418e-06
         107     1.39196     1.39212 8.48298e-06
         108       1.392     1.39212  8.4861e-06
         109     1.39204     1.39212 8.44383e-06
         110     1.39203     1.39212 8.40804e-06
         111     1.39199     1.39212 8.41611e-06
         112     1.39202     1.39212 8.38883e-06
         113      1.3922     1.39212 8.34227e-06
         114     1.39215     1.39212 8.27325e-06
         115     1.39221     1.39212 8.23487e-06
         116     1.39217     1.39212 8.17548e-06
         117     1.39219     1.39212  8.1287e-06
         118     1.39226     1.39212 8.14322e-06
         119     1.39226     1.39212 8.15184e-06
         120     1.39218     1.39212 8.09581e-06
