#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1     1.24429     1.24429           0
           2     1.16233     1.20331   0.0289753
           3     1.12667     1.17776   0.0284285
           4     1.12607     1.16484   0.0240807
           5     1.14582     1.16104   0.0195626
           6     1.13842     1.15727   0.0166613
           7     1.12675     1.15291   0.0148405
           8     1.11541     1.14822   0.0137058
           9     1.15473     1.14894    0.012202
          10     1.12934     1.14698   0.0111382
          11     1.14008     1.14636   0.0101433
          12     1.14335     1.14611  0.00930111
          13      1.1376     1.14545  0.00860862
          14     1.17192     1.14734  0.00819874
          15     1.12155     1.14562   0.0078304
          16     1.13128     1.14473  0.00739214
          17     1.13164     1.14396  0.00699728
          18     1.16161     1.14494   0.0066769
          19     1.15582     1.14551  0.00634999
          20     1.12119     1.14429  0.00614781
          21      1.1404     1.14411  0.00585786
          22     1.13063     1.14349  0.00562355
          23     1.15983     1.14421  0.00542373
          24     1.13693      1.1439   0.0052062
          25     1.14746     1.14404  0.00499989
          26      1.1107     1.14276  0.00496934
          27     1.14722     1.14293  0.00478803
          28     1.09753     1.14131  0.00488385
          29     1.15446     1.14176  0.00473647
          30     1.11188     1.14076  0.00468214
          31     1.15515     1.14123  0.00455404
          32     1.15091     1.14153  0.00442178
          33     1.15014     1.14179  0.00429548
          34     1.17712     1.14283  0.00429295
          35     1.12759     1.14239  0.00419233
          36     1.12296     1.14185  0.00411048
          37     1.11252     1.14106  0.00407513
          38     1.15212     1.14135  0.00397826
          39     1.13644     1.14123  0.00387825
          40     1.14445     1.14131  0.00378213
          41     1.10913     1.14052  0.00377044
          42     1.14842     1.14071  0.00368535
          43     1.11428      1.1401  0.00365055
          44     1.15641     1.14047  0.00358636
          45     1.13793     1.14041  0.00350711
          46     1.11755     1.13991  0.00346591
          47     1.14012     1.13992  0.00339217
          48     1.10621     1.13922  0.00339341
          49      1.1275     1.13898  0.00333257
          50     1.14087     1.13901  0.00326614
          51     1.12731     1.13878  0.00321015
          52     1.14032     1.13881  0.00314855
          53     1.11321     1.13833  0.00312598
          54     1.13661      1.1383  0.00306826
          55     1.14421     1.13841  0.00301435
          56     1.14305     1.13849  0.00296166
          57     1.14008     1.13852  0.00290984
          58     1.14704     1.13866  0.00286338
          59     1.15481     1.13894  0.00282788
          60     1.14298     1.13901  0.00278156
          61     1.11845     1.13867  0.00275629
          62     1.15545     1.13894  0.00272509
          63     1.14529     1.13904   0.0026837
          64     1.13841     1.13903  0.00264178
          65     1.15075     1.13921  0.00260728
          66     1.14691     1.13933  0.00257039
          67     1.15615     1.13958  0.00254426
