#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1    0.790658    0.790658           0
           2     0.79486    0.792759  0.00148583
           3    0.799196    0.794905  0.00201259
           4    0.790359    0.793768  0.00180191
           5    0.793836    0.793782  0.00144158
           6    0.795365    0.794046  0.00122523
           7    0.795114    0.794199  0.00105967
           8    0.788385    0.793472  0.00114971
           9    0.797147     0.79388  0.00109208
          10    0.791589    0.793651  0.00100662
          11    0.793344    0.793623 0.000915494
          12    0.795113    0.793747 0.000847578
          13    0.793749    0.793747  0.00078238
          14    0.796262    0.793927 0.000746821
          15    0.795192    0.794011 0.000701776
          16    0.794488    0.794041 0.000658547
          17    0.795454    0.794124 0.000625033
          18    0.794467    0.794143 0.000590599
          19    0.793628    0.794116 0.000560137
          20    0.794234    0.794122 0.000532161
          21    0.790524    0.793951 0.000533694
          22     0.79025    0.793782 0.000535291
          23    0.797772    0.793956  0.00053939
          24    0.794005    0.793958 0.000516919
          25    0.795833    0.794033 0.000501656
          26    0.794526    0.794052 0.000482719
          27    0.792108     0.79398  0.00047018
          28    0.791722    0.793899 0.000460253
          29    0.797536    0.794025 0.000461149
          30    0.796099    0.794094 0.000450929
          31    0.791944    0.794024 0.000441685
          32    0.794102    0.794027 0.000427889
          33    0.797161    0.794122 0.000425332
          34    0.793037     0.79409 0.000414017
          35    0.794673    0.794107 0.000402523
          36    0.793484    0.794089 0.000391713
          37    0.791823    0.794028 0.000385886
          38    0.795787    0.794074 0.000378498
          39     0.79577    0.794118 0.000371282
          40    0.792371    0.794074 0.000364558
          41     0.79431     0.79408 0.000355712
          42    0.794497     0.79409 0.000347381
          43    0.796423    0.794144 0.000343513
          44    0.798377     0.79424 0.000348917
          45    0.792244    0.794196 0.000343972
          46    0.793151    0.794173 0.000337243
          47    0.793746    0.794164 0.000330191
          48    0.797424    0.794232 0.000330224
          49    0.790794    0.794162 0.000330856
          50    0.795404    0.794187  0.00032517
          51    0.788288    0.794071 0.000338743
          52    0.791188    0.794016 0.000336735
          53    0.797248    0.794077 0.000335859
          54     0.79357    0.794067  0.00032977
          55    0.791513    0.794021 0.000327028
          56    0.799662    0.794122 0.000336346
          57    0.793215    0.794106 0.000330822
          58    0.790353    0.794041 0.000331383
          59    0.794592     0.79405 0.000325898
          60    0.795495    0.794074 0.000321355
          61    0.791396     0.79403 0.000319072
          62    0.794848    0.794044 0.000314198
          63    0.796983     0.79409 0.000312655
          64     0.79631    0.794125 0.000309687
          65    0.793203    0.794111 0.000305247
          66    0.794129    0.794111 0.000300622
          67     0.79313    0.794096 0.000296491
          68    0.795297    0.794114 0.000292656
          69    0.792575    0.794092 0.000289263
          70    0.795945    0.794118  0.00028634
          71    0.795217    0.794134 0.000282724
          72    0.795425    0.794152 0.000279366
          73    0.792908    0.794135 0.000276058
          74    0.796388    0.794165 0.000274002
          75    0.791621    0.794131  0.00027244
          76    0.796798    0.794166 0.000271105
          77     0.79555    0.794184 0.000268179
          78     0.79367    0.794178 0.000264822
          79    0.794392     0.79418 0.000261484
          80     0.78887    0.794114 0.000266506
          81    0.794133    0.794114 0.000263216
          82    0.800443    0.794191 0.000271087
          83    0.795722     0.79421 0.000268448
          84    0.793317    0.794199 0.000265463
          85     0.79445    0.794202 0.000262356
          86    0.792702    0.794185 0.000259885
          87    0.792128    0.794161 0.000257971
          88    0.793523    0.794154 0.000255141
          89     0.79262    0.794137 0.000252856
          90    0.793997    0.794135 0.000250051
          91    0.785028    0.794035  0.00026658
          92     0.79462    0.794041 0.000263758
          93    0.799613    0.794101  0.00026764
          94    0.795614    0.794117 0.000265276
          95    0.792798    0.794103 0.000262847
          96    0.796524    0.794129 0.000261315
          97    0.791236    0.794099 0.000260318
          98    0.792333    0.794081 0.000258284
          99     0.79332    0.794073 0.000255789
         100    0.796695    0.794099 0.000254572
         101    0.793515    0.794094 0.000252117
         102      0.7949    0.794101 0.000249769
         103    0.793945      0.7941 0.000247349
         104    0.796538    0.794123 0.000246079
         105    0.796658    0.794147 0.000244917
         106    0.796544     0.79417 0.000243648
         107    0.797466    0.794201  0.00024331
         108    0.794836    0.794207 0.000241128
         109    0.793028    0.794196 0.000239159
         110    0.794123    0.794195 0.000236985
         111    0.791204    0.794168 0.000236378
