#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
           1     1.20259     1.20259           0
           2     1.19463     1.19861  0.00281245
           3     1.20661     1.20128  0.00287275
           4     1.20203     1.20146  0.00216066
           5     1.19623     1.20042  0.00196596
           6     1.19832     1.20007  0.00166906
           7     1.19818      1.1998  0.00145228
           8     1.19386     1.19906  0.00144791
           9     1.20057     1.19922  0.00129679
          10      1.1977     1.19907  0.00117608
          11      1.1997     1.19913  0.00107053
          12     1.20015     1.19921 0.000984718
          13     1.19953     1.19924 0.000909272
          14     1.19727      1.1991 0.000855118
          15     1.20625     1.19957 0.000921561
          16     1.19412     1.19923 0.000924883
          17     1.19626     1.19906 0.000886844
          18     1.19921     1.19907 0.000837613
          19     1.19986     1.19911 0.000794573
          20     1.19979     1.19914 0.000755585
          21     1.19632     1.19901 0.000731438
          22     1.19168     1.19867 0.000770346
          23     1.20485     1.19894 0.000782224
          24     1.19945     1.19896 0.000749921
          25     1.20487      1.1992 0.000756259
          26     1.19657      1.1991 0.000733923
          27     1.19522     1.19896 0.000720694
          28     1.20182     1.19906 0.000702165
          29     1.19194     1.19881  0.00071955
          30     1.20714     1.19909 0.000747251
          31     1.20614     1.19932 0.000756999
          32     1.19526     1.19919 0.000743884
          33     1.20223     1.19928 0.000727002
          34     1.19497     1.19916 0.000716581
          35     1.20254     1.19925 0.000702602
          36     1.19457     1.19912 0.000695032
          37     1.20374     1.19925 0.000687376
          38     1.19941     1.19925   0.0006693
          39     1.19016     1.19902 0.000691571
          40     1.20284     1.19911 0.000680852
          41     1.20145     1.19917 0.000666616
          42     1.19405     1.19905 0.000661811
          43     1.19361     1.19892 0.000658389
          44     1.20035     1.19895 0.000644219
          45     1.20241     1.19903 0.000634458
          46     1.20249     1.19911 0.000625097
          47     1.19693     1.19906 0.000613511
          48     1.20179     1.19912 0.000603353
          49     1.19468     1.19903 0.000597788
          50     1.19571     1.19896   0.0005895
          51     1.19905     1.19896 0.000577944
          52     1.19936     1.19897  0.00056688
          53     1.20986     1.19918 0.000592235
          54     1.19746     1.19914  0.00058212
          55     1.19766     1.19912 0.000572163
          56     1.19206     1.19899 0.000575661
          57     1.19837     1.19898 0.000565666
          58      1.1955     1.19892 0.000559091
          59     1.19564     1.19886  0.00055237
          60     1.20306     1.19893 0.000547582
          61     1.19995     1.19895 0.000538861
          62     1.20153     1.19899 0.000531771
          63      1.1967     1.19896 0.000524578
          64     1.19574     1.19891 0.000518777
          65     1.19789     1.19889 0.000511029
          66     1.19669     1.19886  0.00050437
          67     1.19816     1.19885 0.000496949
          68      1.1981     1.19884 0.000489761
          69     1.19583     1.19879 0.000484596
          70     1.19872     1.19879 0.000477674
          71      1.2011     1.19882 0.000472053
          72     1.19878     1.19882 0.000465497
          73     1.21012     1.19898 0.000484156
          74     1.19662     1.19895  0.00047866
          75     1.19277     1.19886 0.000479302
          76     1.19939     1.19887 0.000473046
          77     1.19845     1.19886 0.000466934
          78     1.19635     1.19883 0.000462061
          79     1.19788     1.19882 0.000456369
          80     1.20164     1.19886 0.000452022
          81     1.19878     1.19885 0.000446442
          82     1.20211     1.19889 0.000442758
          83     1.19571     1.19886 0.000439082
          84     1.19759     1.19884 0.000434112
          85     1.19685     1.19882 0.000429635
          86     1.20042     1.19884 0.000425041
          87     1.19866     1.19883  0.00042016
          88     1.20449      1.1989 0.000420271
          89     1.20303     1.19894 0.000418099
          90     1.19881     1.19894 0.000413456
          91     1.20078     1.19896 0.000409404
          92      1.1991     1.19896 0.000404957
          93     1.19796     1.19895 0.000400746
          94     1.19784     1.19894 0.000396659
          95     1.20201     1.19897 0.000393799
          96     1.19599     1.19894 0.000390919
          97     1.19214     1.19887  0.00039313
          98     1.19748     1.19886 0.000389375
          99     1.19666     1.19884 0.000386074
         100     1.18902     1.19874 0.000394502
         101     1.19784     1.19873 0.000390696
         102     1.20523     1.19879 0.000392021
         103     1.18732     1.19868 0.000403726
         104     1.20493     1.19874 0.000404284
         105     1.19407      1.1987 0.000402875
         106     1.19602     1.19867 0.000399865
         107     1.20435     1.19873 0.000399627
         108      1.2008     1.19874 0.000396387
         109     1.19775     1.19874 0.000392856
         110      1.2039     1.19878 0.000392082
         111     1.19686     1.19877 0.000388933
         112     1.20444     1.19882 0.000388747
         113     1.19561     1.19879  0.00038634
         114     1.20166     1.19881 0.000383773
         115     1.20405     1.19886 0.000383133
         116     1.19687     1.19884 0.000380215
         117     1.19892     1.19884 0.000376966
         118     1.19595     1.19882 0.000374569
         119     1.20681     1.19888 0.000377396
         120     1.19421     1.19885 0.000376259
