#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1    -6.66589    -6.66589           0
           2    -6.65576    -6.66083  0.00358173
           3      -6.669    -6.66355  0.00326218
           4    -6.66554    -6.66405  0.00248419
           5    -6.65989    -6.66322   0.0021219
           6    -6.66173    -6.66297  0.00178269
           7    -6.66194    -6.66282  0.00153404
           8    -6.65779    -6.66219  0.00146547
           9     -6.6638    -6.66237  0.00131347
          10    -6.66074    -6.66221  0.00119216
          11    -6.66308    -6.66229  0.00108641
          12    -6.66372    -6.66241  0.00100238
          13    -6.66295    -6.66245  0.00092614
          14    -6.66082    -6.66233 0.000867268
          15    -6.66943    -6.66281 0.000929583
          16    -6.65593    -6.66238 0.000965776
          17    -6.65898    -6.66218 0.000929413
          18    -6.66185    -6.66216 0.000877955
          19    -6.66234    -6.66217 0.000831799
          20    -6.66252    -6.66219 0.000790397
          21    -6.66069    -6.66211 0.000755972
          22    -6.65421    -6.66175 0.000802377
          23    -6.66811    -6.66203 0.000813695
          24    -6.66253    -6.66205 0.000780052
          25    -6.66733    -6.66226 0.000776938
          26    -6.65921    -6.66215   0.0007559
          27    -6.65745    -6.66197 0.000747668
          28    -6.66438    -6.66206 0.000725886
          29    -6.65461     -6.6618 0.000744848
          30    -6.67076     -6.6621 0.000777533
          31    -6.66897    -6.66232 0.000783432
          32    -6.65814    -6.66219 0.000769761
          33     -6.6646    -6.66226 0.000749897
          34    -6.65628    -6.66209 0.000748218
          35    -6.66599     -6.6622 0.000735114
          36    -6.65643    -6.66204 0.000731955
          37    -6.66612    -6.66215 0.000720445
          38    -6.66169    -6.66214 0.000701588
          39    -6.65359    -6.66192    0.000717
          40    -6.66467    -6.66199 0.000702358
          41    -6.66375    -6.66203 0.000686543
          42    -6.65738    -6.66192 0.000679072
          43    -6.65711    -6.66181 0.000672419
          44    -6.66339    -6.66184 0.000658097
          45    -6.66542    -6.66192 0.000648251
          46    -6.66667    -6.66203 0.000642313
          47    -6.66014    -6.66199 0.000629894
          48    -6.66466    -6.66204 0.000619225
          49    -6.65736    -6.66195 0.000613928
          50    -6.65867    -6.66188 0.000605136
          51    -6.66131    -6.66187 0.000593373
          52    -6.66257    -6.66188 0.000582115
          53    -6.67354     -6.6621 0.000611268
          54    -6.65985    -6.66206 0.000601368
          55    -6.65946    -6.66201 0.000592294
          56    -6.65534    -6.66189  0.00059359
          57    -6.66092    -6.66188 0.000583421
          58    -6.65854    -6.66182 0.000576196
          59    -6.65899    -6.66177 0.000568417
          60    -6.66665    -6.66185 0.000564734
          61    -6.66272    -6.66187 0.000555653
          62    -6.66513    -6.66192 0.000549172
          63    -6.65875    -6.66187 0.000542752
          64    -6.65853    -6.66182 0.000536776
          65    -6.66034    -6.66179 0.000528996
          66    -6.65989    -6.66177 0.000521766
          67    -6.66081    -6.66175 0.000514175
          68    -6.66175    -6.66175 0.000506613
          69    -6.65833     -6.6617 0.000501694
          70    -6.66245    -6.66171 0.000494642
          71     -6.6641    -6.66175 0.000488815
          72    -6.66134    -6.66174 0.000482059
          73    -6.67295    -6.66189  0.00049933
          74    -6.66045    -6.66187 0.000492963
          75    -6.65606     -6.6618 0.000492449
          76    -6.66212     -6.6618 0.000485988
          77    -6.66145     -6.6618 0.000479698
          78    -6.65907    -6.66176 0.000474823
          79    -6.66055    -6.66175  0.00046906
          80    -6.66418    -6.66178 0.000464184
          81    -6.66246    -6.66179 0.000458531
          82    -6.66549    -6.66183 0.000455162
          83    -6.65917     -6.6618 0.000450801
          84    -6.66124    -6.66179 0.000445483
          85    -6.66007    -6.66177 0.000440703
          86    -6.66369    -6.66179 0.000436144
          87    -6.66198     -6.6618 0.000431136
          88    -6.66839    -6.66187 0.000432706
          89    -6.66666    -6.66192 0.000431182
          90    -6.66128    -6.66192  0.00042645
          91    -6.66337    -6.66193 0.000422062
          92    -6.66318    -6.66195 0.000417692
          93    -6.66116    -6.66194 0.000413286
          94    -6.66097    -6.66193 0.000409019
          95    -6.66462    -6.66196 0.000405696
          96    -6.65956    -6.66193 0.000402239
          97     -6.6547    -6.66186 0.000404943
          98    -6.66006    -6.66184 0.000401225
          99    -6.66068    -6.66183 0.000397342
         100    -6.65151    -6.66172 0.000406553
         101     -6.6614    -6.66172  0.00040254
         102     -6.6675    -6.66178 0.000402555
         103    -6.65029    -6.66167 0.000413801
         104    -6.66752    -6.66172 0.000413638
         105    -6.65716    -6.66168 0.000411976
         106    -6.65851    -6.66165 0.000409175
         107    -6.66734     -6.6617 0.000408796
         108    -6.66397    -6.66172 0.000405548
         109    -6.66097    -6.66172 0.000401887
         110    -6.66719    -6.66177 0.000401307
         111    -6.66037    -6.66175  0.00039789
         112    -6.66896    -6.66182 0.000399501
         113    -6.65954     -6.6618 0.000396475
         114    -6.66516    -6.66183 0.000394096
         115    -6.66762    -6.66188 0.000393878
         116    -6.65953    -6.66186 0.000391002
         117    -6.66222    -6.66186 0.000387672
         118    -6.65855    -6.66183 0.000385402
         119    -6.66954     -6.6619 0.000387564
         120    -6.65628    -6.66185 0.000387154
