#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
           1    0.962215    0.962215           0
           2    0.956994    0.959604  0.00184612
           3    0.965045    0.961418  0.00192543
           4    0.961937    0.961548  0.00144845
           5    0.958038    0.960846  0.00131792
           6    0.959486    0.960619  0.00111757
           7    0.959522    0.960463 0.000968845
           8    0.956433    0.959959 0.000969887
           9    0.961061    0.960081 0.000869814
          10    0.959213    0.959994  0.00078715
          11    0.960487    0.960039 0.000716864
          12    0.960974    0.960117 0.000661344
          13     0.96057    0.960152 0.000611386
          14    0.959125    0.960079 0.000572102
          15    0.965052     0.96041 0.000622685
          16    0.956755    0.960182 0.000624267
          17    0.958088    0.960059 0.000599569
          18    0.960114    0.960062 0.000566268
          19    0.960771    0.960099 0.000537694
          20    0.960771    0.960133 0.000511857
          21    0.958185     0.96004 0.000495813
          22    0.955078    0.959814 0.000522059
          23     0.96408        0.96  0.00053128
          24    0.960452    0.960019 0.000509478
          25    0.964149    0.960184 0.000515191
          26    0.958406    0.960115 0.000499893
          27    0.957499    0.960019 0.000490684
          28    0.962063    0.960092 0.000478563
          29    0.955092    0.959919 0.000492131
          30    0.965733    0.960113 0.000512461
          31    0.965159    0.960276 0.000521144
          32    0.957594    0.960192 0.000511552
          33    0.962341    0.960257 0.000500178
          34    0.957248    0.960169 0.000493234
          35    0.962571    0.960237 0.000483894
          36    0.957041    0.960148 0.000478528
          37    0.963295    0.960233  0.00047309
          38    0.960273    0.960234 0.000460641
          39    0.954053    0.960076 0.000475313
          40    0.962692    0.960141 0.000467908
          41    0.961634    0.960178 0.000457909
          42    0.956406    0.960088 0.000455725
          43    0.956248    0.959999  0.00045379
          44    0.960798    0.960017 0.000443841
          45    0.962277    0.960067 0.000436811
          46    0.962429    0.960118 0.000430322
          47    0.958636    0.960087  0.00042232
          48    0.961972    0.960126 0.000415343
          49    0.957348    0.960069 0.000410718
          50    0.957841    0.960025 0.000404916
          51    0.960182    0.960028 0.000396988
          52    0.960283    0.960033 0.000389384
          53    0.967506    0.960174 0.000406763
          54    0.958942    0.960151  0.00039987
          55     0.95916    0.960133 0.000393005
          56    0.955213    0.960045 0.000395685
          57    0.959478    0.960035 0.000388868
          58    0.957564    0.959993 0.000384491
          59     0.95764    0.959953 0.000380036
          60    0.962844    0.960001 0.000376744
          61    0.960615    0.960011 0.000370702
          62    0.961774    0.960039 0.000365812
          63    0.958603    0.960017 0.000360715
          64    0.957691     0.95998 0.000356905
          65    0.959255    0.959969 0.000351588
          66     0.95829    0.959944 0.000347181
          67    0.959362    0.959935 0.000342108
          68    0.959268    0.959925 0.000337217
          69    0.957994    0.959897 0.000333489
          70    0.959948    0.959898 0.000328726
          71    0.961374    0.959919 0.000324753
          72    0.960007     0.95992 0.000320244
          73    0.967732    0.960027 0.000333256
          74    0.958612    0.960008 0.000329301
          75    0.955894    0.959953 0.000329447
          76    0.960227    0.959957 0.000325131
          77    0.959663    0.959953 0.000320931
          78    0.958373    0.959933 0.000317455
          79    0.959234    0.959924  0.00031356
          80    0.961726    0.959946 0.000310449
          81    0.959786    0.959944 0.000306623
          82    0.961987    0.959969 0.000303894
          83    0.957654    0.959941 0.000301511
          84    0.959209    0.959933 0.000298047
          85    0.958625    0.959917 0.000294938
          86    0.961088    0.959931 0.000291822
          87    0.959915    0.959931 0.000288468
          88    0.963919    0.959976 0.000288729
          89    0.962728    0.960007 0.000287136
          90    0.959837    0.960005 0.000283952
          91    0.961326    0.960019 0.000281203
          92    0.960029     0.96002 0.000278146
          93    0.959227    0.960011 0.000275286
          94    0.959145    0.960002 0.000272511
          95    0.962064    0.960024 0.000270506
          96    0.958229    0.960005 0.000268334
          97    0.955448    0.959958 0.000269649
          98    0.959048    0.959949 0.000267057
          99    0.958416    0.959933 0.000264807
         100    0.953102    0.959865 0.000270826
         101    0.959107    0.959857 0.000268249
         102    0.964155    0.959899 0.000268907
         103    0.952015    0.959823 0.000276977
         104    0.964125    0.959864 0.000277386
         105     0.95661    0.959833  0.00027647
         106    0.958019    0.959816 0.000274391
         107    0.963554    0.959851 0.000274042
         108    0.961394    0.959865 0.000271877
         109    0.959248     0.95986 0.000269441
         110    0.963534    0.959893 0.000269054
         111    0.958756    0.959883 0.000266825
         112    0.964019     0.95992 0.000266986
         113    0.957747    0.959901 0.000265315
         114    0.961855    0.959918 0.000263541
         115     0.96344    0.959948 0.000263023
         116    0.958646    0.959937 0.000260995
         117    0.959849    0.959936 0.000258765
         118    0.958085    0.959921 0.000257048
         119    0.965439    0.959967 0.000259038
         120    0.956793    0.959941 0.000258226
