#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1    0.801725    0.801725           0
           2    0.796422    0.799074  0.00187497
           3    0.804405    0.800851  0.00191517
           4     0.80135    0.800976  0.00144044
           5    0.797485    0.800277  0.00131064
           6     0.79888    0.800045  0.00111271
           7    0.798785    0.799865 0.000968185
           8    0.795908     0.79937 0.000965273
           9     0.80038    0.799482 0.000864523
          10    0.798463     0.79938 0.000784052
          11    0.799797    0.799418 0.000713688
          12    0.800101    0.799475 0.000656479
          13    0.799686    0.799491 0.000606181
          14     0.79818    0.799398 0.000570078
          15    0.804167    0.799716 0.000614374
          16    0.796079    0.799488 0.000616588
          17    0.797507    0.799372  0.00059123
          18     0.79947    0.799377 0.000558409
          19    0.799907    0.799405 0.000529715
          20    0.799863    0.799428 0.000503724
          21    0.797548    0.799339 0.000487625
          22    0.794452    0.799116 0.000513564
          23    0.803232    0.799295 0.000521483
          24    0.799636     0.79931 0.000499947
          25    0.803249    0.799467 0.000504173
          26    0.797712      0.7994 0.000489282
          27    0.796811    0.799304 0.000480463
          28    0.801212    0.799372  0.00046811
          29    0.794628    0.799208   0.0004797
          30    0.804763    0.799393 0.000498167
          31    0.804096    0.799545 0.000504666
          32     0.79684    0.799461 0.000495923
          33    0.801484    0.799522 0.000484668
          34    0.796649    0.799437 0.000477721
          35    0.801694    0.799502 0.000468402
          36    0.796379    0.799415 0.000463355
          37    0.802496    0.799498 0.000458251
          38    0.799604    0.799501   0.0004462
          39    0.793438    0.799346 0.000461048
          40    0.801894    0.799409 0.000453901
          41    0.800964    0.799447  0.00044441
          42    0.796032    0.799366 0.000441207
          43    0.795741    0.799282 0.000438926
          44     0.80023    0.799303 0.000429479
          45    0.801606    0.799354 0.000422972
          46    0.801658    0.799405 0.000416731
          47    0.797953    0.799374 0.000409008
          48    0.801191    0.799412 0.000402235
          49    0.796455    0.799351 0.000398525
          50     0.79714    0.799307    0.000393
          51    0.799364    0.799308 0.000385296
          52    0.799572    0.799313  0.00037792
          53    0.806571     0.79945 0.000394823
          54    0.798306    0.799429  0.00038808
          55    0.798439    0.799411 0.000381442
          56    0.794705    0.799327 0.000383774
          57    0.798911     0.79932  0.00037711
          58    0.796998     0.79928 0.000372727
          59    0.797094    0.799243 0.000368246
          60    0.802043    0.799289 0.000365055
          61     0.79997      0.7993 0.000359241
          62    0.801019    0.799328 0.000354514
          63    0.797797    0.799304 0.000349719
          64    0.797162     0.79927 0.000345851
          65    0.798596     0.79926 0.000340686
          66    0.797795    0.799238 0.000336246
          67    0.798774    0.799231 0.000331299
          68    0.798734    0.799224 0.000326507
          69     0.79722    0.799194 0.000323064
          70    0.799144    0.799194 0.000318449
          71    0.800734    0.799215 0.000314702
          72    0.799184    0.799215 0.000310331
          73    0.806746    0.799318 0.000322771
          74    0.797747    0.799297 0.000319106
          75    0.795181    0.799242 0.000319535
          76    0.799594    0.799247 0.000315364
          77    0.798967    0.799243 0.000311289
          78    0.797565    0.799222 0.000308041
          79    0.798588    0.799214 0.000304246
          80    0.801092    0.799237 0.000301348
          81    0.799187    0.799236 0.000297628
          82    0.801406    0.799263 0.000295172
          83    0.797141    0.799237 0.000292721
          84    0.798397    0.799227 0.000289408
          85      0.7979    0.799212 0.000286424
          86    0.800277    0.799224 0.000283361
          87    0.799107    0.799223 0.000280107
          88    0.802993    0.799266 0.000280181
          89    0.802017    0.799296 0.000278733
          90    0.799205    0.799295 0.000275637
          91    0.800519    0.799309 0.000272936
          92    0.799403     0.79931 0.000269971
          93    0.798642    0.799303 0.000267164
          94    0.798558    0.799295 0.000264439
          95    0.801343    0.799316 0.000262533
          96    0.797329    0.799296 0.000260613
          97     0.79476    0.799249 0.000262087
          98    0.798321    0.799239 0.000259584
          99    0.797775    0.799225 0.000257383
         100    0.792679    0.799159 0.000263001
         101    0.798561    0.799153 0.000260464
         102    0.803483    0.799196 0.000261347
         103    0.791548    0.799121 0.000269151
         104    0.803284    0.799161 0.000269523
         105    0.796047    0.799132 0.000268583
         106    0.797347    0.799115 0.000266577
         107    0.802897     0.79915 0.000266418
         108    0.800532    0.799163 0.000264258
         109      0.7985    0.799157 0.000261904
         110    0.802601    0.799188 0.000261388
         111    0.797905    0.799177 0.000259288
         112     0.80296    0.799211 0.000259164
         113    0.797074    0.799192  0.00025756
         114    0.801108    0.799208 0.000255848
         115    0.802703    0.799239 0.000255422
         116     0.79791    0.799227 0.000253477
         117    0.799277    0.799228 0.000251311
         118    0.797298    0.799211 0.000249712
         119     0.80454    0.799256 0.000251597
         120    0.796137     0.79923 0.000250839
