#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1    -5.46331    -5.46331           0
           2    -5.46113    -5.46222 0.000769279
           3    -5.46239    -5.46227 0.000514923
           4    -5.46351    -5.46258 0.000470172
           5    -5.46366     -5.4628 0.000422778
           6    -5.46341     -5.4629 0.000364251
           7    -5.46376    -5.46302 0.000332408
           8    -5.46393    -5.46314  0.00030954
           9    -5.46323    -5.46315 0.000275312
          10    -5.46305    -5.46314  0.00024796
          11    -5.46338    -5.46316 0.000226423
          12    -5.46357    -5.46319 0.000210049
          13    -5.46342    -5.46321 0.000194613
          14    -5.46355    -5.46324 0.000182207
          15    -5.46318    -5.46323   0.0001701
          16    -5.46181    -5.46314  0.00018123
          17    -5.46272    -5.46312  0.00017229
          18    -5.46264    -5.46309 0.000164719
          19    -5.46248    -5.46306 0.000159188
          20    -5.46273    -5.46304 0.000152094
          21    -5.46436    -5.46311 0.000157331
          22    -5.46254    -5.46308 0.000152299
          23    -5.46326    -5.46309 0.000145884
          24    -5.46307    -5.46309 0.000139807
          25    -5.46246    -5.46306 0.000136447
          26    -5.46264    -5.46305 0.000132169
          27    -5.46223    -5.46302  0.00013068
          28    -5.46256      -5.463 0.000127022
          29    -5.46267    -5.46299 0.000123142
          30    -5.46361    -5.46301 0.000120772
          31    -5.46283      -5.463 0.000117015
          32    -5.46288      -5.463 0.000113421
          33    -5.46238    -5.46298 0.000111539
          34     -5.4613    -5.46293 0.000118655
          35    -5.46345    -5.46295 0.000116194
          36    -5.46186    -5.46292 0.000116808
          37    -5.46238     -5.4629  0.00011455
          38    -5.46228    -5.46288 0.000112694
          39    -5.46343     -5.4629  0.00011068
          40    -5.46182    -5.46287 0.000111125
          41     -5.4623    -5.46286 0.000109275
          42    -5.46333    -5.46287 0.000107248
          43     -5.4635    -5.46288  0.00010575
          44    -5.46304    -5.46289 0.000103409
          45    -5.46301    -5.46289 0.000101146
          46    -5.46418    -5.46292 0.000102758
          47    -5.46321    -5.46292 0.000100762
          48    -5.46287    -5.46292 9.86697e-05
          49    -5.46267    -5.46292 9.67896e-05
          50    -5.46296    -5.46292 9.48571e-05
          51    -5.46227    -5.46291 9.38579e-05
          52    -5.46321    -5.46291  9.2237e-05
          53    -5.46368    -5.46293  9.1631e-05
          54    -5.46239    -5.46292 9.04664e-05
          55     -5.4618     -5.4629 9.10759e-05
          56    -5.46328     -5.4629 8.97064e-05
          57    -5.46256     -5.4629  8.8339e-05
          58    -5.46304     -5.4629 8.68504e-05
          59    -5.46335    -5.46291 8.57165e-05
          60    -5.46359    -5.46292 8.50329e-05
          61    -5.46276    -5.46292 8.36777e-05
          62     -5.4636    -5.46293 8.30478e-05
          63    -5.46206    -5.46291 8.28733e-05
          64    -5.46278    -5.46291 8.16029e-05
          65    -5.46245     -5.4629 8.06546e-05
          66     -5.4632    -5.46291 7.95555e-05
          67    -5.46265     -5.4629 7.84649e-05
          68    -5.46364    -5.46292 7.80608e-05
          69     -5.4625    -5.46291 7.71638e-05
          70    -5.46374    -5.46292 7.69614e-05
          71      -5.463    -5.46292 7.58849e-05
          72    -5.46256    -5.46292 7.49962e-05
          73    -5.46284    -5.46292 7.39773e-05
          74    -5.46383    -5.46293 7.40028e-05
          75    -5.46329    -5.46293 7.31704e-05
          76    -5.46273    -5.46293 7.22563e-05
          77      -5.463    -5.46293  7.1323e-05
          78    -5.46272    -5.46293 7.04609e-05
          79    -5.46267    -5.46293 6.96457e-05
          80    -5.46254    -5.46292 6.89383e-05
          81    -5.46368    -5.46293  6.8726e-05
          82    -5.46338    -5.46294  6.8109e-05
          83    -5.46346    -5.46294 6.75846e-05
          84    -5.46365    -5.46295 6.72962e-05
          85    -5.46322    -5.46295 6.65786e-05
          86    -5.46328    -5.46296 6.59108e-05
          87    -5.46332    -5.46296  6.5288e-05
          88     -5.4639    -5.46297 6.54189e-05
          89    -5.46364    -5.46298 6.51097e-05
          90    -5.46247    -5.46297 6.46283e-05
          91    -5.46259    -5.46297 6.40555e-05
          92    -5.46408    -5.46298 6.44786e-05
          93     -5.4632    -5.46298 6.38281e-05
          94    -5.46313    -5.46299 6.31671e-05
          95    -5.46261    -5.46298 6.26263e-05
          96    -5.46356    -5.46299 6.22664e-05
          97    -5.46256    -5.46298 6.17811e-05
          98    -5.46258    -5.46298 6.12883e-05
          99    -5.46402    -5.46299 6.15656e-05
         100    -5.46249    -5.46299 6.11544e-05
         101    -5.46356    -5.46299 6.08119e-05
         102    -5.46227    -5.46298 6.06248e-05
         103    -5.46297    -5.46298 6.00364e-05
         104     -5.4626    -5.46298 5.95741e-05
         105    -5.46309    -5.46298 5.90156e-05
         106    -5.46249    -5.46298 5.86434e-05
         107      -5.463    -5.46298 5.80957e-05
         108    -5.46317    -5.46298 5.75849e-05
         109    -5.46322    -5.46298 5.70987e-05
         110    -5.46329    -5.46298 5.66502e-05
         111    -5.46351    -5.46299 5.63371e-05
         112    -5.46452      -5.463 5.74623e-05
         113    -5.46393    -5.46301 5.75336e-05
         114     -5.4635    -5.46301 5.71915e-05
         115    -5.46357    -5.46302 5.68957e-05
         116    -5.46266    -5.46302 5.64874e-05
         117    -5.46331    -5.46302  5.6059e-05
         118     -5.4626    -5.46301 5.56961e-05
         119    -5.46273    -5.46301 5.52809e-05
         120    -5.46207      -5.463 5.53754e-05
