Accettanza for gaussian method is start:
sigma accettanza
0.0529 98.218
0.0554507 98.18
0.0581223 98.006
0.0609126 97.937
0.0638325 97.82
0.066885 97.677
0.0700739 97.629
0.0734114 97.304
0.0768841 97.717
0.0805528 97.332
0.0843655 97.23
0.0883501 97.02
0.0925043 96.919
0.0968445 96.785
0.101375 96.758
0.106115 96.413
0.111041 96.536
0.116208 96.027
0.121557 95.912
0.127138 95.931
0.132977 95.752
0.139061 95.352
0.145368 95.1
0.151924 95.026
0.158764 94.789
0.165875 94.642
0.17328 94.366
0.180968 93.753
0.188886 93.913
0.197181 93.528
0.205763 93.345
0.214682 92.892
0.22389 92.722
0.233455 92.236
0.243316 91.897
0.25351 91.692
0.264079 91.592
0.275063 90.914
0.286317 90.795
0.297997 90.008
0.309919 89.849
0.322269 89.686
0.335059 89.106
0.348162 88.803
0.361671 88.192
0.375484 87.521
0.389573 87.503
0.404183 86.851
0.419078 86.646
0.434435 85.994
0.450072 85.442
0.466024 85.246
0.482449 84.334
0.499013 83.998
0.515979 83.296
0.533159 83.023
0.550766 82.142
0.568468 81.879
0.58659 81.269
0.604932 80.763
0.623542 80.617
0.642633 79.792
0.661778 79.011
0.680977 78.509
0.700391 77.709
0.719798 77.276
0.739432 76.686
0.759164 76.33
0.779153 75.743
0.799211 75.047
0.819228 74.569
0.839356 73.929
0.859441 73.58
0.879707 72.558
0.899551 72.14
0.919467 71.745
0.939461 71.15
0.95933 70.828
0.979311 69.944
0.998843 69.757
1.01858 68.733
1.03766 68.497
1.05685 68.316
1.07621 67.522
1.09507 67.049
1.11374 66.675
1.13231 65.916
1.15033 65.651
1.16833 65.304
1.18621 64.875
1.20386 64.337
1.22112 63.903
1.23809 63.525
1.25484 62.749
1.27084 62.722
1.28701 62.412
1.30298 61.585
1.31808 61.466
1.33319 61.219
1.34815 60.783
1.36268 60.68
1.37724 60.325
1.39146 59.676
1.40492 59.731
1.41859 59.232
1.43169 59.12
1.44474 58.963
1.45769 58.634
1.47028 58.436
1.48268 58.144
1.49476 57.433
1.50587 57.094
1.51655 57.171
1.52743 57.272
1.53853 57.15
1.54953 56.1
1.55899 56.445
1.56903 56.218
1.57879 55.806
1.58796 55.472
1.59665 55.307
1.60512 54.871
1.61294 54.951
1.62092 54.795
1.6287 54.93
1.63672 54.355
1.64385 54.6
1.65141 54.416
1.65871 54.404
1.66601 54.015
1.6727 53.801
1.67906 53.654
1.68519 53.82
1.69163 53.769
1.69801 53.257
1.70354 52.941
1.70855 53.35
1.71427 53.056
1.71951 52.962
1.7246 52.945
1.72968 52.86
1.73463 52.956
1.73976 52.555
1.7442 52.608
1.74875 52.441
1.75302 51.727
1.75605 52.332
1.76014 51.697
1.76313 52.024
1.7667 52.152
1.7705 52.533
1.77498 51.835
1.77824 52.053
1.78189 51.699
1.78492 51.763
1.78807 51.723
1.79115 51.351
1.79357 51.419
1.79611 51.308
1.79846 51.579
1.8013 51.523
1.80404 51.547
1.80684 51.191
1.80899 51.377
1.81148 51.154
1.81357 51.194
1.81573 51.028
1.8176 51.317
1.81999 51.04
1.82189 51.007
1.82372 51.09
1.82571 50.918
1.82739 50.953
1.82913 50.751
1.8305 50.664
1.83172 50.799
1.83318 50.431
1.83397 50.916
1.83565 50.899
1.8373 50.514
1.83824 50.731
1.83959 50.603
1.8407 50.631
1.84186 50.962
1.84363 50.861
1.84522 50.651
1.84642 50.524
1.84739 50.424
1.84817 50.361
1.84884 50.635
1.85001 50.795
1.85148 50.341
1.85211 50.298
1.85267 50.49
1.85357 50.373
1.85427 50.364
1.85494 50.228
1.85536 50.332
1.85598 50.259
1.85646 50.337
1.85709 50.387
1.8578 50.195
1.85817 50.125
1.8584 50.775
1.85984 50.568
1.8609 50.147
1.86117 50.434
1.86198 50.07
1.86211 50.204
1.86249 50.022
1.86253 50.088
1.86269 50.408
1.86345 50.427
1.86425 50.254
1.86472 50.286
1.86525 50.23
1.86568 50.131
1.86593 50.211
1.86632 50.071
1.86645 50.075
1.86659 49.969
1.86654 49.98
1.8665 49.952
1.86641 50.14
1.86667 50.038
1.86674 50.253
1.86721 50.281
1.86774 50.201
1.86811 50.272
1.86862 50.146
1.86889 50.477
1.86979 49.864
1.86953 50.171
1.86985 50.386
1.87057 49.85
1.87029 50.431
1.8711 50.229
1.87153 50.146
1.8718 50.183
1.87214 50.163
1.87245 49.851
1.87217 50.169
1.87249 50.405
1.87324 49.906
1.87307 50.167
1.87338 49.892
1.87318 49.848
1.87289 50.054
1.87299 49.8
1.87262 50.114
1.87283 50.01
1.87283 50.074
1.87297 50.098
1.87316 49.732
1.87265 50.088
1.87282 49.824
1.87249 50.11
1.87269 50.192
1.87305 50.243
1.87351 50.068
1.87364 50.002

ACCETANZA FINISHED!
