Accettanza for uniform method is start:
 sigma   accettanza 
0.0529 99.22
0.0555037 99.008
0.0582239 99.171
0.0610868 99.168
0.0640903 99.071
0.0672353 98.96
0.0705271 98.929
0.0739779 98.862
0.0775927 98.881
0.0813855 98.619
0.0853423 98.83
0.0895096 98.657
0.0938649 98.374
0.0984055 98.497
0.103178 98.234
0.108155 98.398
0.113389 98.3
0.118866 98.066
0.124579 97.991
0.130558 97.966
0.13682 97.763
0.143355 97.898
0.150221 97.547
0.157364 97.623
0.164858 97.284
0.172653 97.102
0.180786 97.076
0.189296 97.085
0.198209 96.902
0.207506 96.887
0.217235 96.333
0.2273 96.448
0.237858 96.417
0.248899 96.272
0.260416 95.904
0.27237 95.734
0.284826 95.668
0.297834 95.448
0.31137 95.231
0.325453 95.174
0.340155 94.855
0.355413 94.645
0.37128 94.415
0.387771 94.028
0.404843 93.706
0.422538 93.446
0.440895 93.109
0.459902 93.051
0.479701 92.398
0.500039 92.119
0.5211 92.072
0.543024 91.824
0.565736 91.121
0.588999 91.067
0.613188 90.619
0.638095 89.907
0.663559 90.026
0.690119 89.385
0.717299 89.077
0.745329 88.54
0.774054 87.907
0.803396 87.523
0.833542 87.239
0.864582 87.025
0.896593 86.47
0.929292 85.879
0.962634 85.543
0.996849 84.751
1.03149 84.563
1.06714 83.744
1.10315 83.029
1.13959 82.937
1.17712 82.301
1.21514 81.686
1.25365 81.178
1.29273 80.615
1.33231 79.913
1.37216 79.175
1.4122 78.786
1.45285 78.226
1.49386 77.515
1.53496 77.226
1.57675 76.628
1.61874 76.015
1.66085 75.103
1.70254 74.818
1.74479 74.249
1.7871 73.412
1.82894 73.056
1.87111 72.464
1.91314 72.052
1.95533 71.08
1.99655 70.765
2.03801 70.209
2.0792 69.619
2.11999 69.452
2.16123 68.471
2.20115 68.098
2.24098 67.581
2.28038 67.376
2.32 66.484
2.35825 66.241
2.39655 65.249
2.43309 65.214
2.47011 64.784
2.50663 64.442
2.54283 64.007
2.57845 63.358
2.61289 62.966
2.64677 62.264
2.67923 62.507
2.71274 61.788
2.74471 61.119
2.77523 61.212
2.80635 60.504
2.83583 60.419
2.86537 60.014
2.89407 59.49
2.92153 59.173
2.94833 59.129
2.97525 58.627
3.00091 58.598
3.02671 58.349
3.05198 58.312
3.07735 57.773
3.10127 57.224
3.12368 56.904
3.14524 56.901
3.16695 56.562
3.18773 56.422
3.2082 56.33
3.22851 56.029
3.24797 55.772
3.26672 55.45
3.28452 55.727
3.30334 55.333
3.32095 54.762
3.33677 55.137
3.35391 54.685
3.36962 54.877
3.38605 54.344
3.40076 54.337
3.41551 53.906
3.42885 54
3.44257 53.905
3.45601 53.508
3.46814 53.755
3.48116 53.348
3.49281 53.457
3.50489 53.192
3.51608 53.544
3.52854 52.94
3.53891 52.978
3.54945 52.694
3.55901 52.689
3.56858 52.391
3.57711 52.644
3.58657 52.062
3.59397 52.425
3.60268 52.198
3.6106 52.201
3.61855 51.869
3.62531 52.262
3.63351 51.58
3.63925 51.71
3.64548 51.656
3.65151 51.622
3.65744 51.639
3.66343 51.45
3.66874 51.509
3.67428 51.103
3.67833 51.557
3.68406 51.678
3.69024 51.465
3.69565 51.343
3.70061 51.023
3.7044 51.453
3.70978 50.771
3.71264 51.123
3.71681 51.279
3.72156 50.92
3.72498 51.252
3.72965 50.97
3.73327 50.724
3.73597 50.853
3.73916 50.968
3.74278 50.851
3.74596 50.873
3.74923 50.762
3.75209 50.71
3.75475 50.95
3.75832 50.976
3.76199 50.559
3.76409 50.456
3.76581 50.65
3.76825 50.74
3.77104 50.985
3.77476 50.588
3.77698 50.353
3.77831 50.576
3.78049 50.842
3.78367 50.293
3.78478 50.268
3.78579 50.948
3.78938 50.374
3.7908 50.448
3.7925 50.428
3.79412 50.037
3.79426 50.393
3.79575 50.155
3.79634 50.295
3.79746 50.389
3.79894 50.245
3.79987 50.573
3.80204 50.435
3.8037 50.297
3.80483 50.061
3.80506 50.342
3.80636 50.178
3.80704 50.483
3.80888 50.163
3.8095 49.995

ACCETANZA FINISHED!
