#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.332113    0.332113           0
           2    0.323932    0.328022  0.00289244
           3    0.323541    0.326529  0.00228155
           4    0.329066    0.327163  0.00179719
           5    0.330104    0.327751  0.00153099
           6    0.327277    0.327672  0.00127786
           7    0.326614    0.327521   0.0011042
           8    0.332194    0.328105  0.00110997
           9     0.33477    0.328846  0.00120871
          10    0.329133    0.328874  0.00108818
          11    0.324337    0.328462  0.00106458
          12    0.326687    0.328314 0.000986097
          13     0.32384     0.32797 0.000968446
          14     0.32757    0.327941 0.000899692
          15    0.333454    0.328309  0.00091168
          16    0.329255    0.328368 0.000856616
          17    0.329565    0.328438 0.000809118
          18    0.322009    0.328081 0.000839322
          19    0.330329    0.328199 0.000803442
          20     0.33129    0.328354 0.000777984
          21    0.336306    0.328733 0.000827989
          22    0.331079    0.328839 0.000797195
          23    0.331619     0.32896 0.000771638
          24    0.328605    0.328945 0.000739628
          25    0.333021    0.329108 0.000727786
          26    0.330361    0.329157 0.000701387
          27     0.33295    0.329297 0.000689339
          28    0.333536    0.329448 0.000681144
          29    0.321792    0.329184 0.000706969
          30    0.331122    0.329249 0.000686348
          31    0.334982    0.329434 0.000688669
          32    0.322397    0.329214 0.000701383
          33    0.331708     0.32929 0.000684188
          34    0.322732    0.329097 0.000690713
          35     0.33283    0.329203 0.000679164
          36    0.335355    0.329374 0.000681454
          37    0.335457    0.329539  0.00068258
          38    0.332056    0.329605 0.000667825
          39    0.332673    0.329684 0.000655319
          40    0.335414    0.329827 0.000654408
          41     0.33592    0.329975 0.000655101
          42    0.329054    0.329954 0.000639871
          43    0.334609    0.330062 0.000634084
          44    0.327732    0.330009  0.00062188
          45    0.331596    0.330044  0.00060906
          46    0.332748    0.330103 0.000598649
          47    0.334278    0.330192 0.000592467
          48    0.323443    0.330051 0.000596572
          49    0.331105    0.330073 0.000584785
          50    0.333917     0.33015 0.000578122
          51    0.330954    0.330165 0.000567002
          52    0.330241    0.330167   0.0005561
          53    0.335079    0.330259 0.000553276
          54     0.33591    0.330364 0.000552835
          55    0.330895    0.330374 0.000542868
          56    0.317983    0.330152 0.000576501
          57     0.33263    0.330196 0.000568023
          58    0.327732    0.330153 0.000559816
          59    0.328128    0.330119  0.00055138
          60    0.334703    0.330196 0.000547457
          61    0.316476    0.329971 0.000582855
          62    0.329356    0.329961 0.000573538
          63    0.325352    0.329888  0.00056908
          64    0.331801    0.329917 0.000560973
          65    0.333376    0.329971  0.00055486
          66    0.329361    0.329961  0.00054653
          67    0.328468    0.329939 0.000538827
          68    0.326718    0.329892  0.00053298
          69    0.324709    0.329817 0.000530522
          70    0.320762    0.329687 0.000538482
          71     0.32926    0.329681 0.000530932
          72    0.326995    0.329644 0.000524867
          73    0.329196    0.329638 0.000517713
          74    0.321424    0.329527 0.000522479
          75    0.335396    0.329605 0.000521341
          76    0.323935     0.32953 0.000519793
          77    0.328216    0.329513 0.000513323
          78    0.329488    0.329513 0.000506742
          79    0.328396    0.329499 0.000500525
          80    0.333386    0.329548 0.000496621
          81    0.328263    0.329532 0.000490743
          82    0.334989    0.329598  0.00048925
          83    0.329778      0.3296  0.00048336
          84    0.325458    0.329551 0.000480116
          85     0.33534    0.329619 0.000479274
          86    0.335689     0.32969  0.00047887
          87    0.323111    0.329614 0.000479298
          88    0.328463    0.329601  0.00047403
          89    0.331664    0.329624  0.00046927
          90    0.330957    0.329639  0.00046429
          91    0.334579    0.329693  0.00046235
          92     0.33763     0.32978 0.000465304
          93    0.337935    0.329867 0.000468491
          94    0.331164    0.329881  0.00046371
          95    0.330226    0.329885 0.000458843
          96    0.329692    0.329883 0.000454068
          97    0.322041    0.329802 0.000456527
          98    0.321242    0.329715 0.000460148
          99    0.331858    0.329736 0.000456009
         100    0.332731    0.329766 0.000452431
         101    0.323477    0.329704 0.000452217
         102    0.324028    0.329648 0.000451194
         103    0.337056     0.32972 0.000452509
         104    0.329488    0.329718 0.000448163
         105    0.325621    0.329679  0.00044559
         106     0.32229    0.329609 0.000446806
         107    0.332797    0.329639 0.000443622
         108    0.327597     0.32962 0.000439918
         109    0.327575    0.329601 0.000436281
         110    0.332528    0.329628 0.000433126
