#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.885793    0.885793           0
           2    0.878404    0.882098  0.00261236
           3    0.896493    0.886896  0.00428729
           4    0.889263    0.887488  0.00325605
           5    0.895095    0.889009  0.00293887
           6    0.892795     0.88964  0.00251587
           7    0.894297    0.890306  0.00224267
           8    0.889409    0.890193  0.00196513
           9    0.891656    0.890356  0.00175349
          10    0.884419    0.889762  0.00167565
          11    0.894384    0.890182  0.00157512
          12    0.896068    0.890673   0.0015183
          13    0.888054    0.890471  0.00141481
          14    0.889568    0.890407  0.00131522
          15    0.884887    0.890039  0.00127799
          16    0.877269    0.889241  0.00142573
          17    0.889843    0.889276   0.0013423
          18    0.908654    0.890353   0.0016437
          19    0.891519    0.890414  0.00155833
          20    0.897596    0.890773  0.00152123
          21    0.883967    0.890449  0.00148291
          22    0.898154    0.890799  0.00145627
          23    0.876867    0.890194  0.00151371
          24    0.878735    0.889716  0.00152408
          25    0.889101    0.889692  0.00146331
          26     0.90067    0.890114  0.00146669
          27    0.887803    0.890028  0.00141487
          28    0.891184    0.890069  0.00136494
          29    0.888519    0.890016  0.00131892
          30    0.884449     0.88983  0.00128794
          31    0.883684    0.889632  0.00126157
          32    0.883362    0.889436  0.00123726
          33    0.871421     0.88889   0.0013147
          34    0.900364    0.889228  0.00131863
          35     0.89719    0.889455  0.00130043
          36    0.886886    0.889384  0.00126627
          37    0.903914    0.889777   0.0012915
          38    0.877087    0.889443  0.00129997
          39    0.887934    0.889404  0.00126721
          40    0.881269    0.889201  0.00125175
          41    0.885906     0.88912  0.00122379
          42    0.891575    0.889179  0.00119605
          43    0.880538    0.888978  0.00118499
          44    0.872889    0.888612  0.00121316
          45     0.87125    0.888226  0.00124604
          46    0.874162    0.887921  0.00125591
          47    0.888892    0.887941  0.00122936
          48    0.897128    0.888133  0.00121855
          49    0.869016    0.887742  0.00125459
          50    0.877933    0.887546  0.00124474
          51    0.889487    0.887584  0.00122091
          52    0.881959    0.887476  0.00120222
          53     0.88553    0.887439   0.0011801
          54     0.88313     0.88736  0.00116094
          55    0.886635    0.887346   0.0011399
          56     0.89165    0.887423  0.00112214
          57     0.88331    0.887351  0.00110477
          58     0.88157    0.887251  0.00109021
          59    0.884421    0.887203  0.00107278
          60     0.89731    0.887372  0.00106805
          61    0.883356    0.887306  0.00105256
          62    0.888456    0.887325  0.00103575
          63    0.898777    0.887506  0.00103514
          64    0.878527    0.887366  0.00102843
          65     0.86388    0.887005  0.00107421
          66    0.884515    0.886967  0.00105859
          67    0.905078    0.887237  0.00107675
          68    0.860277    0.886841  0.00113156
          69     0.88253    0.886778  0.00111689
          70     0.86529    0.886471  0.00114234
          71    0.879908    0.886379  0.00112998
          72     0.88821    0.886404  0.00111458
          73    0.890602    0.886462  0.00110079
          74    0.872863    0.886278  0.00110115
          75    0.891397    0.886346  0.00108858
          76     0.87988    0.886261  0.00107758
          77    0.884082    0.886233  0.00106395
          78    0.882769    0.886189  0.00105124
          79    0.885676    0.886182  0.00103795
          80    0.896148    0.886307  0.00103242
          81    0.896739    0.886435  0.00102768
          82    0.881813    0.886379  0.00101669
          83    0.889994    0.886423  0.00100538
          84     0.89058    0.886472 0.000994626
          85     0.87642    0.886354  0.00098993
          86     0.87341    0.886203 0.000989795
          87    0.893092    0.886283  0.00098158
