#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.973984   -0.973984           0
           2   -0.974661   -0.974322 0.000239228
           3     -0.9749   -0.974515 0.000224045
           4   -0.974005   -0.974387  0.00020109
           5   -0.974181   -0.974346 0.000165055
           6   -0.974261   -0.974332 0.000138155
           7   -0.974233   -0.974318 0.000119136
           8   -0.973818   -0.974255 0.000119493
           9   -0.973539   -0.974176 0.000130053
          10   -0.974113    -0.97417 0.000117201
          11   -0.974684   -0.974216 0.000115511
          12   -0.974667   -0.974254 0.000111815
          13   -0.974794   -0.974295 0.000110652
          14   -0.973989   -0.974274 0.000104884
          15   -0.973714   -0.974236 0.000104305
          16   -0.974013   -0.974222 9.87153e-05
          17   -0.974089   -0.974214  9.3218e-05
          18   -0.975004   -0.974258 9.78144e-05
          19   -0.973982   -0.974244  9.3743e-05
          20   -0.973763    -0.97422 9.20863e-05
          21   -0.973703   -0.974195 9.09262e-05
          22   -0.974092    -0.97419 8.69149e-05
          23   -0.973835   -0.974175 8.44995e-05
          24   -0.974303    -0.97418 8.11457e-05
          25   -0.974017   -0.974174 7.81609e-05
          26   -0.973748   -0.974157 7.68548e-05
          27   -0.973559   -0.974135 7.71387e-05
          28   -0.973824   -0.974124 7.51781e-05
          29   -0.975131   -0.974159 8.02084e-05
          30   -0.974206    -0.97416 7.75504e-05
          31   -0.973557   -0.974141 7.74497e-05
          32   -0.974819   -0.974162 7.78712e-05
          33   -0.973966   -0.974156 7.57387e-05
          34   -0.974871   -0.974177 7.63717e-05
          35   -0.973828   -0.974167 7.48374e-05
          36   -0.973265   -0.974142 7.68445e-05
          37   -0.973655   -0.974129 7.58865e-05
          38   -0.973752   -0.974119 7.45367e-05
          39   -0.973871   -0.974113 7.28956e-05
          40   -0.973444   -0.974096 7.29667e-05
          41   -0.973262   -0.974076 7.39706e-05
          42   -0.974093   -0.974076 7.22105e-05
          43    -0.97373   -0.974068 7.09787e-05
          44   -0.974456   -0.974077 6.99104e-05
          45   -0.973832   -0.974071 6.85681e-05
          46   -0.973683   -0.974063  6.7596e-05
          47   -0.973623   -0.974054 6.68041e-05
          48   -0.974752   -0.974068 6.69778e-05
          49    -0.97391   -0.974065 6.56889e-05
          50   -0.973813    -0.97406 6.45684e-05
          51   -0.973863   -0.974056 6.34181e-05
          52   -0.973918   -0.974053 6.22539e-05
          53   -0.973421   -0.974041 6.22132e-05
          54   -0.973504   -0.974031 6.18512e-05
          55   -0.974078   -0.974032 6.07323e-05
          56   -0.975201   -0.974053 6.31302e-05
          57    -0.97412   -0.974054 6.20335e-05
          58   -0.974441   -0.974061 6.13206e-05
          59   -0.974529   -0.974069 6.07918e-05
          60   -0.973491   -0.974059 6.05362e-05
          61   -0.975756   -0.974087 6.56235e-05
          62   -0.974317   -0.974091 6.46697e-05
          63   -0.974178   -0.974092  6.3658e-05
          64   -0.973914   -0.974089 6.27243e-05
          65   -0.973429   -0.974079 6.25772e-05
          66   -0.974164   -0.974081 6.16423e-05
          67   -0.974328   -0.974084 6.08325e-05
          68   -0.974363   -0.974088 6.00759e-05
