#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     79.4525     79.4525           0
           2     78.6736      79.063    0.275368
           3     79.6462     79.2574    0.242681
           4     78.8979     79.1675    0.197958
           5     79.2067     79.1754    0.158522
           6     78.6051     79.0803    0.158045
           7     79.1344     79.0881    0.135656
           8     78.8382     79.0568    0.122242
           9     78.4577     78.9903    0.125486
          10     79.7117     79.0624    0.132056
          11     79.3523     79.0888    0.122654
          12     79.5786     79.1296     0.11903
          13     78.7243     79.0984    0.113883
          14     79.2117     79.1065    0.106036
          15     78.4758     79.0644    0.106979
          16     79.2729     79.0775    0.101083
          17       79.42     79.0976   0.0971241
          18     79.5054     79.1203   0.0943337
          19     78.6459     79.0953   0.0926138
          20     78.6825     79.0747   0.0902542
          21        79.2     79.0806   0.0861534
          22      78.208      79.041   0.0909118
          23     79.2402     79.0496   0.0873709
          24     79.0637     79.0502   0.0837324
          25     78.7988     79.0402   0.0809849
          26     78.7677     79.0297   0.0785451
          27     79.3154     79.0403   0.0763454
          28     78.8868     79.0348   0.0738151
          29     79.3063     79.0441   0.0718612
          30     79.8282     79.0703   0.0740657
          31     79.1313     79.0722   0.0717026
          32     79.6503     79.0903   0.0717013
          33     78.6047     79.0756   0.0710228
          34     78.9132     79.0708   0.0690944
          35     78.9776     79.0682   0.0671716
          36     78.9585     79.0651   0.0653747
          37     78.7176     79.0557   0.0642791
          38     78.8832     79.0512   0.0627476
          39     78.5251     79.0377   0.0625717
          40     79.5052     79.0494   0.0620893
          41     78.9324     79.0465   0.0606405
          42     79.4927     79.0571     0.06012
          43     78.7678     79.0504   0.0590971
          44     78.2946     79.0332   0.0601985
          45     78.4963     79.0213   0.0600316
          46     79.2157     79.0255   0.0588751
          47     78.9272     79.0234   0.0576596
          48      78.757     79.0179    0.056725
          49     79.3838     79.0254   0.0560566
          50     79.5844     79.0365   0.0560394
          51     78.8848     79.0336   0.0550195
          52     79.3403     79.0395   0.0542767
          53     78.8052      79.035   0.0534323
          54     79.0646     79.0356   0.0524456
          55     79.0621     79.0361   0.0514942
          56     78.7084     79.0302   0.0509061
          57     78.6286     79.0232   0.0504982
          58     79.8391     79.0372   0.0515496
          59     79.1239     79.0387   0.0506968
          60     78.6221     79.0318   0.0503252
          61     79.0067     79.0314   0.0495019
          62      78.948       79.03   0.0487217
          63     79.4103      79.036   0.0483209
          64     78.8412      79.033   0.0476616
          65     78.9756     79.0321   0.0469366
          66     78.6601     79.0265   0.0465626
          67      79.278     79.0302   0.0460187
          68     79.5037     79.0372   0.0458655
          69     79.0835     79.0379   0.0452057
          70     79.2761     79.0413   0.0446878
          71      79.161      79.043   0.0440902
          72     79.2279     79.0455   0.0435526
          73     78.8789     79.0432   0.0430158
          74     79.1986     79.0453   0.0424857
          75     79.1553     79.0468   0.0419445
          76     79.6607     79.0549   0.0421631
          77     79.1512     79.0561   0.0416341
          78       79.22     79.0582   0.0411533
          79     79.1079     79.0589   0.0406372
          80     79.4977     79.0644   0.0404978
