#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1     0.32663     0.32663           0
           2    0.332138    0.329384  0.00194723
           3    0.324634      0.3278  0.00183207
           4    0.332358     0.32894  0.00169162
           5    0.327109    0.328574  0.00139235
           6    0.335147    0.329669  0.00153179
           7    0.330656     0.32981  0.00131944
           8    0.332515    0.330148  0.00119706
           9    0.333345    0.330503  0.00111551
          10    0.323138    0.329767  0.00122319
          11    0.327056     0.32952  0.00113655
          12    0.325224    0.329162  0.00109679
          13    0.331149    0.329315  0.00102301
          14    0.327137     0.32916 0.000961701
          15    0.334861     0.32954 0.000969802
          16    0.329933    0.329564 0.000909501
          17    0.325466    0.329323  0.00088737
          18    0.327171    0.329204 0.000846088
          19    0.333484    0.329429 0.000831013
          20    0.330883    0.329502 0.000792634
          21    0.327947    0.329428 0.000758337
          22    0.335801    0.329717 0.000777239
          23    0.327956    0.329641 0.000747211
          24    0.332018     0.32974 0.000722613
          25    0.329721    0.329739 0.000693709
          26    0.333604    0.329888 0.000682766
          27    0.327848    0.329812 0.000661643
          28    0.330089    0.329822 0.000638086
          29    0.328465    0.329775 0.000617798
          30    0.323208    0.329556 0.000634804
          31    0.329851    0.329566 0.000614398
          32    0.324584     0.32941 0.000614606
          33    0.331531    0.329474 0.000599334
          34    0.330722    0.329511 0.000582829
          35    0.330555    0.329541 0.000566939
          36    0.329401    0.329537 0.000551204
          37    0.335068    0.329687  0.00055621
          38    0.330701    0.329713 0.000542213
          39    0.330099    0.329723   0.0005284
          40    0.324698    0.329598 0.000529917
          41    0.330505     0.32962 0.000517455
          42    0.327627    0.329572 0.000507304
          43    0.332732    0.329646 0.000500799
          44    0.333693    0.329738 0.000497795
          45    0.335079    0.329856 0.000500683
          46    0.326412    0.329782 0.000495365
          47    0.332546     0.32984 0.000488305
          48    0.331643    0.329878 0.000479574
          49    0.328971    0.329859 0.000470145
          50    0.324756    0.329757  0.00047169
          51    0.331478    0.329791 0.000463646
          52     0.33002    0.329795 0.000454751
          53    0.332518    0.329847 0.000449063
          54    0.329752    0.329845  0.00044075
          55    0.331428    0.329874 0.000433676
          56    0.333032     0.32993 0.000429582
          57     0.33284    0.329981 0.000425068
          58    0.324171    0.329881 0.000429381
          59    0.329014    0.329866 0.000422355
          60    0.332278    0.329907 0.000417223
          61    0.331587    0.329934 0.000411291
          62    0.330235    0.329939 0.000404686
          63    0.323852    0.329842 0.000409634
          64    0.330928    0.329859 0.000403585
          65    0.327897    0.329829 0.000398504
          66    0.331358    0.329852 0.000393138
          67    0.328634    0.329834 0.000387691
          68    0.324614    0.329757 0.000389517
          69    0.328945    0.329746  0.00038405
          70    0.326816    0.329704 0.000380837
          71    0.327207    0.329669 0.000377093
          72    0.328766    0.329656 0.000372064
          73    0.330234    0.329664 0.000367051
          74    0.327084    0.329629 0.000363743
          75    0.328887    0.329619 0.000359028
          76     0.32304    0.329533  0.00036459
          77    0.324486    0.329467 0.000365698
          78    0.326809    0.329433 0.000362595
          79    0.327848    0.329413 0.000358559
          80    0.324589    0.329353 0.000359112
          81    0.328084    0.329337  0.00035502
          82    0.330682    0.329353 0.000351069
          83    0.330396    0.329366 0.000347064
          84    0.328754    0.329359 0.000343008
          85    0.333827    0.329411 0.000342978
          86    0.329533    0.329413 0.000338993
          87     0.32754    0.329391 0.000335779
          88    0.333651     0.32944 0.000335435
          89    0.331239     0.32946 0.000332274
          90     0.33163    0.329484 0.000329457
          91    0.329577    0.329485 0.000325838
          92    0.329102    0.329481 0.000322323
          93    0.332373    0.329512 0.000320354
          94    0.327558    0.329491 0.000317619
          95    0.335408    0.329553 0.000320325
          96    0.332172    0.329581 0.000318148
          97    0.325953    0.329543 0.000317058
          98     0.33338    0.329582 0.000316231
          99    0.323249    0.329518 0.000319442
         100    0.329308    0.329516 0.000316254
         101    0.326298    0.329484 0.000314724
         102    0.330012     0.32949 0.000311681
         103    0.332423    0.329518 0.000309954
         104     0.32617    0.329486 0.000308641
         105     0.33272    0.329517 0.000307235
         106    0.332237    0.329542 0.000305407
         107    0.325887    0.329508 0.000304457
         108    0.327563     0.32949  0.00030217
         109    0.327977    0.329476 0.000299716
         110    0.327612    0.329459  0.00029747
         111    0.329952    0.329464 0.000294823
         112      0.3333    0.329498 0.000294174
         113    0.331398    0.329515  0.00029205
         114    0.328018    0.329502 0.000289784
         115    0.333396    0.329536 0.000289235
         116    0.331412    0.329552 0.000287194
         117    0.338211    0.329626 0.000294121
         118    0.325353     0.32959 0.000293849
         119    0.332784    0.329616 0.000292603
         120    0.326936    0.329594 0.000291016
         121    0.329955    0.329597 0.000288627
         122    0.328935    0.329592 0.000286312
         123    0.325229    0.329556 0.000286173
         124    0.331318     0.32957 0.000284217
         125    0.326317    0.329544 0.000283133
         126    0.325652    0.329513 0.000282566
         127    0.326898    0.329493 0.000281091
         128    0.327137    0.329474 0.000279497
         129    0.327022    0.329455 0.000277976
         130    0.324884     0.32942 0.000278053
         131    0.328898    0.329416 0.000275959
         132    0.326265    0.329392 0.000274899
         133    0.328547    0.329386 0.000272906
         134    0.331529    0.329402 0.000271337
         135    0.329984    0.329406 0.000269362
         136      0.3241    0.329367 0.000270192
         137    0.324039    0.329328 0.000271005
         138     0.32209    0.329276  0.00027407
         139     0.33318    0.329304 0.000273534
         140    0.330186     0.32931 0.000271652
         141    0.329507    0.329312 0.000269729
         142    0.334429    0.329348 0.000270226
         143    0.334412    0.329383 0.000270647
         144    0.331863      0.3294 0.000269315
         145    0.321502    0.329346 0.000272911
         146    0.328945    0.329343 0.000271056
         147    0.328996    0.329341 0.000269222
         148    0.326573    0.329322 0.000268052
         149    0.331805    0.329339  0.00026677
         150    0.328459    0.329333 0.000265056
         151    0.327818    0.329323 0.000263491
         152    0.326911    0.329307 0.000262234
         153    0.330879    0.329317 0.000260722
         154    0.327857    0.329308 0.000259201
         155    0.330108    0.329313  0.00025758
         156    0.328362    0.329307 0.000256001
         157    0.329111    0.329306 0.000254374
         158    0.326262    0.329286 0.000253492
         159    0.328761    0.329283 0.000251919
         160    0.326418    0.329265  0.00025098
         161    0.328737    0.329262 0.000249443
         162    0.330578     0.32927 0.000248035
         163    0.330116    0.329275 0.000246568
         164     0.32459    0.329247 0.000246714
         165     0.32304    0.329209 0.000248069
         166    0.330652    0.329218 0.000246727
         167    0.325355    0.329195 0.000246332
         168    0.329536    0.329197 0.000244874
         169    0.332441    0.329216 0.000244176
         170    0.333639    0.329242 0.000244122
         171    0.328622    0.329238 0.000242721
         172    0.334041    0.329266 0.000242911
         173     0.33023    0.329272 0.000241571
         174    0.331332    0.329284 0.000240473
