#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1  -0.0455113  -0.0455113           0
           2 -0.00156062   -0.023536   0.0155389
           3   0.0145419  -0.0108433   0.0146532
           4   0.0370986  0.00114214   0.0151168
           5  -0.0563945  -0.0103652   0.0158804
           6   0.0196745 -0.00535856   0.0140006
           7   0.0130253 -0.00273229   0.0122444
           8   0.0182622-0.000107983   0.0109915
           9  -0.0153791 -0.00180477  0.00990029
          10    -0.00514 -0.00213829  0.00891588
          11  0.00557042  -0.0014375  0.00813284
          12   0.0365716  0.00172992   0.0080483
          13 -0.00757238  0.00101436  0.00746094
          14   0.0242299  0.00267261  0.00710991
          15   0.0262493  0.00424439  0.00680743
          16   0.0239774  0.00547771  0.00649273
          17   0.0809994  0.00992016  0.00747773
          18  -0.0423647  0.00701545  0.00760557
          19   0.0224369   0.0078271  0.00724845
          20  -0.0216962  0.00635094  0.00703474
          21 -0.00969518  0.00558684  0.00674112
          22   0.0019678  0.00542234  0.00643671
          23  -0.0130664  0.00461848  0.00620685
          24  -0.0154336  0.00378298   0.0060042
          25    0.006699  0.00389962  0.00576516
          26  -0.0396969  0.00222283  0.00578213
          27   0.0486844  0.00394363  0.00581841
          28   0.0343321  0.00502893  0.00571093
          29   0.0359006  0.00609347  0.00561234
          30  0.00972006  0.00621436  0.00542657
          31    0.029407  0.00696251  0.00530284
          32   0.0232836  0.00747254  0.00516159
          33  -0.0370106  0.00612457  0.00517821
          34  -0.0374542  0.00484284  0.00518211
          35  -0.0195995  0.00414449  0.00508089
          36  -0.0181175   0.0035261  0.00497724
          37  -0.0586192   0.0018465  0.00511828
          38   0.0185563  0.00228623  0.00500244
          39  -0.0146572  0.00185178    0.004893
          40 -0.00991374  0.00155765  0.00477951
          41   -0.037025 0.000616606  0.00475467
          42  0.00871068 0.000809322  0.00464537
          43 -0.00664172 0.000636042  0.00454057
          44  -0.0335528-0.000140978  0.00450337
          45  0.00080868-0.000119874  0.00440334
          46  -0.0147977-0.000438958  0.00431916
          47  -0.0489035 -0.00147012  0.00434861
          48  -0.0103719 -0.00165557  0.00426197
          49  0.00212154 -0.00157849  0.00417569
          50   0.0387395-0.000772128  0.00416931
          51  -0.0111346-0.000975314   0.0040925
          52  0.00746924-0.000812918  0.00401702
          53  -0.0139709 -0.00106118  0.00394889
          54   -0.013278 -0.00128742  0.00388224
          55   0.0239137-0.000829216   0.0038386
          56  -0.0150358  -0.0010829  0.00377843
          57  0.00237492 -0.00102224  0.00371262
          58   0.0209476 -0.00064345  0.00366789
          59 -0.00481614-0.000714174   0.0036064
          60 -0.00732444-0.000824345  0.00354798
          61  -0.0166409 -0.00108363  0.00349927
          62   0.0145896-0.000830839  0.00345195
          63  -0.0416134 -0.00147818  0.00345733
          64  -0.0265837 -0.00187045  0.00342549
          65 -0.00700798 -0.00194949   0.0033737
          66  -0.0106269 -0.00208097  0.00332514
          67 -0.00366518 -0.00210461   0.0032756
          68   0.0460406 -0.00139659  0.00330306
          69   0.0259016 -0.00100097   0.0032788
          70  -0.0235529 -0.00132314  0.00324775
          71  -0.0264987 -0.00167772   0.0032213
          72  -0.0022522  -0.0016857  0.00317657
          73  -0.0301119  -0.0020751  0.00315683
          74   0.0499497 -0.00137207   0.0031915
          75   0.0379416-0.000847883   0.0031917
          76   0.0295915-0.000447365  0.00317474
          77  -0.0212162-0.000717089  0.00314494
          78   0.0126044-0.000546301  0.00310926
          79   0.0109441-0.000400852   0.0030733
          80  -0.0143687 -0.00057545  0.00303984
          81  -0.0140793-0.000742164  0.00300688
          82  0.00056022-0.000726281  0.00297025
          83  -0.0121918 -0.00086442  0.00293768
          84  -0.0442393 -0.00138079  0.00294774
          85  -0.0194365 -0.00159321   0.0029207
          86 -0.00716516   -0.001658  0.00288746
          87  -0.0144558  -0.0018051  0.00285801
          88  0.00490902  -0.0017288  0.00282655
          89 -0.00229344 -0.00173515   0.0027948
          90    0.026761 -0.00141852  0.00278163
          91  0.00942964 -0.00129931  0.00275361
          92  -0.0178724 -0.00147945  0.00272957
          93  0.00384662 -0.00142218  0.00270082
          94   0.0237617 -0.00115427  0.00268534
          95  -0.0416179  -0.0015802  0.00269064
          96  0.00583174   -0.001503  0.00266372
          97  -0.0332675 -0.00183046  0.00265631
          98  0.00925424 -0.00171736  0.00263161
          99  -0.0535918 -0.00224134  0.00265669
         100  -0.0212059 -0.00243099  0.00263688
         101   0.0055245 -0.00235222  0.00261195
         102   0.0204773  -0.0021284  0.00259591
         103  -0.0215445  -0.0023169  0.00257754
         104   0.0093582 -0.00220464   0.0025552
         105  -0.0137179 -0.00231429  0.00253322
         106    0.037407 -0.00193956  0.00253689
         107  -0.0237699 -0.00214359  0.00252137
         108  0.00266882 -0.00209903  0.00249842
         109   0.0041143 -0.00204202  0.00247614
         110    0.047767 -0.00158921  0.00249469
         111 -0.00336594 -0.00160522  0.00247227
         112  -0.0223858 -0.00179076  0.00245715
         113  -0.0459062 -0.00218116  0.00246622
         114   0.0185759 -0.00199908   0.0024513
         115  -0.0418666 -0.00234576  0.00245438
         116 -0.00740008 -0.00238933  0.00243361
         117  -0.0271291 -0.00260078  0.00242197
         118  0.00211334 -0.00256083  0.00240178
         119  -0.0559302 -0.00300931  0.00242311
         120  -0.0244805 -0.00318824  0.00240951
         121  -0.0272147 -0.00338681  0.00239777
         122   -0.023687  -0.0035532  0.00238388
         123 -0.00938048 -0.00360058  0.00236497
         124   0.0139676  -0.0034589  0.00235014
         125  -0.0144992 -0.00354722  0.00233299
         126  -0.0182288 -0.00366374  0.00231739
         127  0.00641876 -0.00358435   0.0023005
         128  0.00495978  -0.0035176  0.00228349
         129   0.0126444 -0.00339231  0.00226923
         130  -0.0067644 -0.00341825  0.00225192
         131  -0.0516894 -0.00378673  0.00226468
         132  -0.0203098 -0.00391191  0.00225098
         133  -0.0603289  -0.0043361  0.00227367
         134  0.00644094 -0.00425567  0.00225812
