#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1     0.89198     0.89198           0
           2    0.892048    0.892014  2.4077e-05
           3    0.887446    0.890491  0.00124326
           4    0.888001    0.889869  0.00107714
           5    0.891988    0.890293 0.000941425
           6    0.884135    0.889266  0.00122199
           7    0.882769    0.888338  0.00135485
           8    0.885538    0.887988  0.00122987
           9    0.884143    0.887561  0.00116504
          10     0.89096    0.887901    0.001097
          11    0.889868     0.88808  0.00101175
          12    0.890526    0.888284 0.000947742
          13    0.885156    0.888043 0.000904858
          14    0.885977    0.887895 0.000852172
          15    0.886861    0.887826 0.000798147
          16    0.894839    0.888265 0.000860213
          17    0.872678    0.887348  0.00120279
          18    0.889907     0.88749  0.00114434
          19    0.881286    0.887163  0.00112973
          20    0.889684    0.887289  0.00108025
          21    0.881264    0.887003  0.00106623
          22     0.86528    0.886015   0.0014023
          23    0.897936    0.886533  0.00143392
          24    0.888955    0.886634  0.00137772
          25    0.890192    0.886777  0.00132994
          26    0.891611    0.886963  0.00129172
          27    0.878808    0.886661   0.0012787
          28    0.887836    0.886703  0.00123372
          29    0.892073    0.886888    0.001205
          30    0.881066    0.886694  0.00118035
          31    0.895248     0.88697  0.00117409
          32    0.892123    0.887131  0.00114839
          33    0.883651    0.887025  0.00111842
          34    0.890403    0.887125  0.00108993
          35    0.874389    0.886761  0.00111788
          36    0.898739    0.887093  0.00113527
          37    0.888352    0.887127   0.0011051
          38    0.892082    0.887258  0.00108368
          39    0.889679     0.88732  0.00105767
          40    0.896025    0.887538  0.00105338
          41    0.879635    0.887345  0.00104517
          42    0.882302    0.887225  0.00102716
          43    0.877099    0.886989  0.00102992
          44    0.886121     0.88697   0.0010067
          45    0.887236    0.886975 0.000984344
          46    0.891016    0.887063 0.000966856
          47    0.881847    0.886952 0.000952632
          48     0.88665    0.886946 0.000932807
          49    0.889086     0.88699 0.000914792
          50    0.885309    0.886956 0.000897113
          51     0.88683    0.886954 0.000879526
          52    0.884467    0.886906 0.000863912
          53    0.886499    0.886898 0.000847646
          54    0.886957    0.886899 0.000831949
          55    0.890465    0.886964 0.000819346
          56    0.893778    0.887086   0.0008137
          57    0.882269    0.887001 0.000803801
          58    0.895553    0.887149  0.00080335
          59    0.882628    0.887072 0.000793379
          60     0.89503    0.887205 0.000791165
          61    0.886174    0.887188 0.000778376
          62     0.88676    0.887181 0.000765852
          63    0.888097    0.887195 0.000753834
          64    0.881421    0.887105 0.000747435
          65    0.892242    0.887184 0.000740103
          66    0.878276    0.887049 0.000741095
          67    0.880011    0.886944 0.000737442
