#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.974544   -0.974544           0
           2   -0.973713   -0.974128 0.000293874
           3   -0.974776   -0.974344  0.00026348
           4   -0.973923   -0.974239 0.000217627
           5   -0.974309   -0.974253 0.000174556
           6   -0.973651   -0.974152 0.000171868
           7   -0.974229   -0.974163 0.000147661
           8   -0.973831   -0.974122 0.000134935
           9   -0.973573   -0.974061 0.000133001
          10   -0.974874   -0.974142  0.00014241
          11   -0.974487   -0.974173 0.000132866
          12   -0.974671   -0.974215 0.000128098
          13   -0.973864   -0.974188 0.000121063
          14    -0.97433   -0.974198 0.000112843
          15   -0.973511   -0.974152 0.000114247
          16   -0.974284    -0.97416 0.000107402
          17   -0.974528   -0.974182 0.000103236
          18   -0.974575   -0.974204 9.97852e-05
          19   -0.973805   -0.974183 9.67185e-05
          20   -0.973835   -0.974166 9.34347e-05
          21   -0.974298   -0.974172 8.91992e-05
          22   -0.973322   -0.974133  9.3136e-05
          23   -0.974303   -0.974141 8.93792e-05
          24   -0.974072   -0.974138 8.57014e-05
          25   -0.973854   -0.974126 8.30193e-05
          26   -0.973831   -0.974115  8.0601e-05
          27   -0.974319   -0.974123 7.79705e-05
          28   -0.973954   -0.974117 7.54168e-05
          29   -0.974358   -0.974125  7.3274e-05
          30   -0.974877    -0.97415 7.49967e-05
          31   -0.974148    -0.97415 7.25775e-05
          32   -0.974716   -0.974168 7.24302e-05
          33   -0.973769   -0.974156  7.1235e-05
          34   -0.973994   -0.974151 6.92979e-05
          35   -0.974057   -0.974148 6.73693e-05
          36   -0.974106   -0.974147 6.55081e-05
          37   -0.973649   -0.974133 6.51051e-05
          38   -0.973934   -0.974128 6.36025e-05
          39    -0.97375   -0.974119 6.27055e-05
          40   -0.974626   -0.974131 6.24092e-05
          41   -0.974034   -0.974129 6.09319e-05
          42   -0.974537   -0.974139   6.025e-05
          43   -0.973913   -0.974133 5.90769e-05
          44   -0.973534    -0.97412 5.92852e-05
          45   -0.973489   -0.974106 5.95997e-05
          46   -0.974315    -0.97411 5.84777e-05
          47   -0.973943   -0.974107 5.73419e-05
          48   -0.973861   -0.974102 5.63745e-05
          49   -0.974421   -0.974108 5.55987e-05
          50   -0.974664   -0.974119 5.55876e-05
          51   -0.973948   -0.974116 5.45991e-05
          52   -0.974345    -0.97412 5.37269e-05
          53   -0.973793   -0.974114 5.30677e-05
          54   -0.974128   -0.974114 5.20856e-05
          55   -0.974086   -0.974114 5.11412e-05
          56   -0.973683   -0.974106 5.08032e-05
          57   -0.973688   -0.974099 5.04397e-05
          58   -0.974897   -0.974113 5.14124e-05
          59   -0.974284   -0.974115 5.06231e-05
          60   -0.973721   -0.974109 5.02051e-05
          61   -0.974046   -0.974108 4.93927e-05
          62   -0.974034   -0.974107 4.86105e-05
          63   -0.974591   -0.974114 4.84439e-05
          64   -0.973885   -0.974111 4.78194e-05
          65   -0.974056    -0.97411 4.70912e-05
          66   -0.973745   -0.974104 4.67015e-05
          67   -0.974295   -0.974107  4.6091e-05
          68   -0.974618   -0.974115 4.60208e-05
          69   -0.974218   -0.974116 4.53781e-05
          70   -0.974416    -0.97412 4.49312e-05
          71   -0.974333   -0.974123 4.43984e-05
          72   -0.974288   -0.974126 4.38406e-05
          73   -0.973981   -0.974124 4.32849e-05
          74   -0.974398   -0.974128 4.28587e-05
          75    -0.97426   -0.974129 4.23238e-05
          76   -0.974819   -0.974138 4.27275e-05
          77   -0.974455   -0.974142 4.23698e-05
          78   -0.974316   -0.974145 4.18848e-05
          79    -0.97426   -0.974146 4.13802e-05
          80   -0.974579   -0.974152 4.12149e-05
          81   -0.974195   -0.974152 4.07095e-05
          82   -0.973924   -0.974149 4.03075e-05
          83   -0.973838   -0.974146 3.99963e-05
          84   -0.974221   -0.974146 3.95303e-05
          85   -0.973709   -0.974141 3.93987e-05
          86   -0.974019    -0.97414 3.89664e-05
          87   -0.974346   -0.974142 3.85905e-05
          88   -0.973763   -0.974138 3.83913e-05
          89   -0.974104   -0.974138 3.79619e-05
          90   -0.974062   -0.974137 3.75492e-05
          91   -0.974011   -0.974135 3.71619e-05
          92   -0.973954   -0.974133 3.68101e-05
          93   -0.973824    -0.97413 3.65639e-05
          94   -0.974325   -0.974132 3.62335e-05
          95   -0.973387   -0.974124  3.6691e-05
          96   -0.973756    -0.97412 3.65085e-05
          97   -0.974414   -0.974123 3.62572e-05
          98   -0.973543   -0.974118 3.63676e-05
          99   -0.974798   -0.974124 3.66431e-05
         100   -0.974122   -0.974124 3.62767e-05
         101   -0.974484   -0.974128 3.60917e-05
         102   -0.973963   -0.974126 3.57739e-05
         103   -0.973855   -0.974124 3.55234e-05
         104   -0.974578   -0.974128 3.54493e-05
         105   -0.973661   -0.974124 3.53896e-05
         106   -0.973866   -0.974121 3.51393e-05
         107    -0.97447   -0.974124 3.49617e-05
         108   -0.974402   -0.974127 3.47325e-05
         109   -0.974273   -0.974128 3.44398e-05
         110   -0.974303    -0.97413 3.41633e-05
         111   -0.974414   -0.974133 3.39513e-05
         112   -0.973654   -0.974128 3.39155e-05
         113   -0.973936   -0.974127  3.3658e-05
         114    -0.97455    -0.97413 3.35676e-05
         115   -0.973719   -0.974127 3.34657e-05
         116   -0.973857   -0.974124 3.32581e-05
         117   -0.973393   -0.974118  3.3556e-05
