#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     1.36278     1.36278           0
           2     1.35868     1.36073  0.00144852
           3     1.35626     1.35924  0.00155262
           4     1.35693     1.35866  0.00126741
           5     1.35964     1.35886  0.00102899
           6     1.35927     1.35893 0.000859754
           7      1.3607     1.35918 0.000773173
           8     1.35377      1.3585 0.000926336
           9     1.36547     1.35928  0.00110039
          10     1.36145     1.35949  0.00101147
          11     1.36227     1.35975 0.000950552
          12     1.35981     1.35975 0.000871352
          13      1.3562     1.35948 0.000846002
          14     1.35999     1.35952 0.000786346
          15     1.35842     1.35944 0.000737283
          16     1.36469     1.35977 0.000760674
          17     1.36142     1.35987 0.000722101
          18     1.36318     1.36005 0.000705099
          19     1.35959     1.36003 0.000668406
          20     1.36038     1.36005 0.000635217
          21     1.35785     1.35994  0.00061349
          22     1.36285     1.36007 0.000599667
          23      1.3564     1.35991 0.000594481
          24     1.35514     1.35971 0.000602011
          25      1.3607     1.35975 0.000579206
          26     1.36179     1.35983 0.000562195
          27     1.36156      1.3599 0.000544987
          28     1.35743     1.35981 0.000532613
          29     1.35527     1.35965 0.000536715
          30     1.36432     1.35981 0.000540934
          31     1.36376     1.35993 0.000538327
          32     1.35867      1.3599 0.000522955
          33     1.35717     1.35981  0.00051358
          34     1.36012     1.35982 0.000498556
          35     1.35806     1.35977 0.000486846
          36     1.35916     1.35975  0.00047362
          37      1.3627     1.35983 0.000467472
          38     1.36108     1.35987 0.000456328
          39     1.36235     1.35993 0.000449045
          40     1.35869      1.3599 0.000438897
          41     1.35708     1.35983 0.000433564
          42     1.35746     1.35977 0.000426893
          43     1.35906     1.35976 0.000417286
          44     1.36068     1.35978 0.000408328
          45      1.3585     1.35975 0.000400242
          46     1.35962     1.35975 0.000391552
          47     1.36184     1.35979 0.000385742
          48     1.35804     1.35976 0.000379423
          49     1.35921     1.35974 0.000371844
          50      1.3581     1.35971 0.000365857
