#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.434901    0.434901           0
           2    0.435711    0.435306 0.000286505
           3    0.435559     0.43539 0.000202979
           4    0.436264    0.435609 0.000242887
           5    0.435441    0.435575 0.000196624
           6    0.435833    0.435618 0.000168493
           7    0.436483    0.435742 0.000184255
           8    0.437697    0.435986 0.000279738
           9    0.437897    0.436199 0.000319223
          10    0.434961    0.436075 0.000310379
          11    0.436312    0.436096 0.000282912
          12    0.437318    0.436198 0.000277053
          13    0.434662     0.43608 0.000279794
          14    0.438196    0.436231 0.000297856
          15    0.434388    0.436108  0.00030228
          16     0.43618    0.436113 0.000283421
          17    0.434141    0.435997 0.000289518
          18    0.435539    0.435971 0.000274547
          19    0.436377    0.435993 0.000260927
          20    0.435171    0.435952 0.000251096
          21     0.43647    0.435976  0.00024035
          22    0.437392    0.436041 0.000237888
          23    0.434076    0.435955 0.000242397
          24    0.436357    0.435972 0.000232875
          25    0.434311    0.435906 0.000232848
          26    0.436538     0.43593  0.00022516
          27    0.437935    0.436004 0.000228736
          28      0.4363    0.436015 0.000220811
          29    0.436651    0.436037 0.000214286
          30    0.435879    0.436031 0.000207207
          31    0.435954    0.436029 0.000200538
          32    0.436503    0.436044 0.000194817
          33    0.433933     0.43598  0.00019914
          34    0.435044    0.435952 0.000195174
          35    0.433427     0.43588 0.000202495
          36    0.437845    0.435935 0.000204092
          37    0.436076    0.435939 0.000198612
          38    0.436375     0.43595 0.000193718
          39    0.435745    0.435945 0.000188822
          40    0.434018    0.435897 0.000190146
          41    0.434882    0.435872  0.00018711
          42    0.435675    0.435867 0.000182714
          43    0.435863    0.435867 0.000178465
          44    0.436154    0.435874 0.000174529
          45    0.434975    0.435854 0.000171789
          46    0.436686    0.435872 0.000169006
          47    0.436435    0.435884 0.000165834
          48    0.436048    0.435887 0.000162415
          49     0.43576    0.435885 0.000159121
          50    0.435747    0.435882 0.000155962
