#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.677285    0.677285           0
           2    0.670529    0.673907   0.0023885
           3    0.660127    0.669313  0.00407447
           4    0.663398    0.667835  0.00331335
           5    0.681074    0.670483  0.00355457
           6    0.671039    0.670575  0.00296335
           7    0.667345    0.670114   0.0025757
           8    0.674452    0.670656  0.00231012
           9    0.668931    0.670464  0.00206138
          10    0.674365    0.670854   0.0018918
          11    0.671047    0.670872   0.0017199
          12    0.667048    0.670553  0.00160582
          13    0.682913    0.671504  0.00174114
          14    0.668024    0.671255  0.00163442
          15    0.659605    0.670479  0.00170003
          16    0.672363    0.670597  0.00159785
          17    0.687484     0.67159  0.00178617
          18    0.667732    0.671376  0.00169974
          19    0.668872    0.671244  0.00161539
          20    0.675763     0.67147  0.00155034
          21     0.65557    0.670713  0.00165107
          22    0.665167    0.670461  0.00159515
          23    0.670726    0.670472  0.00152583
          24    0.673366    0.670593  0.00146701
          25    0.653278      0.6699   0.0015633
          26    0.683397    0.670419  0.00158703
          27    0.659448    0.670013  0.00157941
          28      0.6719     0.67008  0.00152444
          29    0.669405    0.670057  0.00147205
          30    0.676301    0.670265  0.00143763
          31    0.681933    0.670641  0.00143968
          32     0.66883    0.670585   0.0013958
          33    0.664489      0.6704  0.00136567
          34    0.675555    0.670552   0.0013339
          35    0.675542    0.670694  0.00130338
          36    0.679803    0.670947   0.0012915
          37    0.677172    0.671116  0.00126751
          38    0.666326     0.67099   0.0012404
          39    0.677462    0.671156  0.00121965
          40    0.673566    0.671216  0.00119065
          41    0.677816    0.671377  0.00117244
          42    0.657229     0.67104  0.00119193
          43    0.668115    0.670972  0.00116615
          44    0.668616    0.670918  0.00114088
          45    0.669872    0.670895  0.00111576
          46     0.66731    0.670817  0.00109423
          47    0.661016    0.670609  0.00109063
          48    0.670187      0.6706  0.00106795
          49    0.672354    0.670636  0.00104675
          50    0.669864     0.67062  0.00102593
