#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1  -0.0104218  -0.0104218           0
           2   0.0120725  0.00082535  0.00795292
           3   0.0148906  0.00551377  0.00653948
           4   0.0113275  0.00696721  0.00506356
           5  -0.0170634  0.00216109  0.00590664
           6  0.00283646  0.00227365  0.00492327
           7   0.0191802  0.00468887  0.00477577
           8 -0.00323554  0.00369832  0.00428029
           9  0.00330676  0.00365481  0.00380492
          10   0.0077119  0.00406052  0.00344599
          11   0.0117602  0.00476049  0.00320302
          12    0.010584  0.00524578  0.00297264
          13 -0.00037072  0.00481374  0.00277519
          14  -0.0030537  0.00425178  0.00263325
          15  0.00949258  0.00460117  0.00248077
          16  0.00956912  0.00491167  0.00234507
          17  -0.0164034  0.00365784  0.00252012
          18 -0.00323264  0.00327504  0.00240901
          19  0.00060918  0.00313473   0.0022863
          20 -0.00470696  0.00274264  0.00220535
          21 -0.00486414  0.00238042  0.00212988
          22 -0.00495082  0.00204718  0.00205897
          23  0.00090176  0.00199738  0.00197005
          24  0.00044034   0.0019325  0.00188903
          25  -0.0034611  0.00171676  0.00182575
          26  -0.0074664  0.00136356  0.00178937
          27   0.0112838  0.00173097  0.00176041
          28   0.0059632  0.00188213  0.00170401
          29 -0.00615608  0.00160495  0.00166765
          30 -0.00596908  0.00135248  0.00163106
          31  0.00382306  0.00143217  0.00158039
          32    0.018918  0.00197861  0.00162272
          33  -0.0036171  0.00180904  0.00158238
          34 -0.00018074  0.00175052  0.00153692
          35  0.00936568  0.00196809  0.00150833
          36  0.00196522  0.00196801  0.00146644
          37  -0.0011827  0.00188286  0.00142927
          38 -0.00525092  0.00169513  0.00140393
          39   -0.005747  0.00150431  0.00138084
          40 -0.00792546  0.00126856   0.0013663
          41 -0.00291022  0.00116664  0.00133677
          42  0.00682802  0.00130143  0.00131172
          43 -0.00825068  0.00107929  0.00129989
          44   0.0103547   0.0012901  0.00128733
          45  -0.0127639 0.000977785  0.00129605
          46  -0.0085713 0.000770197  0.00128439
          47  0.00148304 0.000785363  0.00125715
          48 -0.00240034 0.000718995  0.00123271
          49  -0.0017671 0.000668258   0.0012086
          50  0.00055866 0.000666066  0.00118443
