#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1 -0.00122148 -0.00122148           0
           2 -0.00071334 -0.00096741 0.000179655
           3  0.00351176 0.000525647  0.00122495
           4   0.0014425  0.00075486 0.000939909
           5 -0.00502294  -0.0004007  0.00127814
           6  -0.0013476-0.000558517  0.00107482
           7   -0.000502-0.000550443 0.000921303
           8  -0.0035256-0.000922338 0.000877997
           9  0.00055626-0.000758049 0.000795664
          10  0.00275986-0.000406258 0.000790049
          11  0.00138142-0.000243742 0.000734751
          12   0.0011859-0.000124605 0.000683113
          13  -3.052e-05-0.000117368 0.000630604
          14   0.0012564-1.92414e-05 0.000593146
          15 -0.00101004-8.52947e-05 0.000557269
          16  0.00085138-2.67525e-05 0.000525505
          17 -0.00287466-0.000194276 0.000520611
          18  0.00289132-2.28544e-05 0.000519144
          19  0.00245144 0.000107372 0.000507891
          20 -0.00127182  3.8412e-05 0.000487156
          21 -0.00410396-0.000158844 0.000502309
          22 -0.00195262-0.000240379 0.000486049
          23  0.00076546-0.000196647  0.00046688
          24 -0.00190654-0.000267893  0.00045283
          25  0.00084794-0.000223259 0.000436911
          26   0.0012234-0.000167618 0.000423634
          27  0.00201448   -8.68e-05 0.000415582
          28  0.00052938-6.47936e-05 0.000401322
          29   0.0011724-2.21317e-05 0.000389744
          30  0.00153088 2.96353e-05 0.000380175
          31  0.00154538 7.85303e-05 0.000371042
          32  0.00060804 9.50775e-05 0.000359816
          33 -0.00398916-2.86873e-05 0.000369585
          34    0.000321-1.84024e-05 0.000358858
          35  0.00069828 2.07429e-06 0.000349189
          36  0.00117356 3.46156e-05 0.000341002
          37  0.00306898 0.000116625 0.000341505
          38  0.00100894 0.000140107 0.000333324
          39  -0.0014673 9.88918e-05 0.000327316
          40 -0.00124306  6.5343e-05 0.000320848
          41 -0.00118092 3.49463e-05 0.000314459
          42  0.00106162  5.9391e-05  0.00030792
          43   0.0006253 7.25516e-05  0.00030104
          44  0.00247914 0.000127247 0.000299126
          45 -0.00018174  0.00012038 0.000292558
          46 -0.00155222 8.40196e-05 0.000288448
          47 -0.00333112  1.1357e-05  0.00029132
          48  0.00177732 4.81479e-05 0.000287564
          49   9.178e-05 4.90384e-05 0.000281697
          50 -0.00353844-2.27112e-05 0.000285054
