#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.554741   -0.554741           0
           2   -0.554577   -0.554659 5.80535e-05
           3   -0.554618   -0.554646 4.02985e-05
           4   -0.554757   -0.554673 3.86264e-05
           5   -0.554852   -0.554709 4.44273e-05
           6   -0.554747   -0.554715 3.74713e-05
           7   -0.554674   -0.554709 3.25839e-05
           8    -0.55452   -0.554686 3.61281e-05
           9   -0.554661   -0.554683 3.22145e-05
          10   -0.554626   -0.554677 2.94887e-05
          11   -0.554692   -0.554679 2.68386e-05
          12   -0.554485   -0.554663 2.90365e-05
          13   -0.554784   -0.554672 2.82753e-05
          14   -0.554465   -0.554657 2.98778e-05
          15   -0.554521   -0.554648 2.92241e-05
          16   -0.554601   -0.554645 2.75471e-05
          17   -0.554855   -0.554657 2.85499e-05
          18   -0.554793   -0.554665 2.79423e-05
          19   -0.554468   -0.554655 2.83276e-05
          20   -0.554556    -0.55465 2.73395e-05
          21   -0.554584   -0.554647 2.62178e-05
          22   -0.554542   -0.554642  2.5452e-05
          23   -0.554717   -0.554645 2.45559e-05
          24   -0.554596   -0.554643 2.36187e-05
          25   -0.554594   -0.554641 2.27568e-05
          26   -0.554954   -0.554653 2.48535e-05
          27   -0.554339   -0.554641 2.65205e-05
          28   -0.554356   -0.554631 2.74614e-05
          29   -0.554611   -0.554631 2.65231e-05
          30   -0.554659   -0.554632 2.56563e-05
          31   -0.554604   -0.554631 2.48439e-05
          32    -0.55465   -0.554631 2.40747e-05
          33   -0.554514   -0.554628 2.36048e-05
          34   -0.554735   -0.554631 2.31192e-05
          35   -0.554735   -0.554634 2.26479e-05
          36   -0.554591   -0.554633 2.20499e-05
          37   -0.554631   -0.554633  2.1454e-05
          38    -0.55471   -0.554635 2.09849e-05
          39     -0.5548   -0.554639 2.08701e-05
          40   -0.554677    -0.55464 2.03705e-05
          41   -0.554706   -0.554641 1.99373e-05
          42   -0.554552   -0.554639 1.95751e-05
          43   -0.554528   -0.554637 1.92915e-05
          44   -0.554652   -0.554637  1.8856e-05
          45   -0.554431   -0.554632  1.8986e-05
          46   -0.554511    -0.55463 1.87573e-05
          47   -0.554664   -0.554631 1.83727e-05
          48   -0.554725   -0.554633 1.80945e-05
          49   -0.554598   -0.554632 1.77388e-05
          50   -0.554761   -0.554634 1.75698e-05
