#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     1.90545     1.90545           0
           2     1.90429     1.90487  0.00040825
           3     1.90479     1.90484 0.000273159
           4      1.9049     1.90486 0.000205301
           5     1.90489     1.90486 0.000164335
           6       1.906     1.90505 0.000220616
           7     1.90894     1.90561 0.000547293
           8     1.90345     1.90534 0.000541483
           9     1.91014     1.90587 0.000696039
          10     1.90925     1.90621 0.000703639
          11     1.91009     1.90656 0.000722925
          12      1.9087     1.90674 0.000684227
          13     1.90518     1.90662 0.000642099
          14     1.90674     1.90663 0.000596292
          15     1.90629     1.90661 0.000556958
          16     1.90559     1.90654 0.000525744
          17     1.90473     1.90644 0.000505489
          18     1.90602     1.90641 0.000477929
          19     1.90371     1.90627  0.00047347
          20     1.91049     1.90648 0.000494464
          21     1.90896      1.9066 0.000484812
          22     1.90382     1.90647 0.000478927
          23     1.90806     1.90654 0.000463063
          24     1.90725     1.90657 0.000444709
          25      1.9108     1.90674  0.00045793
          26     1.90694     1.90675 0.000440383
          27     1.90294     1.90661 0.000446091
          28     1.90727     1.90663 0.000430792
          29     1.91202     1.90682 0.000454263
          30      1.9067     1.90681 0.000439138
          31     1.90736     1.90683 0.000425332
          32     1.90548     1.90679 0.000414144
          33     1.91155     1.90693 0.000425975
          34     1.90969     1.90701 0.000421073
          35     1.90628     1.90699 0.000409566
          36     1.90831     1.90703 0.000399829
          37     1.90836     1.90707 0.000390636
          38     1.90994     1.90714 0.000387591
          39     1.90842     1.90717  0.00037903
          40     1.91115     1.90727 0.000382377
          41     1.90893     1.90731 0.000375191
          42     1.90157     1.90718 0.000390424
          43     1.91297     1.90731 0.000403918
          44     1.90654     1.90729 0.000395117
          45     1.90705     1.90729 0.000386374
          46     1.90243     1.90718 0.000392159
          47     1.90684     1.90718 0.000383882
          48     1.90606     1.90715 0.000376584
          49     1.91169     1.90725 0.000380129
          50     1.91174     1.90734 0.000383026
