#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.317527    0.317527           0
           2    0.318105    0.317816 0.000204236
           3    0.318855    0.318163 0.000313922
           4    0.318583    0.318268 0.000252428
           5    0.317868    0.318188 0.000214248
           6    0.317055    0.317999 0.000248109
           7    0.317953    0.317992 0.000212753
           8    0.318235    0.318023 0.000188314
           9    0.317806    0.317999 0.000168928
          10    0.318258    0.318024 0.000154009
          11    0.318797    0.318095  0.00015521
          12    0.318662    0.318142 0.000149295
          13    0.318031    0.318133 0.000138053
          14     0.31849    0.318159 0.000130515
          15    0.318476     0.31818 0.000123515
          16    0.318194    0.318181 0.000115798
          17    0.317923    0.318166 0.000109979
          18    0.318191    0.318167 0.000103878
          19    0.318361    0.318177 9.89121e-05
          20    0.319333    0.318235  0.00010955
          21    0.318058    0.318227 0.000104656
          22    0.318024    0.318217 0.000100305
          23     0.31782      0.3182   9.742e-05
          24    0.318399    0.318208 9.37127e-05
          25    0.317163    0.318167  9.8855e-05
          26     0.31749    0.318141 9.84194e-05
          27    0.318539    0.318155 9.58741e-05
          28     0.31751    0.318132  9.5183e-05
          29    0.318833    0.318156 9.49162e-05
          30    0.318643    0.318173 9.31247e-05
          31     0.31832    0.318177 9.02418e-05
          32     0.31803    0.318173 8.75392e-05
          33    0.318223    0.318174 8.48996e-05
          34    0.318121    0.318173 8.24168e-05
          35    0.318152    0.318172 8.00643e-05
          36    0.317417    0.318151 8.05404e-05
          37    0.317649    0.318138 7.94992e-05
          38    0.317949    0.318133 7.75624e-05
          39    0.317966    0.318128 7.56916e-05
          40     0.31796    0.318124  7.3916e-05
          41    0.318229    0.318127 7.21571e-05
          42    0.318084    0.318126 7.04462e-05
          43    0.318275    0.318129 6.88929e-05
          44    0.318851    0.318146 6.92537e-05
          45     0.31843    0.318152 6.80026e-05
          46    0.318817    0.318166 6.80447e-05
          47    0.317969    0.318162 6.67266e-05
          48    0.318149    0.318162  6.5337e-05
          49    0.319066     0.31818 6.65576e-05
          50    0.318404    0.318185 6.53762e-05
