#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1 -0.00200176 -0.00200176           0
           2   0.0013086 -0.00034658  0.00117039
           3 -0.00143954  -0.0007109 0.000835039
           4 -0.00093076-0.000765865 0.000628086
           5  0.00174636 -0.00026342 0.000674118
           6  -0.0007935-0.000351767 0.000567525
           7  -0.0011716-0.000468886 0.000498388
           8 -0.00235596 -0.00070477 0.000488734
           9 -0.00210544  -0.0008604  0.00045854
          10  0.00193608-0.000580752 0.000490604
          11  0.00036262-0.000494991 0.000453438
          12 -0.00172928-0.000597848 0.000427158
          13  0.00135422-0.000447689 0.000419864
          14  -0.0025582 -0.00059844 0.000416057
          15 -0.00259504-0.000731547 0.000409058
          16  -2.508e-05-0.000687392 0.000385868
          17   0.0010792-0.000583475 0.000376903
          18   0.0008373-0.000504543 0.000364135
          19  0.00137814-0.000405455 0.000358199
          20 -0.00205258-0.000487811 0.000349628
          21  0.00131308-0.000402054 0.000343335
          22  0.00138882-0.000320651 0.000337241
          23  0.00260206-0.000193577 0.000345692
          24  0.00151622-0.000122335 0.000338549
          25  0.00078148-8.61824e-05 0.000326932
          26  0.00285836 2.70692e-05 0.000333397
          27  0.00053052 4.57156e-05  0.00032157
          28  0.00216784 0.000121506 0.000318891
          29  0.00042672  0.00013203 0.000308069
          30   0.0035864 0.000247176 0.000318593
          31  -0.0008757 0.000210954 0.000310368
          32  0.00038532 0.000216403 0.000300717
          33  0.00032228 0.000219612 0.000291621
          34  0.00147036 0.000256398 0.000285355
          35 -0.00168114  0.00020104  0.00028252
          36 -0.00028086 0.000187654  0.00027499
          37  0.00318338 0.000268619 0.000279223
          38  -0.0023968 0.000198477 0.000280546
          39  0.00022084  0.00019905 0.000273354
          40 -0.00061352 0.000178736 0.000267273
          41 -0.00094162  0.00015141 0.000262148
          42  -0.0009449 0.000125308 0.000257202
          43 -0.00133468 9.13544e-05 0.000253452
          44  0.00050048 0.000100653 0.000247862
          45 -0.00073062   8.218e-05 0.000243042
          46  0.00176504 0.000118764 0.000240496
          47 -0.00112732 9.22515e-05 0.000236836
          48  -0.0016551 5.58483e-05 0.000234683
          49 -0.00201434 1.35996e-05 0.000233665
          50 -0.00089712 -4.6148e-06 0.000229701
