#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1     0.58354     0.58354           0
           2    0.583676    0.583608 4.79277e-05
           3    0.583125    0.583447 0.000135114
           4    0.583391    0.583433 0.000102059
           5    0.583075    0.583361 0.000103794
           6    0.584429    0.583539 0.000184024
           7     0.58408    0.583616 0.000173189
           8    0.584924     0.58378  0.00021525
           9    0.584187    0.583825 0.000196034
          10    0.583563    0.583799 0.000178178
          11    0.583398    0.583762 0.000165675
          12    0.584295    0.583807 0.000157692
          13    0.583739    0.583802 0.000145649
          14    0.584242    0.583833 0.000138599
          15    0.584849    0.583901  0.00014496
          16    0.584442    0.583935 0.000139792
          17    0.584287    0.583955 0.000133098
          18    0.584987    0.584013 0.000137504
          19    0.583757    0.583999 0.000130924
          20    0.583733    0.583986 0.000125051
          21    0.583655     0.58397 0.000120084
          22    0.584242    0.583982 0.000115258
          23    0.583595    0.583966 0.000111472
          24    0.584269    0.583978 0.000107541
          25    0.584241    0.583989  0.00010375
          26    0.583726    0.583979  0.00010025
          27    0.583497    0.583961 9.81097e-05
          28    0.582846    0.583921 0.000102372
          29     0.58482    0.583952 0.000103425
          30    0.583965    0.583952 9.99786e-05
          31    0.584395    0.583967 9.77696e-05
          32    0.584349    0.583979 9.54399e-05
          33    0.584629    0.583998 9.45606e-05
          34     0.58358    0.583986 9.25773e-05
          35    0.584335    0.583996 9.04675e-05
          36    0.582956    0.583967 9.24498e-05
          37    0.583154    0.583945 9.25246e-05
          38    0.583981    0.583946 9.00944e-05
          39    0.584155    0.583951 8.79429e-05
          40    0.584123    0.583956 8.58492e-05
          41    0.584326    0.583965 8.42291e-05
          42    0.584315    0.583973 8.26353e-05
          43    0.583333    0.583958 8.20454e-05
          44    0.584435    0.583969 8.08925e-05
          45    0.583393    0.583956 8.01003e-05
          46    0.584471    0.583967 7.91375e-05
          47     0.58384    0.583965 7.75002e-05
          48    0.584435    0.583975 7.65028e-05
          49    0.584003    0.583975 7.49437e-05
          50    0.584421    0.583984 7.39732e-05
