#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1   5.502e-05   5.502e-05           0
           2  -0.0003336 -0.00013929 0.000137398
           3 -0.00059706 -0.00029188 0.000154638
           4 -0.00055032 -0.00035649  0.00012877
           5  -0.0006809-0.000421372 0.000118237
           6  -0.0006297-0.000456093 0.000103504
           7  0.00043404-0.000328931 0.000147414
           8 -0.00131706-0.000452447 0.000173167
           9 -0.00167702-0.000588511 0.000200374
          10  -9.878e-05-0.000539538 0.000186225
          11  0.00011578-0.000479964  0.00017857
          12 -0.00073972 -0.00050161 0.000164996
          13  0.00093594-0.000391029 0.000185699
          14   8.404e-05-0.000357096 0.000175508
          15 -0.00115718-0.000410435 0.000171721
          16  0.00073012 -0.00033915 0.000175161
          17  0.00113694-0.000252321 0.000185131
          18   0.0001381-0.000230631 0.000176112
          19  -0.0005121-0.000245445 0.000167465
          20  0.00010214-0.000228066 0.000159991
          21   -9.15e-05-0.000221563 0.000152505
          22 -0.00045744-0.000232285 0.000145949
          23   2.012e-05 -0.00022131 0.000140015
          24    3.18e-06-0.000211957 0.000134493
          25  0.00042776-0.000186368 0.000131525
          26  0.00062864-0.000155022 0.000130149
          27  0.00039852 -0.00013452 0.000126933
          28    -6.7e-06-0.000129955 0.000122481
          29 -0.00010766-0.000129186  0.00011826
          30 -0.00050668-0.000141769 0.000114986
          31   0.0005927-0.000118077 0.000113691
          32   5.822e-05-0.000112567 0.000110272
          33  0.00080048-8.48994e-05 0.000110347
          34  0.00052104-6.70776e-05 0.000108531
          35  0.00054232-4.96663e-05 0.000106818
          36   -3.47e-05-4.92506e-05 0.000103851
          37   0.0008273  -2.556e-05 0.000103711
          38   0.0004402-1.33032e-05 0.000101704
          39  0.00116076  1.6801e-05 0.000103456
          40  0.00022454 2.19945e-05 0.000100999
          41 -0.00038142 1.21551e-05 9.90141e-05
          42 -0.00024892 5.93905e-06 9.68516e-05
          43  0.00013302 8.89442e-06 9.46443e-05
          44  -8.996e-05 6.64773e-06   9.252e-05
          45  -7.578e-05   4.816e-06 9.04821e-05
          46  0.00084174   2.301e-05 9.03258e-05
          47    0.000877   4.118e-05  9.0213e-05
          48  0.00086526 5.83483e-05 8.99524e-05
          49 -0.00077494 4.13424e-05 8.97097e-05
          50 -0.00085332 2.34492e-05 8.96822e-05
