#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1 -0.00022806 -0.00022806           0
           2 -0.00041752 -0.00032279 6.69842e-05
           3 -0.00041842-0.000354667 5.16874e-05
           4  0.00085972  -5.107e-05 0.000265765
           5  -4.252e-05  -4.936e-05 0.000212617
           6 -0.00060124 -0.00014134  0.00019607
           7   -2.78e-06-0.000121546 0.000169056
           8 -0.00014206 -0.00012411 0.000147944
           9  0.00085262-1.55844e-05 0.000166622
          10   1.782e-05 -1.2244e-05 0.000149993
          11   -0.000455-5.24945e-05 0.000141655
          12   5.268e-05  -4.373e-05 0.000130121
          13  0.00023318-2.24292e-05 0.000121843
          14  0.00014868-1.02071e-05 0.000113751
          15  -5.594e-05 -1.3256e-05 0.000106209
          16   0.0010197 5.13037e-05 0.000117566
          17 -0.00053346 1.69059e-05 0.000115573
          18 -0.00024134 2.55889e-06 0.000110039
          19  -9.358e-05-2.50105e-06 0.000104364
          20  0.00010796   3.022e-06 9.92918e-05
          21 -0.00024074-8.58571e-06 9.52397e-05
          22  0.00065694 2.16655e-05 9.55943e-05
          23  0.00054864 4.45774e-05 9.41438e-05
          24  0.00035304   5.743e-05 9.10942e-05
          25  0.00032236 6.80272e-05 8.80647e-05
          26 -0.00048252 4.68523e-05 8.71861e-05
          27  0.00037772 5.91067e-05 8.48139e-05
          28  0.00066944 8.09043e-05 8.45395e-05
          29  -8.006e-05 7.53538e-05 8.18063e-05
          30  -4.302e-05  7.1408e-05 7.91745e-05
          31  0.00053488 8.63587e-05 7.80193e-05
          32  -6.582e-05 8.16031e-05  7.5726e-05
          33  0.00079938 0.000103354 7.64913e-05
          34       8e-07 0.000100338  7.4301e-05
          35 -0.00052128 8.25771e-05 7.42705e-05
          36  0.00063936 9.80433e-05 7.38002e-05
          37   9.114e-05 9.78568e-05 7.18058e-05
          38  0.00067548 0.000113057  7.1507e-05
          39  -0.0001454  0.00010643 6.99799e-05
          40 -0.00013918  0.00010029 6.84993e-05
          41  -6.096e-05 9.63571e-05 6.69414e-05
          42  -0.0004918 8.23533e-05 6.67962e-05
          43   -6.36e-06 8.02902e-05 6.52747e-05
          44  0.00130238 0.000108065 6.94494e-05
          45   0.0003401 0.000113221 6.80972e-05
          46 -0.00096836 8.97087e-05 7.05594e-05
          47  0.00039948 9.62996e-05 6.93653e-05
          48 -0.00041386 8.56712e-05 6.87296e-05
          49 -0.00065302 7.05959e-05 6.89605e-05
          50  -2.598e-05 6.86644e-05 6.76083e-05
