#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.613228   -0.613228           0
           2   -0.613198   -0.613213 1.05925e-05
           3   -0.613381   -0.613269 4.63036e-05
           4   -0.613308   -0.613279 3.57669e-05
           5   -0.613378   -0.613299  3.3712e-05
           6   -0.613401   -0.613316 3.21419e-05
           7   -0.613503   -0.613342 3.70314e-05
           8   -0.613383   -0.613348 3.27539e-05
           9   -0.613255   -0.613337 3.06811e-05
          10   -0.613342   -0.613338 2.76167e-05
          11   -0.613085   -0.613315 3.32986e-05
          12   -0.613184   -0.613304 3.22661e-05
          13   -0.613327   -0.613306 2.98312e-05
          14   -0.613468   -0.613317 2.98677e-05
          15   -0.613508    -0.61333 3.04663e-05
          16   -0.613391   -0.613334 2.87973e-05
          17   -0.613379   -0.613336 2.72246e-05
          18    -0.61374   -0.613359  3.3718e-05
          19   -0.613227   -0.613352 3.26533e-05
          20   -0.613288   -0.613349 3.11782e-05
          21   -0.613205   -0.613342 3.04361e-05
          22   -0.613564   -0.613352 3.06818e-05
          23   -0.613522   -0.613359 3.02291e-05
          24   -0.613243   -0.613355 2.93545e-05
          25   -0.613146   -0.613346 2.93397e-05
          26   -0.613654   -0.613358 3.05064e-05
          27   -0.613177   -0.613351 3.01012e-05
          28   -0.613544   -0.613358 2.98044e-05
          29   -0.613246   -0.613354 2.90274e-05
          30   -0.613339   -0.613354 2.80641e-05
          31   -0.613286   -0.613352 2.72435e-05
          32   -0.613337   -0.613351  2.6396e-05
          33   -0.613485   -0.613355  2.5907e-05
          34   -0.613275   -0.613353 2.52529e-05
          35   -0.613281   -0.613351  2.4615e-05
          36   -0.613599   -0.613358 2.48761e-05
          37   -0.613163   -0.613352 2.47517e-05
          38   -0.613508   -0.613357 2.44374e-05
          39   -0.613696   -0.613365 2.53137e-05
          40   -0.613376   -0.613366 2.46823e-05
          41   -0.613353   -0.613365 2.40822e-05
          42   -0.613686   -0.613373 2.46884e-05
          43   -0.613335   -0.613372 2.41303e-05
          44   -0.613347   -0.613371 2.35883e-05
          45     -0.6131   -0.613365  2.3825e-05
          46   -0.613449   -0.613367 2.33755e-05
          47   -0.613095   -0.613361 2.35854e-05
          48   -0.613504   -0.613364 2.32815e-05
          49   -0.613503   -0.613367 2.29786e-05
          50   -0.613318   -0.613366 2.25405e-05
