# DISTANCE:     AVE_GOFR:        ERROR:
    0.064633           0           0
    0.129266           0           0
    0.193899           0           0
    0.258532           0           0
    0.323165           0           0
    0.387798           0           0
    0.452431           0           0
    0.517064           0           0
    0.581697           0           0
     0.64633           0           0
    0.710963           0           0
    0.775596           0           0
     0.84023           0           0
    0.904863 0.000934194 3.79541e-05
    0.969496    0.147708 0.000476131
     1.03413     1.06333  0.00148156
     1.09876     2.04219  0.00241141
     1.16339     2.26631  0.00277952
     1.22803     2.08534  0.00220474
     1.29266      1.8318  0.00179097
     1.35729     1.61689  0.00162165
     1.42193     1.45446  0.00134048
     1.48656     1.33499  0.00104448
     1.55119     1.25203 0.000962384
     1.61583     1.19022 0.000994881
     1.68046     1.14443  0.00094121
     1.74509     1.11315 0.000861499
     1.80973     1.09141 0.000851491
     1.87436       1.076 0.000824189
     1.93899     1.06576 0.000742852
     2.00362     1.06015 0.000734044
     2.06826     1.05673 0.000688335
     2.13289     1.05589 0.000720568
     2.19752     1.05183 0.000650589
     2.26216     1.04753 0.000680988
     2.32679     1.04254 0.000608124
     2.39142     1.03784 0.000654914
     2.45606     1.03222 0.000571315
     2.52069     1.02683 0.000610442
     2.58532     1.02114 0.000552394
     2.64995     1.01776 0.000533858
     2.71459     1.01396 0.000515909
     2.77922     1.01075 0.000493665
     2.84385     1.00718 0.000459266
     2.90849     1.00579 0.000480413
     2.97312     1.00386 0.000505846
     3.03775     1.00236 0.000428167
     3.10239    0.999583  0.00045465
     3.16702     0.99787 0.000388499
     3.23165     0.99744 0.000466695
     3.29629    0.995893  0.00039459
     3.36092    0.995753  0.00040397
     3.42555    0.994918 0.000427063
     3.49018    0.993898 0.000390306
     3.55482    0.993235 0.000341802
     3.61945    0.992843 0.000397917
     3.68408    0.991778 0.000360278
     3.74872    0.990826 0.000365194
     3.81335    0.990693 0.000357967
     3.87798    0.990081 0.000329392
     3.94262    0.990204 0.000372992
     4.00725     0.98915  0.00035506
     4.07188    0.989361 0.000280546
     4.13651    0.989157 0.000340152
     4.20115    0.989186 0.000328399
     4.26578    0.988137  0.00032188
     4.33041    0.988505 0.000297722
     4.39505    0.987754 0.000323274
     4.45968    0.987517 0.000298381
     4.52431    0.987652  0.00028639
     4.58895    0.987347 0.000277416
     4.65358    0.987288 0.000282224
     4.71821    0.986756 0.000303174
     4.78285    0.987272 0.000275577
     4.84748     0.98684 0.000310866
     4.91211    0.987252 0.000274821
     4.97674      0.9873 0.000303359
     5.04138    0.986435 0.000244803
     5.10601    0.986448 0.000261678
     5.17064    0.985918 0.000249936
     5.23528      0.9869 0.000249195
     5.29991    0.986324 0.000284946
     5.36454    0.986329 0.000237243
     5.42918    0.986336 0.000250723
     5.49381    0.985967 0.000241419
     5.55844    0.986337 0.000248083
     5.62307    0.986342 0.000262087
     5.68771    0.985844 0.000222406
     5.75234    0.986152 0.000223048
     5.81697     0.98598 0.000245086
     5.88161    0.985857 0.000228749
     5.94624    0.985995 0.000241064
     6.01087    0.986138  0.00023411
     6.07551     0.98617  0.00020952
     6.14014     0.98642 0.000191646
     6.20477    0.985431 0.000206862
      6.2694    0.985842 0.000220212
     6.33404    0.985993 0.000205782
     6.39867    0.986004  0.00022767
      6.4633    0.985767 0.000201031
