#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
           1         1.8         1.8           0
           2         1.8         1.8           0
           3         1.8         1.8 1.72064e-08
           4         1.8         1.8           0
           5         1.8         1.8 9.42432e-09
           6         1.8         1.8 1.21667e-08
           7         1.8         1.8 1.12642e-08
           8         1.8         1.8 1.05367e-08
           9         1.8         1.8           0
          10         1.8         1.8   6.664e-09
          11         1.8         1.8 8.98574e-09
          12         1.8         1.8 8.60319e-09
          13         1.8         1.8 8.26568e-09
          14         1.8         1.8 7.96501e-09
          15         1.8         1.8 7.69493e-09
          16         1.8         1.8 7.45058e-09
          17         1.8         1.8 7.22812e-09
          18         1.8         1.8           0
          19         1.8         1.8 6.83712e-09
          20         1.8         1.8  8.1617e-09
          21         1.8         1.8 1.02828e-08
          22         1.8         1.8 8.98574e-09
          23         1.8         1.8 1.07633e-08
          24         1.8         1.8 1.05367e-08
          25         1.8         1.8  1.1151e-08
          26         1.8         1.8 1.09345e-08
          27         1.8         1.8 1.21667e-08
          28         1.8         1.8 1.19475e-08
          29         1.8         1.8 1.17397e-08
          30         1.8         1.8 1.15424e-08
          31         1.8         1.8 1.25531e-08
          32         1.8         1.8 1.23554e-08
          33         1.8         1.8 1.21667e-08
          34         1.8         1.8 1.19865e-08
          35         1.8         1.8 1.28432e-08
          36         1.8         1.8 1.26636e-08
          37         1.8         1.8 1.14903e-08
          38         1.8         1.8 1.13381e-08
          39         1.8         1.8 1.01233e-08
          40         1.8         1.8 9.42432e-09
          41         1.8         1.8 9.30868e-09
          42         1.8         1.8 8.60319e-09
          43         1.8         1.8 7.87184e-09
          44         1.8         1.8 6.35388e-09
          45         1.8         1.8 6.28288e-09
          46         1.8         1.8 4.39411e-09
          47         1.8         1.8 4.34712e-09
          48         1.8         1.8 4.30159e-09
          49         1.8         1.8           0
          50         1.8         1.8           0
          51         1.8         1.8           0
          52         1.8         1.8 4.13284e-09
          53         1.8         1.8 4.09366e-09
          54         1.8         1.8 4.05558e-09
          55         1.8         1.8 4.92169e-09
          56         1.8         1.8 4.87755e-09
          57         1.8         1.8 4.83458e-09
          58         1.8         1.8 6.18737e-09
          59         1.8         1.8 6.13471e-09
          60         1.8         1.8 6.08337e-09
          61         1.8         1.8  6.0333e-09
          62         1.8         1.8  7.0809e-09
          63         1.8         1.8 7.02447e-09
          64         1.8         1.8 6.96938e-09
          65         1.8         1.8 6.91556e-09
          66         1.8         1.8 6.86297e-09
          67         1.8         1.8 7.72359e-09
          68         1.8         1.8 7.66658e-09
          69         1.8         1.8 7.61083e-09
          70         1.8         1.8 7.55627e-09
          71         1.8         1.8 7.50287e-09
          72         1.8         1.8 8.23693e-09
          73         1.8         1.8 8.18031e-09
          74         1.8         1.8 8.12485e-09
          75         1.8         1.8 8.07051e-09
          76         1.8         1.8 8.01724e-09
          77         1.8         1.8 7.96501e-09
          78         1.8         1.8 8.26568e-09
          79         1.8         1.8  8.2132e-09
          80         1.8         1.8 7.81423e-09
          81         1.8         1.8 7.76585e-09
          82         1.8         1.8 7.35916e-09
          83         1.8         1.8 6.93933e-09
          84         1.8         1.8  6.5034e-09
          85         1.8         1.8 6.46503e-09
          86         1.8         1.8 6.81722e-09
          87         1.8         1.8 6.39029e-09
          88         1.8         1.8 6.35388e-09
          89         1.8         1.8 5.91002e-09
          90         1.8         1.8 5.44113e-09
          91         1.8         1.8 5.41116e-09
          92         1.8         1.8 4.91277e-09
          93         1.8         1.8 4.88628e-09
          94         1.8         1.8 4.34712e-09
          95         1.8         1.8 5.29601e-09
          96         1.8         1.8 4.80933e-09
          97         1.8         1.8 4.27936e-09
          98         1.8         1.8 4.25747e-09
          99         1.8         1.8 3.66841e-09
         100         1.8         1.8 3.65002e-09
         101         1.8         1.8 2.96544e-09
         102         1.8         1.8 2.95087e-09
         103         1.8         1.8 2.07643e-09
         104         1.8         1.8 2.06642e-09
         105         1.8         1.8 2.05656e-09
         106         1.8         1.8 2.89466e-09
         107         1.8         1.8  2.8811e-09
         108         1.8         1.8 2.02779e-09
         109         1.8         1.8 2.01847e-09
         110         1.8         1.8           0
         111         1.8         1.8           0
         112         1.8         1.8           0
         113         1.8         1.8 1.98242e-09
         114         1.8         1.8 1.97371e-09
         115         1.8         1.8 2.77908e-09
         116         1.8         1.8 2.76708e-09
         117         1.8         1.8 2.75523e-09
         118         1.8         1.8 3.36012e-09
         119         1.8         1.8 3.34597e-09
         120         1.8         1.8 1.92373e-09
