#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1   -0.413387   -0.413387           0
           2   -0.412959   -0.413173 0.000151125
           3   -0.414377   -0.413574 0.000342884
           4   -0.413349   -0.413518 0.000261742
           5   -0.413375   -0.413489 0.000210955
           6   -0.412785   -0.413372 0.000205881
           7   -0.415276   -0.413644 0.000307484
           8   -0.413546   -0.413632 0.000269294
           9   -0.415906   -0.413884 0.000337725
          10   -0.413771   -0.413873 0.000304141
          11   -0.414167     -0.4139 0.000277663
          12   -0.412809   -0.413809 0.000268991
          13   -0.417046   -0.414058 0.000344802
          14   -0.415837   -0.414185 0.000342796
          15   -0.414309   -0.414193 0.000320042
          16   -0.413399   -0.414144 0.000303867
          17   -0.415167   -0.414204 0.000291894
          18   -0.413537   -0.414167 0.000278018
          19   -0.412906     -0.4141 0.000271185
          20   -0.412108   -0.414001 0.000275323
          21   -0.414662   -0.414032 0.000264006
          22   -0.416164   -0.414129 0.000269201
          23   -0.415189   -0.414175 0.000261414
          24   -0.411529   -0.414065 0.000272794
          25   -0.413919   -0.414059 0.000261945
          26   -0.416346   -0.414147 0.000266225
          27    -0.41726   -0.414262 0.000280226
          28    -0.41482   -0.414282 0.000270923
          29   -0.418058   -0.414413 0.000291181
          30   -0.414804   -0.414426 0.000281767
          31   -0.415049   -0.414446 0.000273394
          32   -0.413918   -0.414429 0.000265347
          33   -0.413855   -0.414412 0.000257877
          34   -0.413038   -0.414371 0.000253436
          35   -0.413302   -0.414341  0.00024803
          36   -0.415943   -0.414385 0.000245099
          37   -0.413397   -0.414359 0.000239925
          38   -0.415128   -0.414379 0.000234464
          39   -0.416375    -0.41443 0.000233973
          40   -0.413355   -0.414403 0.000229662
          41   -0.413909   -0.414391 0.000224377
          42   -0.412254    -0.41434 0.000224733
          43   -0.416522   -0.414391 0.000225162
          44   -0.414102   -0.414384  0.00022014
          45   -0.413804   -0.414372 0.000215625
          46   -0.413579   -0.414354 0.000211624
          47   -0.412868   -0.414323 0.000209472
          48   -0.411796    -0.41427 0.000211619
          49   -0.412735   -0.414239 0.000209606
          50   -0.412128   -0.414196 0.000209623
          51   -0.412438   -0.414162 0.000208329
          52   -0.418758    -0.41425 0.000222285
          53   -0.412855   -0.414224 0.000219643
          54   -0.414468   -0.414229 0.000215622
          55   -0.413473   -0.414215 0.000212139
          56    -0.41383   -0.414208 0.000208463
          57   -0.414481   -0.414213 0.000204861
          58   -0.413942   -0.414208 0.000201382
          59   -0.414007   -0.414205 0.000197997
          60   -0.415446   -0.414225 0.000195775
          61   -0.414257   -0.414226 0.000192566
          62   -0.412625     -0.4142 0.000191184
          63   -0.412865   -0.414179 0.000189321
          64   -0.412243   -0.414149 0.000188764
          65   -0.414443   -0.414153 0.000185914
          66   -0.415105   -0.414168 0.000183656
          67   -0.415064   -0.414181 0.000181401
          68   -0.417176   -0.414225 0.000184003
          69   -0.414122   -0.414224 0.000181342
          70   -0.415866   -0.414247 0.000180263
          71   -0.415563   -0.414266 0.000178675
          72   -0.413333   -0.414253 0.000176662
          73   -0.412205   -0.414225 0.000176454
          74   -0.414904   -0.414234 0.000174308
          75   -0.417661   -0.414279 0.000177874
          76    -0.41704   -0.414316 0.000179203
          77   -0.414466   -0.414318 0.000176886
          78   -0.412186    -0.41429 0.000176717
          79   -0.414444   -0.414292 0.000174491
          80   -0.413679   -0.414285 0.000172478
          81   -0.413826   -0.414279 0.000170442
          82   -0.418973   -0.414336 0.000177717
          83   -0.414245   -0.414335 0.000175579
          84   -0.414998   -0.414343 0.000173666
          85   -0.418691   -0.414394 0.000178997
          86   -0.414264   -0.414393 0.000176923
          87   -0.413042   -0.414377 0.000175569
          88    -0.41717   -0.414409  0.00017642
          89   -0.412794   -0.414391 0.000175369
          90   -0.414236   -0.414389 0.000173429
          91   -0.415032   -0.414396 0.000171667
          92   -0.413802    -0.41439 0.000169923
          93   -0.412847   -0.414373 0.000168903
          94   -0.413769   -0.414367 0.000167228
          95   -0.415378   -0.414377 0.000165806
          96   -0.412662   -0.414359 0.000165039
          97   -0.411779   -0.414333 0.000165468
          98   -0.414759   -0.414337 0.000163837
          99   -0.413104   -0.414325 0.000162655
         100    -0.41548   -0.414336 0.000161438
         101   -0.413684    -0.41433 0.000159968
         102   -0.415467   -0.414341 0.000158788
         103   -0.416725   -0.414364 0.000158924
         104   -0.412696   -0.414348 0.000158203
         105   -0.416287   -0.414366  0.00015777
         106   -0.414502   -0.414368 0.000156287
         107   -0.412529   -0.414351 0.000155769
         108   -0.417445   -0.414379  0.00015694
         109   -0.413798   -0.414374 0.000155591
         110   -0.416081   -0.414389 0.000154949
         111   -0.412505   -0.414372  0.00015448
         112   -0.413368   -0.414363 0.000153361
         113   -0.412972   -0.414351 0.000152497
         114   -0.411521   -0.414326 0.000153167
         115   -0.415293   -0.414335 0.000152066
         116   -0.414882   -0.414339 0.000150828
         117   -0.413325   -0.414331 0.000149788
         118   -0.416932   -0.414353 0.000150132
         119   -0.412035   -0.414333 0.000150129
         120   -0.414285   -0.414333 0.000148879
