#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
           1   0.0599014   0.0599014           0
           2    0.059899   0.0599002  8.6708e-07
           3   0.0598984   0.0598996 7.65347e-07
           4   0.0599024   0.0599003 8.39711e-07
           5    0.059899      0.0599 7.10474e-07
           6   0.0598967   0.0598995 7.81389e-07
           7   0.0598959    0.059899 8.19569e-07
           8   0.0598989    0.059899 7.17138e-07
           9   0.0598992    0.059899 6.38151e-07
          10   0.0598962   0.0598987 6.30694e-07
          11   0.0599033   0.0598991 6.99773e-07
          12   0.0598967   0.0598989 6.70173e-07
          13   0.0598968   0.0598988 6.38301e-07
          14   0.0599004   0.0598989 6.03845e-07
          15   0.0598972   0.0598988 5.73893e-07
          16   0.0598992   0.0598988   5.386e-07
          17    0.059901   0.0598989 5.22028e-07
          18   0.0598981   0.0598989 4.95267e-07
          19   0.0598974   0.0598988 4.75655e-07
          20   0.0598974   0.0598987  4.5678e-07
          21   0.0598976   0.0598987  4.3805e-07
          22   0.0599002   0.0598987 4.23558e-07
          23   0.0599001   0.0598988 4.08945e-07
          24   0.0598985   0.0598988 3.92135e-07
          25   0.0598961   0.0598987  3.9139e-07
          26   0.0598961   0.0598986 3.88635e-07
          27    0.059896   0.0598985 3.86112e-07
          28    0.059899   0.0598985 3.72782e-07
          29   0.0598997   0.0598985 3.62126e-07
          30    0.059898   0.0598985 3.50456e-07
          31   0.0598985   0.0598985 3.39155e-07
          32   0.0598978   0.0598985 3.29284e-07
          33   0.0598965   0.0598984 3.25027e-07
          34   0.0598981   0.0598984 3.15656e-07
          35   0.0598983   0.0598984 3.06676e-07
          36   0.0598958   0.0598984 3.06659e-07
          37   0.0598961   0.0598983 3.04262e-07
          38   0.0598987   0.0598983 2.96466e-07
          39   0.0598978   0.0598983 2.89182e-07
          40   0.0598974   0.0598983 2.82797e-07
          41   0.0598983   0.0598983   2.759e-07
          42   0.0598991   0.0598983  2.7009e-07
          43   0.0598984   0.0598983 2.63827e-07
          44   0.0598967   0.0598983 2.60378e-07
          45   0.0598958   0.0598982 2.60328e-07
          46   0.0598999   0.0598982 2.57339e-07
          47   0.0598973   0.0598982 2.52631e-07
          48    0.059899   0.0598982 2.47844e-07
          49   0.0598969   0.0598982 2.44331e-07
          50   0.0599011   0.0598983 2.46295e-07
          51   0.0598988   0.0598983   2.417e-07
          52   0.0598973   0.0598983 2.37752e-07
          53   0.0598971   0.0598982 2.34284e-07
          54   0.0598974   0.0598982 2.30436e-07
          55   0.0598984   0.0598982 2.26276e-07
          56   0.0598971   0.0598982 2.23124e-07
          57   0.0598995   0.0598982 2.20353e-07
          58   0.0598967   0.0598982 2.18191e-07
          59   0.0598973   0.0598982  2.1506e-07
          60   0.0598975   0.0598982 2.11797e-07
          61   0.0598973   0.0598982 2.08829e-07
          62   0.0598988   0.0598982 2.05748e-07
          63   0.0598952   0.0598981 2.07938e-07
          64   0.0598998   0.0598981 2.06433e-07
          65   0.0598968   0.0598981 2.04368e-07
          66    0.059897   0.0598981 2.02046e-07
          67   0.0598962   0.0598981 2.01134e-07
          68   0.0599003   0.0598981 2.00832e-07
          69   0.0598955   0.0598981 2.01391e-07
          70   0.0598966   0.0598981 1.99652e-07
          71   0.0598977    0.059898 1.96909e-07
          72   0.0598974    0.059898 1.94385e-07
          73   0.0598986    0.059898 1.91897e-07
          74   0.0598983   0.0598981 1.89346e-07
          75   0.0598962    0.059898  1.8834e-07
          76   0.0599007   0.0598981 1.89187e-07
          77   0.0598981   0.0598981  1.8673e-07
          78   0.0598987   0.0598981 1.84532e-07
          79   0.0598963    0.059898 1.83608e-07
          80   0.0598985   0.0598981 1.81383e-07
          81   0.0598983   0.0598981 1.79179e-07
          82   0.0598969    0.059898 1.77552e-07
          83   0.0598948    0.059898 1.79576e-07
          84   0.0598985    0.059898 1.77523e-07
          85   0.0598986    0.059898 1.75571e-07
          86   0.0598989    0.059898 1.73847e-07
          87    0.059897    0.059898 1.72232e-07
          88   0.0598979    0.059898 1.70281e-07
          89   0.0598976    0.059898 1.68424e-07
          90    0.059896    0.059898 1.68071e-07
          91   0.0598976    0.059898 1.66283e-07
          92   0.0598977    0.059898 1.64503e-07
          93    0.059897    0.059898 1.63057e-07
          94   0.0598981    0.059898 1.61325e-07
          95   0.0598984    0.059898 1.59701e-07
          96   0.0598976    0.059898 1.58086e-07
          97    0.059902    0.059898 1.61915e-07
          98   0.0599005    0.059898 1.62306e-07
          99   0.0598974    0.059898 1.60813e-07
         100   0.0598996    0.059898 1.59982e-07
         101   0.0598971    0.059898 1.58695e-07
         102   0.0598994   0.0598981 1.57684e-07
         103   0.0598999   0.0598981 1.57143e-07
         104   0.0598973   0.0598981 1.55811e-07
         105    0.059899   0.0598981   1.546e-07
         106   0.0598964   0.0598981  1.5395e-07
         107   0.0599004   0.0598981 1.54092e-07
         108   0.0599007   0.0598981 1.54519e-07
         109   0.0598991   0.0598981 1.53375e-07
         110   0.0598991   0.0598981 1.52256e-07
         111   0.0598963   0.0598981 1.51807e-07
         112   0.0598966   0.0598981 1.51018e-07
         113   0.0599007   0.0598981 1.51496e-07
         114   0.0598992   0.0598981 1.50472e-07
         115   0.0599016   0.0598982 1.52198e-07
         116    0.059899   0.0598982 1.51073e-07
         117   0.0599002   0.0598982  1.5075e-07
         118   0.0598976   0.0598982  1.4956e-07
         119   0.0598982   0.0598982 1.48304e-07
         120   0.0598978   0.0598982 1.47106e-07
