# DISTANCE:     AVE_GOFR:        ERROR:
   0.0256496           0           0
   0.0512993           0           0
   0.0769489           0           0
    0.102599           0           0
    0.128248           0           0
    0.153898           0           0
    0.179547           0           0
    0.205197           0           0
    0.230847           0           0
    0.256496           0           0
    0.282146           0           0
    0.307796           0           0
    0.333445           0           0
    0.359095           0           0
    0.384745           0           0
    0.410394           0           0
    0.436044           0           0
    0.461694           0           0
    0.487343           0           0
    0.512993           0           0
    0.538642           0           0
    0.564292           0           0
    0.589942           0           0
    0.615591           0           0
    0.641241           0           0
    0.666891           0           0
     0.69254           0           0
     0.71819           0           0
     0.74384           0           0
    0.769489           0           0
    0.795139           0           0
    0.820788           0           0
    0.846438 1.43526e-07 1.42926e-07
    0.872088 1.45892e-05 2.25556e-06
    0.897737  0.00126655 2.06925e-05
    0.923387   0.0241495 9.39004e-05
    0.949037     0.16469 0.000279948
    0.974686     0.56328 0.000624078
     1.00034     1.20004  0.00091467
     1.02599     1.86023  0.00108206
     1.05164     2.33602 0.000897101
     1.07728     2.55234 0.000801136
     1.10293     2.54877 0.000809591
     1.12858     2.40924 0.000806942
     1.15423     2.20089 0.000815021
     1.17988     1.97414 0.000831496
     1.20553     1.75737 0.000758252
     1.23118     1.56081 0.000738246
     1.25683     1.39005 0.000722157
     1.28248     1.24647 0.000616215
     1.30813     1.12478 0.000568177
     1.33378     1.02481 0.000521547
     1.35943    0.941318  0.00049212
     1.38508    0.872807 0.000493529
     1.41073    0.817537 0.000432074
     1.43638    0.773436 0.000410544
     1.46203    0.737424 0.000378242
     1.48768    0.710375 0.000404191
     1.51333    0.690876 0.000332165
     1.53898    0.677598  0.00038978
     1.56463    0.670917 0.000386614
     1.59028    0.669826 0.000396327
     1.61593    0.674811 0.000399947
     1.64158    0.684896 0.000381283
     1.66723    0.701184 0.000410184
     1.69288    0.722384  0.00036592
     1.71853    0.748623 0.000374797
     1.74418    0.779503 0.000390244
     1.76983    0.815069 0.000412043
     1.79547    0.853217 0.000437331
     1.82112    0.893671   0.0004268
     1.84677    0.936187 0.000465706
     1.87242    0.977993 0.000447875
     1.89807     1.01862 0.000446059
     1.92372     1.05867 0.000427975
     1.94937     1.09611 0.000417419
     1.97502     1.13064 0.000369376
     2.00067     1.16073 0.000378161
     2.02632     1.18635 0.000381997
     2.05197     1.20415 0.000346879
     2.07762     1.21394 0.000373305
     2.10327     1.21562 0.000371686
     2.12892     1.20914 0.000427327
     2.15457     1.19535 0.000423307
     2.18022     1.17601 0.000420498
     2.20587     1.15133 0.000452503
     2.23152     1.12451 0.000422356
     2.25717     1.09597 0.000435303
     2.28282     1.06717 0.000400744
     2.30847      1.0391 0.000396634
     2.33412     1.01263  0.00035891
     2.35977    0.988531 0.000334329
     2.38542    0.966227 0.000334028
     2.41107    0.947102 0.000313007
     2.43672    0.931039 0.000299242
     2.46237    0.918316  0.00032243
     2.48802      0.9084 0.000286759
     2.51366    0.894143 0.000326713
     2.53931    0.885078 0.000296042
     2.56496    0.884695 0.000312621
