#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
           1        1.65        1.65           0
           2        1.65        1.65           0
           3        1.65        1.65           0
           4        1.65        1.65           0
           5        1.65        1.65           0
           6        1.65        1.65           0
           7        1.65        1.65 1.37958e-08
           8        1.65        1.65 1.29048e-08
           9        1.65        1.65 1.21667e-08
          10        1.65        1.65 1.15424e-08
          11        1.65        1.65 1.55638e-08
          12        1.65        1.65 1.49012e-08
          13        1.65        1.65 1.30692e-08
          14        1.65        1.65 1.25938e-08
          15        1.65        1.65 1.08823e-08
          16        1.65        1.65 1.05367e-08
          17        1.65        1.65 1.02221e-08
          18        1.65        1.65 8.60319e-09
          19        1.65        1.65 8.37373e-09
          20        1.65        1.65 4.71216e-09
          21        1.65        1.65  4.5986e-09
          22        1.65        1.65 7.78188e-09
          23        1.65        1.65 6.21421e-09
          24        1.65        1.65 7.45058e-09
          25        1.65        1.65 7.30005e-09
          26        1.65        1.65 7.15829e-09
          27        1.65        1.65 7.02447e-09
          28        1.65        1.65 5.63211e-09
          29        1.65        1.65 5.53415e-09
          30        1.65        1.65 5.44113e-09
          31        1.65        1.65 5.35266e-09
          32        1.65        1.65 5.26836e-09
          33        1.65        1.65 5.18792e-09
          34        1.65        1.65 5.11106e-09
          35        1.65        1.65 5.03751e-09
          36        1.65        1.65 4.96705e-09
          37        1.65        1.65 4.89947e-09
          38        1.65        1.65 4.83458e-09
          39        1.65        1.65 3.37445e-09
          40        1.65        1.65   3.332e-09
          41        1.65        1.65 3.29112e-09
          42        1.65        1.65 5.63211e-09
          43        1.65        1.65 6.42733e-09
          44        1.65        1.65 6.35388e-09
          45        1.65        1.65 7.69493e-09
          46        1.65        1.65 8.78823e-09
          47        1.65        1.65 8.69423e-09
          48        1.65        1.65 8.60319e-09
          49        1.65        1.65 8.51495e-09
          50        1.65        1.65  8.9407e-09
          51        1.65        1.65 8.85261e-09
          52        1.65        1.65 9.24131e-09
          53        1.65        1.65 9.15371e-09
          54        1.65        1.65 8.60319e-09
          55        1.65        1.65 8.98574e-09
          56        1.65        1.65 8.44816e-09
          57        1.65        1.65 9.25751e-09
          58        1.65        1.65 8.75026e-09
          59        1.65        1.65 8.67579e-09
          60        1.65        1.65 8.60319e-09
          61        1.65        1.65 8.53238e-09
          62        1.65        1.65 8.46329e-09
          63        1.65        1.65 8.80565e-09
          64        1.65        1.65 8.73658e-09
          65        1.65        1.65 8.66912e-09
          66        1.65        1.65 8.98574e-09
          67        1.65        1.65 8.91843e-09
          68        1.65        1.65 8.85261e-09
          69        1.65        1.65 8.41409e-09
          70        1.65        1.65 8.72523e-09
          71        1.65        1.65 8.66356e-09
          72        1.65        1.65 8.60319e-09
          73        1.65        1.65 8.18031e-09
          74        1.65        1.65 8.83265e-09
          75        1.65        1.65 8.77357e-09
          76        1.65        1.65 8.71565e-09
          77        1.65        1.65 8.31918e-09
          78        1.65        1.65 8.26568e-09
          79        1.65        1.65  8.2132e-09
          80        1.65        1.65  8.1617e-09
          81        1.65        1.65 7.76585e-09
          82        1.65        1.65 7.71835e-09
          83        1.65        1.65 8.34003e-09
          84        1.65        1.65 8.29024e-09
          85        1.65        1.65 8.24133e-09
          86        1.65        1.65 7.87184e-09
          87        1.65        1.65 7.82647e-09
          88        1.65        1.65 7.78188e-09
          89        1.65        1.65   8.054e-09
          90        1.65        1.65 8.00913e-09
          91        1.65        1.65 7.65253e-09
          92        1.65        1.65 7.61083e-09
          93        1.65        1.65  7.5698e-09
          94        1.65        1.65 7.52942e-09
          95        1.65        1.65 8.08979e-09
          96        1.65        1.65    8.33e-09
          97        1.65        1.65 8.28695e-09
          98        1.65        1.65 8.51495e-09
          99        1.65        1.65 8.47184e-09
         100        1.65        1.65  8.6888e-09
         101        1.65        1.65 8.64567e-09
         102        1.65        1.65 8.85261e-09
         103        1.65        1.65 9.28606e-09
         104        1.65        1.65 9.46952e-09
         105        1.65        1.65 9.42432e-09
         106        1.65        1.65 9.60049e-09
         107        1.65        1.65 9.55553e-09
         108        1.65        1.65 9.51118e-09
         109        1.65        1.65 9.68023e-09
         110        1.65        1.65 9.63613e-09
         111        1.65        1.65 9.59263e-09
         112        1.65        1.65 9.95626e-09
         113        1.65        1.65  9.9121e-09
         114        1.65        1.65  1.0064e-08
         115        1.65        1.65 1.00201e-08
         116        1.65        1.65 9.97684e-09
         117        1.65        1.65 1.01233e-08
         118        1.65        1.65 1.00804e-08
         119        1.65        1.65 1.00379e-08
         120        1.65        1.65 1.01794e-08
