#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1    -5.47376    -5.47376           0
           2    -5.45904     -5.4664  0.00520345
           3    -5.47086    -5.46789  0.00367547
           4    -5.46889    -5.46814  0.00276521
           5    -5.47199    -5.46891  0.00231693
           6    -5.46329    -5.46797   0.0021118
           7    -5.45668    -5.46636  0.00234655
           8      -5.467    -5.46644   0.0020546
           9    -5.47242     -5.4671  0.00193072
          10    -5.46976    -5.46737  0.00175579
          11    -5.46412    -5.46707  0.00162074
          12    -5.45648    -5.46619  0.00170908
          13    -5.46256    -5.46591  0.00160024
          14    -5.47744    -5.46674  0.00168454
          15    -5.47023    -5.46697  0.00158828
          16    -5.48195     -5.4679  0.00174344
          17    -5.46552    -5.46776   0.0016465
          18     -5.4689    -5.46783  0.00155623
          19    -5.45111    -5.46695  0.00170496
          20    -5.47043    -5.46712  0.00162859
          21    -5.45827     -5.4667  0.00160464
          22     -5.4787    -5.46725  0.00162174
          23    -5.46798    -5.46728  0.00155154
          24    -5.45595    -5.46681  0.00155707
          25    -5.47696    -5.46721  0.00154689
          26    -5.47234    -5.46741  0.00149992
          27    -5.46423    -5.46729  0.00144899
          28    -5.47537    -5.46758   0.0014257
          29     -5.4872    -5.46826  0.00152867
          30    -5.46184    -5.46804  0.00149259
          31    -5.47746    -5.46835  0.00147501
          32    -5.45836    -5.46803  0.00146155
          33    -5.46135    -5.46783  0.00143122
          34    -5.47136    -5.46794  0.00139289
          35    -5.47037    -5.46801  0.00135482
          36    -5.47997    -5.46834  0.00135737
          37    -5.46925    -5.46836  0.00132091
          38    -5.45831     -5.4681  0.00131238
          39    -5.47159    -5.46819  0.00128179
          40    -5.45961    -5.46797  0.00126754
          41    -5.45931    -5.46776  0.00125413
          42    -5.47423    -5.46792  0.00123368
          43    -5.46267    -5.46779  0.00121102
          44    -5.45983    -5.46761  0.00119693
          45    -5.46421    -5.46754  0.00117272
          46    -5.46854    -5.46756  0.00114743
          47    -5.46063    -5.46741  0.00113246
          48    -5.46355    -5.46733  0.00111171
          49    -5.45201    -5.46702  0.00113215
          50     -5.4661      -5.467  0.00110966
          51    -5.46589    -5.46698  0.00108811
          52    -5.45712    -5.46679  0.00108358
          53    -5.45971    -5.46666  0.00107132
          54    -5.47516    -5.46681    0.001063
          55    -5.47142     -5.4669  0.00104697
          56    -5.45795    -5.46674   0.0010404
          57    -5.46853    -5.46677  0.00102262
          58    -5.46594    -5.46675  0.00100509
          59    -5.45957    -5.46663 0.000995396
          60     -5.4677    -5.46665 0.000978965
          61    -5.46093    -5.46656 0.000967403
          62    -5.45773    -5.46641 0.000962223
          63    -5.46353    -5.46637 0.000948038
          64    -5.47473     -5.4665 0.000942183
          65    -5.46762    -5.46652 0.000927847
          66    -5.46128    -5.46644 0.000917179
          67    -5.46402     -5.4664 0.000904199
          68    -5.45923    -5.46629 0.000897027
          69    -5.46663     -5.4663  0.00088404
          70    -5.46303    -5.46625 0.000872646
          71    -5.45976    -5.46616 0.000865132
          72    -5.46687    -5.46617 0.000853171
          73    -5.46452    -5.46615 0.000841783
          74    -5.47822    -5.46631 0.000846067
          75    -5.45963    -5.46622 0.000839466
          76     -5.4658    -5.46622 0.000828439
          77    -5.45973    -5.46613 0.000821949
          78    -5.46369     -5.4661 0.000812006
          79    -5.47063    -5.46616 0.000803751
          80    -5.45965    -5.46608  0.00079781
          81    -5.46942    -5.46612 0.000789026
          82    -5.47044    -5.46617 0.000781162
          83    -5.46089    -5.46611 0.000774342
          84    -5.46404    -5.46608 0.000765516
          85    -5.46377    -5.46606 0.000756995
          86    -5.45657    -5.46595 0.000756189
          87    -5.45455    -5.46581 0.000758753
          88    -5.46658    -5.46582  0.00075018
          89    -5.47359    -5.46591 0.000746811
          90     -5.4741      -5.466 0.000744033
          91    -5.46708    -5.46601 0.000735951
          92    -5.45656    -5.46591 0.000735089
          93    -5.46556    -5.46591 0.000727194
          94    -5.47187    -5.46597 0.000722219
          95    -5.45273    -5.46583 0.000727936
          96    -5.46361    -5.46581  0.00072072
          97    -5.45607    -5.46571 0.000720243
          98    -5.47726    -5.46583 0.000722469
          99    -5.46752    -5.46584 0.000715374
         100    -5.47559    -5.46594  0.00071483
         101    -5.46322    -5.46591 0.000708261
         102    -5.46888    -5.46594 0.000701915
         103    -5.45368    -5.46582  0.00070513
         104    -5.46531    -5.46582 0.000698367
         105    -5.45713    -5.46574 0.000696599
         106    -5.45931    -5.46568 0.000692662
         107    -5.46036    -5.46563 0.000687966
         108    -5.46505    -5.46562 0.000681616
         109    -5.47973    -5.46575 0.000687543
         110    -5.46403    -5.46573  0.00068147
         111    -5.47158    -5.46579 0.000677361
         112    -5.46517    -5.46578 0.000671335
         113    -5.45193    -5.46566 0.000676484
         114    -5.46554    -5.46566  0.00067055
         115    -5.47195    -5.46571 0.000666947
         116    -5.47119    -5.46576  0.00066287
         117    -5.46962    -5.46579 0.000658027
         118    -5.46884    -5.46582 0.000652958
         119    -5.46921    -5.46585 0.000648093
         120    -5.46919    -5.46587 0.000643292
