#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
           1    0.884418    0.884418           0
           2    0.885217    0.884817 0.000282341
           3    0.884578    0.884738 0.000199215
           4    0.884606    0.884705 0.000152095
           5    0.884328    0.884629 0.000139073
           6    0.884933     0.88468 0.000124753
           7    0.885175    0.884751 0.000125373
           8    0.884629    0.884735 0.000110625
           9    0.884362    0.884694 0.000105812
          10    0.884633    0.884688 9.54058e-05
          11    0.884732    0.884692 8.68173e-05
          12    0.885254    0.884739 9.13639e-05
          13    0.884773    0.884741 8.43731e-05
          14    0.884175    0.884701 8.75004e-05
          15    0.884618    0.884695 8.18413e-05
          16    0.884112    0.884659  8.4447e-05
          17    0.884637    0.884658 7.94891e-05
          18    0.884563    0.884652 7.52473e-05
          19    0.885516    0.884698 8.38899e-05
          20    0.884425    0.884684 8.08008e-05
          21    0.884963    0.884697 7.80325e-05
          22    0.884062    0.884669 7.96597e-05
          23    0.884655    0.884668 7.61986e-05
          24    0.885176    0.884689 7.59067e-05
          25    0.884117    0.884666 7.62366e-05
          26    0.884691    0.884667 7.33102e-05
          27    0.884952    0.884678 7.13491e-05
          28    0.884387    0.884667 6.95508e-05
          29      0.8838    0.884637 7.33029e-05
          30    0.884846    0.884644 7.11877e-05
          31    0.884179    0.884629 7.04564e-05
          32    0.885033    0.884642 6.93736e-05
          33    0.885021    0.884653 6.82174e-05
          34    0.884353    0.884645 6.67817e-05
          35    0.884608    0.884644 6.48818e-05
          36    0.884059    0.884627 6.50823e-05
          37    0.884452    0.884623 6.34961e-05
          38    0.885049    0.884634 6.28107e-05
          39    0.884562    0.884632 6.12269e-05
          40    0.884894    0.884639 6.00454e-05
          41    0.885075    0.884649 5.95177e-05
          42    0.884348    0.884642 5.85315e-05
          43    0.884883    0.884648 5.74385e-05
          44    0.885164    0.884659 5.73206e-05
          45    0.884763    0.884662 5.60932e-05
          46    0.884378    0.884655 5.52128e-05
          47    0.884771    0.884658 5.40923e-05
          48    0.884815    0.884661 5.30642e-05
          49    0.885432    0.884677 5.42636e-05
          50    0.884762    0.884679  5.3205e-05
          51    0.884609    0.884677 5.21794e-05
          52     0.88529    0.884689 5.24912e-05
          53    0.884938    0.884694 5.17099e-05
          54    0.884343    0.884687 5.11596e-05
          55      0.8844    0.884682 5.04945e-05
          56    0.884978    0.884687 4.98687e-05
          57    0.884593    0.884686  4.9021e-05
          58    0.884729    0.884686 4.81816e-05
          59    0.884894     0.88469 4.74933e-05
          60    0.884664     0.88469 4.67037e-05
          61    0.885075    0.884696 4.63641e-05
          62     0.88533    0.884706 4.67301e-05
          63    0.884891    0.884709 4.60807e-05
          64     0.88427    0.884702 4.58676e-05
          65    0.884563      0.8847 4.52118e-05
          66    0.884905    0.884703 4.46333e-05
          67    0.885001    0.884708 4.41876e-05
          68    0.885102    0.884713 4.39175e-05
          69    0.884608    0.884712 4.33074e-05
          70    0.884715    0.884712 4.26887e-05
          71    0.885057    0.884717 4.23629e-05
          72    0.884715    0.884717 4.17745e-05
          73    0.884773    0.884718 4.12094e-05
          74    0.884366    0.884713 4.09259e-05
          75    0.884985    0.884716 4.05412e-05
          76    0.884795    0.884717 4.00208e-05
          77    0.884987    0.884721 3.96539e-05
          78    0.884744    0.884721 3.91466e-05
          79    0.884657     0.88472 3.86596e-05
          80    0.885088    0.884725 3.84483e-05
          81    0.884547    0.884723 3.80364e-05
          82    0.884513     0.88472 3.76584e-05
          83    0.884888    0.884722 3.72591e-05
          84    0.884826    0.884723 3.68359e-05
          85    0.884837    0.884725 3.64266e-05
          86      0.8849    0.884727 3.60598e-05
          87    0.885283    0.884733 3.62075e-05
          88    0.884656    0.884732 3.58066e-05
          89    0.884255    0.884727 3.58033e-05
          90    0.884406    0.884723 3.55832e-05
          91    0.884721    0.884723 3.51922e-05
          92    0.885188    0.884728 3.51706e-05
          93    0.884705    0.884728 3.47933e-05
          94    0.884449    0.884725 3.45498e-05
          95    0.885383    0.884732 3.48735e-05
          96    0.884668    0.884732 3.45166e-05
          97    0.885099    0.884735 3.43681e-05
          98    0.884195     0.88473 3.44575e-05
          99     0.88467    0.884729 3.41148e-05
         100    0.884426    0.884726 3.39084e-05
         101    0.884734    0.884726 3.35728e-05
         102    0.884653    0.884726 3.32512e-05
         103    0.885313    0.884731 3.34137e-05
         104    0.884679    0.884731 3.30961e-05
         105    0.885137    0.884735  3.3006e-05
         106    0.884962    0.884737 3.27639e-05
         107    0.885109     0.88474 3.26423e-05
         108     0.88472     0.88474 3.23406e-05
         109     0.88399    0.884733 3.27682e-05
         110    0.884643    0.884732 3.24804e-05
         111    0.884308    0.884728 3.24118e-05
         112     0.88466    0.884728 3.21281e-05
         113    0.885417    0.884734 3.24174e-05
         114    0.884756    0.884734 3.21336e-05
         115    0.884597    0.884733 3.18763e-05
         116    0.884442     0.88473 3.17001e-05
         117    0.884447    0.884728 3.15215e-05
         118    0.884403    0.884725 3.13743e-05
         119    0.884523    0.884724 3.11567e-05
         120    0.884572    0.884722 3.09226e-05
