#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1         1.1         1.1           0
           2         1.1         1.1           0
           3         1.1         1.1           0
           4         1.1         1.1           0
           5         1.1         1.1           0
           6         1.1         1.1           0
           7         1.1         1.1           0
           8         1.1         1.1           0
           9         1.1         1.1           0
          10         1.1         1.1   6.664e-09
          11         1.1         1.1 6.35388e-09
          12         1.1         1.1 6.08337e-09
          13         1.1         1.1 8.26568e-09
          14         1.1         1.1 7.96501e-09
          15         1.1         1.1 8.60319e-09
          16         1.1         1.1    8.33e-09
          17         1.1         1.1 8.08129e-09
          18         1.1         1.1 8.60319e-09
          19         1.1         1.1 8.37373e-09
          20         1.1         1.1  8.1617e-09
          21         1.1         1.1 7.96501e-09
          22         1.1         1.1 9.53081e-09
          23         1.1         1.1 9.32132e-09
          24         1.1         1.1 9.12506e-09
          25         1.1         1.1  8.9407e-09
          26         1.1         1.1 8.76707e-09
          27         1.1         1.1 8.60319e-09
          28         1.1         1.1 7.96501e-09
          29         1.1         1.1 7.82647e-09
          30         1.1         1.1 7.69493e-09
          31         1.1         1.1 5.98445e-09
          32         1.1         1.1  5.8902e-09
          33         1.1         1.1 5.80027e-09
          34         1.1         1.1 3.61406e-09
          35         1.1         1.1 3.56206e-09
          36         1.1         1.1           0
          37         1.1         1.1           0
          38         1.1         1.1 2.41729e-09
          39         1.1         1.1 4.77219e-09
          40         1.1         1.1 4.71216e-09
          41         1.1         1.1 4.65434e-09
          42         1.1         1.1  4.5986e-09
          43         1.1         1.1 6.01222e-09
          44         1.1         1.1 5.94351e-09
          45         1.1         1.1  5.8771e-09
          46         1.1         1.1 5.81286e-09
          47         1.1         1.1 5.75069e-09
          48         1.1         1.1 6.45239e-09
          49         1.1         1.1 6.38621e-09
          50         1.1         1.1   6.664e-09
          51         1.1         1.1 6.59835e-09
          52         1.1         1.1 6.53459e-09
          53         1.1         1.1 6.78857e-09
          54         1.1         1.1 6.72542e-09
          55         1.1         1.1 6.35388e-09
          56         1.1         1.1 6.29689e-09
          57         1.1         1.1 6.24141e-09
          58         1.1         1.1 5.86985e-09
          59         1.1         1.1  5.8199e-09
          60         1.1         1.1 4.71216e-09
          61         1.1         1.1 4.67338e-09
          62         1.1         1.1 4.63554e-09
          63         1.1         1.1  3.2517e-09
          64         1.1         1.1  3.2262e-09
          65         1.1         1.1 3.20128e-09
          66         1.1         1.1           0
          67         1.1         1.1           0
          68         1.1         1.1           0
          69         1.1         1.1 3.58778e-09
          70         1.1         1.1 3.56206e-09
          71         1.1         1.1 3.53688e-09
          72         1.1         1.1 3.51224e-09
          73         1.1         1.1 4.61432e-09
          74         1.1         1.1 4.58304e-09
          75         1.1         1.1 4.55238e-09
          76         1.1         1.1 4.52233e-09
          77         1.1         1.1 5.37001e-09
          78         1.1         1.1 5.33547e-09
          79         1.1         1.1  5.3016e-09
          80         1.1         1.1 5.26836e-09
          81         1.1         1.1 5.73546e-09
          82         1.1         1.1 5.93314e-09
          83         1.1         1.1 5.89729e-09
          84         1.1         1.1 5.86209e-09
          85         1.1         1.1  5.8275e-09
          86         1.1         1.1 6.22324e-09
          87         1.1         1.1 6.39029e-09
          88         1.1         1.1 6.35388e-09
          89         1.1         1.1 6.31808e-09
          90         1.1         1.1 6.28288e-09
          91         1.1         1.1 6.80889e-09
          92         1.1         1.1 6.77178e-09
          93         1.1         1.1 6.91025e-09
          94         1.1         1.1 6.87339e-09
          95         1.1         1.1 6.83712e-09
          96         1.1         1.1 6.80142e-09
          97         1.1         1.1 6.76627e-09
          98         1.1         1.1 7.06022e-09
          99         1.1         1.1 7.02447e-09
         100         1.1         1.1 7.14635e-09
         101         1.1         1.1 7.11088e-09
         102         1.1         1.1 7.07594e-09
         103         1.1         1.1  7.0415e-09
         104         1.1         1.1 7.00757e-09
         105         1.1         1.1 7.27102e-09
         106         1.1         1.1 7.23664e-09
         107         1.1         1.1 7.05722e-09
         108         1.1         1.1 7.02447e-09
         109         1.1         1.1 6.84496e-09
         110         1.1         1.1 6.81377e-09
         111         1.1         1.1 6.63392e-09
         112         1.1         1.1 6.60423e-09
         113         1.1         1.1 6.86731e-09
         114         1.1         1.1 6.69317e-09
         115         1.1         1.1   6.664e-09
         116         1.1         1.1 6.48937e-09
         117         1.1         1.1 6.16087e-09
         118         1.1         1.1 6.13471e-09
         119         1.1         1.1  5.9542e-09
         120         1.1         1.1 5.60859e-09
