# DISTANCE:     AVE_GOFR:        ERROR:
   0.0230664           0           0
   0.0461329           0           0
   0.0691993           0           0
   0.0922657           0           0
    0.115332           0           0
    0.138399           0           0
    0.161465           0           0
    0.184531           0           0
    0.207598           0           0
    0.230664           0           0
    0.253731           0           0
    0.276797           0           0
    0.299864           0           0
     0.32293           0           0
    0.345996           0           0
    0.369063           0           0
    0.392129           0           0
    0.415196           0           0
    0.438262           0           0
    0.461329           0           0
    0.484395           0           0
    0.507461           0           0
    0.530528           0           0
    0.553594           0           0
    0.576661           0           0
    0.599727           0           0
    0.622794           0           0
     0.64586           0           0
    0.668926           0           0
    0.691993           0           0
    0.715059           0           0
    0.738126           0           0
    0.761192           0           0
    0.784259           0           0
    0.807325           0           0
    0.830391           0           0
    0.853458           0           0
    0.876524 6.46834e-07 3.91678e-07
    0.899591 7.07256e-05 5.27005e-06
    0.922657  0.00327934 3.49772e-05
    0.945724   0.0472261 0.000159803
     0.96879    0.293451 0.000434139
    0.991856     1.00778 0.000960823
     1.01492     2.24241  0.00121129
     1.03799     3.62738  0.00097099
     1.06106     4.61659   0.0011333
     1.08412     4.89559   0.0015399
     1.10719     4.48905  0.00154349
     1.13026     3.65764  0.00121758
     1.15332     2.69405  0.00100293
     1.17639     1.81666 0.000703761
     1.19945     1.13077 0.000632158
     1.22252    0.653983 0.000499836
     1.24559    0.353713 0.000484354
     1.26865    0.180157 0.000379293
     1.29172   0.0889619 0.000257965
     1.31479   0.0494437 0.000206224
     1.33785   0.0424023 0.000198073
     1.36092   0.0608718 0.000209241
     1.38399    0.106266 0.000253345
     1.40705    0.184177  0.00030327
     1.43012    0.300094 0.000313353
     1.45319    0.453061 0.000304767
     1.47625    0.628178 0.000295728
     1.49932    0.796876 0.000400655
     1.52238    0.921204 0.000549317
     1.54545    0.970634 0.000689672
     1.56852    0.929133 0.000563273
     1.59158    0.809081 0.000416226
     1.61465    0.641087 0.000308713
     1.63772    0.465636 0.000233184
     1.66078    0.316955 0.000283146
     1.68385    0.219581 0.000363256
     1.70692    0.192178 0.000395209
     1.72998    0.255205 0.000519087
     1.75305    0.433866 0.000591381
     1.77612    0.749715 0.000636671
     1.79918     1.19821 0.000549111
     1.82225     1.72767 0.000369749
     1.84531     2.23576 0.000614539
     1.86838     2.59622 0.000932221
     1.89145     2.71317  0.00117359
     1.91451     2.55625  0.00109579
     1.93758     2.18024  0.00072757
     1.96065     1.68944 0.000423706
     1.98371     1.20074 0.000416233
     2.00678    0.802539 0.000532782
     2.02985    0.542732 0.000626478
     2.05291    0.434832 0.000626413
     2.07598    0.461635 0.000502016
     2.09905    0.586768 0.000355365
     2.12211     0.75854 0.000203501
     2.14518    0.917104 0.000318967
     2.16824     1.01445 0.000425347
     2.19131     1.02183 0.000458622
     2.21438    0.919183 0.000375042
     2.23744    0.780434 0.000253553
     2.26051    0.653486 0.000329699
     2.28358    0.572265 0.000497475
     2.30664     0.57343 0.000605654
