#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
           1         1.2         1.2           0
           2         1.2         1.2           0
           3         1.2         1.2           0
           4         1.2         1.2           0
           5         1.2         1.2           0
           6         1.2         1.2           0
           7         1.2         1.2 7.96501e-09
           8         1.2         1.2           0
           9         1.2         1.2           0
          10         1.2         1.2   6.664e-09
          11         1.2         1.2 6.35388e-09
          12         1.2         1.2 6.08337e-09
          13         1.2         1.2 8.26568e-09
          14         1.2         1.2 7.96501e-09
          15         1.2         1.2   6.664e-09
          16         1.2         1.2 6.45239e-09
          17         1.2         1.2 6.25974e-09
          18         1.2         1.2 4.96705e-09
          19         1.2         1.2 4.83458e-09
          20         1.2         1.2 4.71216e-09
          21         1.2         1.2  4.5986e-09
          22         1.2         1.2 6.35388e-09
          23         1.2         1.2 6.21421e-09
          24         1.2         1.2 6.08337e-09
          25         1.2         1.2 5.96046e-09
          26         1.2         1.2 5.84472e-09
          27         1.2         1.2 5.73546e-09
          28         1.2         1.2 4.87755e-09
          29         1.2         1.2 4.79272e-09
          30         1.2         1.2 4.71216e-09
          31         1.2         1.2 4.63554e-09
          32         1.2         1.2 4.56253e-09
          33         1.2         1.2 4.49287e-09
          34         1.2         1.2  4.4263e-09
          35         1.2         1.2 4.36261e-09
          36         1.2         1.2 4.30159e-09
          37         1.2         1.2 4.24307e-09
          38         1.2         1.2 4.18686e-09
          39         1.2         1.2 3.37445e-09
          40         1.2         1.2   3.332e-09
          41         1.2         1.2 3.29112e-09
          42         1.2         1.2  3.2517e-09
          43         1.2         1.2 3.21367e-09
          44         1.2         1.2 3.17694e-09
          45         1.2         1.2 3.84746e-09
          46         1.2         1.2 3.80541e-09
          47         1.2         1.2 3.76471e-09
          48         1.2         1.2 3.72529e-09
          49         1.2         1.2 3.68708e-09
          50         1.2         1.2 3.65002e-09
          51         1.2         1.2 3.61406e-09
          52         1.2         1.2 2.92236e-09
          53         1.2         1.2 2.89466e-09
          54         1.2         1.2 2.86773e-09
          55         1.2         1.2           0
          56         1.2         1.2           0
          57         1.2         1.2 3.41856e-09
          58         1.2         1.2 3.38896e-09
          59         1.2         1.2  4.3379e-09
          60         1.2         1.2 4.30159e-09
          61         1.2         1.2 5.04782e-09
          62         1.2         1.2 5.00695e-09
          63         1.2         1.2 5.93676e-09
          64         1.2         1.2  5.8902e-09
          65         1.2         1.2 5.84472e-09
          66         1.2         1.2 6.35388e-09
          67         1.2         1.2 6.30628e-09
          68         1.2         1.2  6.9986e-09
          69         1.2         1.2  6.9477e-09
          70         1.2         1.2  6.8979e-09
          71         1.2         1.2 7.29148e-09
          72         1.2         1.2 7.24066e-09
          73         1.2         1.2  7.1909e-09
          74         1.2         1.2 7.55059e-09
          75         1.2         1.2 7.50009e-09
          76         1.2         1.2 7.45058e-09
          77         1.2         1.2 7.40204e-09
          78         1.2         1.2 7.91378e-09
          79         1.2         1.2 7.86354e-09
          80         1.2         1.2 7.81423e-09
          81         1.2         1.2 7.76585e-09
          82         1.2         1.2 8.06155e-09
          83         1.2         1.2 8.01284e-09
          84         1.2         1.2 7.96501e-09
          85         1.2         1.2 7.91801e-09
          86         1.2         1.2 8.50256e-09
          87         1.2         1.2 8.45356e-09
          88         1.2         1.2 8.40539e-09
          89         1.2         1.2 8.20743e-09
          90         1.2         1.2 8.31147e-09
          91         1.2         1.2 8.11673e-09
          92         1.2         1.2  8.0725e-09
          93         1.2         1.2 7.87889e-09
          94         1.2         1.2 7.83687e-09
          95         1.2         1.2 7.64413e-09
          96         1.2         1.2 7.75481e-09
          97         1.2         1.2 7.71473e-09
          98         1.2         1.2 7.52622e-09
          99         1.2         1.2 7.48812e-09
         100         1.2         1.2 7.30005e-09
         101         1.2         1.2 7.56042e-09
         102         1.2         1.2 7.52327e-09
         103         1.2         1.2 7.34128e-09
         104         1.2         1.2  7.3059e-09
         105         1.2         1.2 7.12412e-09
         106         1.2         1.2 7.09043e-09
         107         1.2         1.2 6.90863e-09
         108         1.2         1.2 7.16932e-09
         109         1.2         1.2 6.99218e-09
         110         1.2         1.2 6.96032e-09
         111         1.2         1.2  6.9289e-09
         112         1.2         1.2 6.75266e-09
         113         1.2         1.2 6.72272e-09
         114         1.2         1.2 6.54605e-09
         115         1.2         1.2  6.9477e-09
         116         1.2         1.2 6.77792e-09
         117         1.2         1.2  6.7489e-09
         118         1.2         1.2 6.72024e-09
         119         1.2         1.2 6.55104e-09
         120         1.2         1.2 6.52369e-09
