#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1    -7.55002    -7.55002           0
           2    -7.55435    -7.55219   0.0015326
           3    -7.55387    -7.55275  0.00111978
           4    -7.54687    -7.55128  0.00152472
           5    -7.54576    -7.55017  0.00156944
           6    -7.54032    -7.54853  0.00198963
           7     -7.5545    -7.54938  0.00187913
           8    -7.54945    -7.54939  0.00164425
           9    -7.55087    -7.54955  0.00146976
          10    -7.55457    -7.55006  0.00140558
          11    -7.56143    -7.55109    0.001614
          12    -7.54698    -7.55075  0.00151549
          13    -7.54614    -7.55039  0.00143968
          14    -7.54922    -7.55031  0.00133929
          15    -7.54346    -7.54985  0.00132563
          16     -7.5471    -7.54968  0.00125388
          17    -7.54597    -7.54946  0.00119892
          18    -7.53852    -7.54885  0.00127719
          19    -7.54259    -7.54852  0.00125179
          20     -7.5461     -7.5484  0.00119508
          21    -7.54659    -7.54832  0.00114129
          22    -7.53564    -7.54774  0.00122628
          23    -7.54444     -7.5476  0.00118134
          24    -7.55161    -7.54776   0.0011439
          25    -7.54068    -7.54748   0.0011327
          26     -7.5532     -7.5477  0.00111027
          27    -7.53575    -7.54726  0.00115399
          28    -7.54748    -7.54727   0.0011128
          29    -7.55412     -7.5475  0.00109922
          30    -7.53841     -7.5472  0.00110353
          31     -7.5456    -7.54715  0.00106914
          32    -7.54981    -7.54723  0.00103896
          33    -7.54023    -7.54702  0.00102889
          34    -7.55085    -7.54713  0.00100479
          35    -7.53148    -7.54668  0.00107096
          36    -7.55186    -7.54683  0.00105082
          37    -7.54373    -7.54674  0.00102575
          38    -7.54591    -7.54672 0.000998995
          39     -7.5491    -7.54678 0.000975238
          40    -7.54844    -7.54682 0.000951734
          41    -7.55826     -7.5471 0.000968544
          42    -7.54984    -7.54717 0.000947673
          43    -7.53996      -7.547 0.000940345
          44    -7.54037    -7.54685 0.000930969
          45    -7.53958    -7.54669 0.000924192
          46    -7.55619     -7.5469 0.000926902
          47    -7.54031    -7.54676 0.000917722
          48    -7.53819    -7.54658 0.000915791
          49    -7.54579    -7.54656 0.000897241
          50      -7.545    -7.54653 0.000879837
          51    -7.53969     -7.5464 0.000872748
          52    -7.53691    -7.54621 0.000874803
          53    -7.54732    -7.54623 0.000858546
          54    -7.55099    -7.54632 0.000847159
          55    -7.54022    -7.54621 0.000838979
          56    -7.54505    -7.54619 0.000824256
          57    -7.53939    -7.54607 0.000818384
          58     -7.5386    -7.54594 0.000814361
          59    -7.53797    -7.54581 0.000811698
          60    -7.54565     -7.5458 0.000798174
          61    -7.54958    -7.54587 0.000787491
          62    -7.55106    -7.54595 0.000779236
          63    -7.54955    -7.54601 0.000768957
          64    -7.55358    -7.54613 0.000765981
          65     -7.5447     -7.5461 0.000754511
          66    -7.54962    -7.54616 0.000744953
          67    -7.54536    -7.54615 0.000733928
          68    -7.54108    -7.54607   0.0007269
          69    -7.54749    -7.54609 0.000716656
          70     -7.5346    -7.54593 0.000724978
          71    -7.54619    -7.54593 0.000714776
          72    -7.54308    -7.54589 0.000705947
          73    -7.53551    -7.54575 0.000710446
          74    -7.55331    -7.54585  0.00070815
          75    -7.55291    -7.54595 0.000704939
          76    -7.53998    -7.54587 0.000700019
          77    -7.54429    -7.54585 0.000691228
          78    -7.54059    -7.54578  0.00068564
          79    -7.54466    -7.54576 0.000677109
          80    -7.55057    -7.54582 0.000671308
          81    -7.54625    -7.54583 0.000663041
          82    -7.55303    -7.54592  0.00066075
          83    -7.54449     -7.5459 0.000653015
          84     -7.5589    -7.54606 0.000663337
          85    -7.54842    -7.54608 0.000656118
          86     -7.5427    -7.54604 0.000649666
          87    -7.55981     -7.5462   0.0006612
          88    -7.53647    -7.54609 0.000662877
          89    -7.54625    -7.54609 0.000655431
          90      -7.566    -7.54631 0.000684469
          91    -7.54316    -7.54628 0.000677822
          92    -7.54276    -7.54624 0.000671532
          93    -7.55332    -7.54632 0.000668607
          94    -7.54408    -7.54629 0.000661918
          95    -7.55058    -7.54634 0.000656484
          96    -7.54159    -7.54629  0.00065151
          97     -7.5507    -7.54634 0.000646378
          98    -7.54559    -7.54633 0.000639827
          99    -7.53435    -7.54621 0.000644709
         100    -7.54657    -7.54621 0.000638272
         101    -7.55131    -7.54626 0.000633948
         102    -7.53851    -7.54618 0.000632275
         103    -7.55211    -7.54624 0.000628746
         104    -7.54667    -7.54625 0.000622714
         105    -7.53998    -7.54619 0.000619638
         106    -7.54484    -7.54617 0.000613922
         107    -7.53201    -7.54604 0.000622296
         108     -7.5493    -7.54607 0.000617267
         109    -7.53942    -7.54601 0.000614609
         110    -7.55084    -7.54605 0.000610591
         111    -7.54709    -7.54606 0.000605161
         112    -7.54099    -7.54602 0.000601454
         113     -7.5518    -7.54607 0.000598304
         114    -7.54597    -7.54607 0.000593056
         115    -7.54658    -7.54607 0.000587916
         116    -7.53878    -7.54601 0.000586201
         117    -7.54919    -7.54604 0.000581819
         118    -7.54862    -7.54606 0.000577299
         119    -7.54165    -7.54602 0.000573636
         120    -7.55057    -7.54606 0.000570109
