#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
           1    0.941963    0.941963           0
           2    0.941771    0.941867 6.79139e-05
           3    0.941811    0.941848 4.77769e-05
           4    0.942152    0.941924 7.48857e-05
           5    0.942212    0.941982  7.8949e-05
           6    0.942479    0.942065  0.00010029
           7    0.941749     0.94202 9.55588e-05
           8       0.942    0.942017 8.36443e-05
           9    0.941945    0.942009 7.47321e-05
          10    0.941731    0.941981 7.22405e-05
          11    0.941417     0.94193  8.1901e-05
          12    0.942149    0.941948 7.70756e-05
          13    0.942197    0.941967 7.34814e-05
          14    0.942007     0.94197 6.82882e-05
          15    0.942314    0.941993 6.74754e-05
          16    0.942119    0.942001  6.3711e-05
          17    0.942199    0.942013 6.10161e-05
          18    0.942561    0.942043  6.4786e-05
          19     0.94234    0.942059  6.3236e-05
          20    0.942185    0.942065 6.03858e-05
          21     0.94217     0.94207 5.77172e-05
          22     0.94273      0.9421 6.24085e-05
          23    0.942265    0.942107  6.0104e-05
          24    0.941897    0.942098 5.82373e-05
          25     0.94248    0.942114 5.78729e-05
          26    0.941826    0.942103  5.6694e-05
          27    0.942691    0.942124  5.8633e-05
          28    0.942111    0.942124  5.6541e-05
          29    0.941814    0.942113 5.55929e-05
          30     0.94258    0.942129 5.58759e-05
          31    0.942219    0.942132 5.41489e-05
          32    0.942007    0.942128 5.25967e-05
          33    0.942498    0.942139 5.21878e-05
          34    0.941921    0.942133 5.10454e-05
          35    0.942938    0.942156 5.45321e-05
          36    0.941887    0.942148  5.3527e-05
          37    0.942295    0.942152 5.22276e-05
          38    0.942174    0.942153 5.08562e-05
          39    0.942012    0.942149 4.96798e-05
          40    0.942056    0.942147 4.84918e-05
          41    0.941579    0.942133 4.92502e-05
          42    0.942002     0.94213 4.81758e-05
          43    0.942451    0.942137  4.7632e-05
          44    0.942481    0.942145 4.71863e-05
          45    0.942494    0.942153 4.67692e-05
          46    0.941658    0.942142 4.69733e-05
          47    0.942445    0.942149 4.64127e-05
          48    0.942581    0.942158 4.63109e-05
          49    0.942188    0.942158   4.537e-05
          50     0.94223     0.94216 4.44853e-05
          51    0.942539    0.942167   4.423e-05
          52     0.94265    0.942176 4.43451e-05
          53    0.942108    0.942175 4.35271e-05
          54    0.941951    0.942171 4.29186e-05
          55    0.942486    0.942177 4.25193e-05
          56    0.942249    0.942178 4.17794e-05
          57    0.942534    0.942184 4.15118e-05
          58    0.942587    0.942191 4.13742e-05
          59    0.942584    0.942198 4.12041e-05
          60    0.942203    0.942198 4.05175e-05
          61    0.942009    0.942195 3.99718e-05
          62    0.941914     0.94219 3.95821e-05
          63    0.942019    0.942188 3.90474e-05
          64    0.941806    0.942182 3.88902e-05
          65    0.942296    0.942183 3.83318e-05
          66    0.942032    0.942181 3.78194e-05
          67    0.942238    0.942182 3.72644e-05
          68    0.942473    0.942186 3.69618e-05
          69    0.942117    0.942185 3.64398e-05
          70    0.942787    0.942194 3.69183e-05
          71    0.942178    0.942194  3.6399e-05
          72     0.94231    0.942195 3.59293e-05
          73    0.942768    0.942203 3.62848e-05
          74    0.941797    0.942198 3.62064e-05
          75    0.941856    0.942193 3.60096e-05
          76    0.942515    0.942197 3.57836e-05
          77    0.942296    0.942198 3.53421e-05
          78    0.942492    0.942202 3.50884e-05
          79    0.942256    0.942203 3.46507e-05
          80    0.941967      0.9422 3.43432e-05
          81    0.942199      0.9422 3.39192e-05
          82    0.941838    0.942196 3.37915e-05
          83    0.942241    0.942196 3.33888e-05
          84     0.94154    0.942188 3.38934e-05
          85    0.942079    0.942187  3.3519e-05
          86    0.942388    0.942189 3.32107e-05
          87    0.941502    0.942181 3.37566e-05
          88    0.942698    0.942187 3.38795e-05
          89    0.942159    0.942187 3.35003e-05
          90    0.941178    0.942176 3.49537e-05
          91    0.942346    0.942178 3.46196e-05
          92     0.94234    0.942179 3.42881e-05
          93    0.941822    0.942176 3.41338e-05
          94    0.942301    0.942177 3.37965e-05
          95    0.941948    0.942174 3.35262e-05
          96    0.942438    0.942177 3.32894e-05
          97    0.941951    0.942175 3.30281e-05
          98    0.942199    0.942175  3.2692e-05
          99     0.94279    0.942181 3.29467e-05
         100    0.942188    0.942181 3.26173e-05
         101    0.941897    0.942179 3.24157e-05
         102     0.94258    0.942183  3.2336e-05
         103    0.941866    0.942179 3.21678e-05
         104    0.942183     0.94218 3.18585e-05
         105     0.94252    0.942183 3.17193e-05
         106    0.942268    0.942184 3.14301e-05
         107     0.94292     0.94219 3.18814e-05
         108    0.942003    0.942189 3.16333e-05
         109    0.942546    0.942192 3.15128e-05
         110    0.941968     0.94219 3.12918e-05
         111    0.942141     0.94219 3.10131e-05
         112    0.942432    0.942192 3.08115e-05
         113    0.941893    0.942189 3.06523e-05
         114    0.942223    0.942189 3.03849e-05
         115      0.9422    0.942189 3.01208e-05
         116    0.942553    0.942193 3.00241e-05
         117    0.942032    0.942191 2.97987e-05
         118    0.942061     0.94219 2.95665e-05
         119    0.942424    0.942192 2.93834e-05
         120    0.941955     0.94219 2.92048e-05
