#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1         0.8         0.8           0
           2         0.8         0.8           0
           3         0.8         0.8 8.60319e-09
           4         0.8         0.8           0
           5         0.8         0.8           0
           6         0.8         0.8 7.45058e-09
           7         0.8         0.8  6.8979e-09
           8         0.8         0.8 6.45239e-09
           9         0.8         0.8 6.08337e-09
          10         0.8         0.8   3.332e-09
          11         0.8         0.8 5.50262e-09
          12         0.8         0.8 5.26836e-09
          13         0.8         0.8 5.06167e-09
          14         0.8         0.8 4.87755e-09
          15         0.8         0.8 4.71216e-09
          16         0.8         0.8 4.56253e-09
          17         0.8         0.8  4.4263e-09
          18         0.8         0.8 4.30159e-09
          19         0.8         0.8 4.18686e-09
          20         0.8         0.8 2.35608e-09
          21         0.8         0.8  2.2993e-09
          22         0.8         0.8 2.24643e-09
          23         0.8         0.8 2.19706e-09
          24         0.8         0.8 3.04169e-09
          25         0.8         0.8 2.98023e-09
          26         0.8         0.8 4.13284e-09
          27         0.8         0.8 4.05558e-09
          28         0.8         0.8 4.45257e-09
          29         0.8         0.8 4.37513e-09
          30         0.8         0.8 4.30159e-09
          31         0.8         0.8 5.00695e-09
          32         0.8         0.8  4.9281e-09
          33         0.8         0.8 4.85285e-09
          34         0.8         0.8 5.42109e-09
          35         0.8         0.8 5.34309e-09
          36         0.8         0.8 5.26836e-09
          37         0.8         0.8 5.19667e-09
          38         0.8         0.8 5.12784e-09
          39         0.8         0.8 5.33547e-09
          40         0.8         0.8   4.998e-09
          41         0.8         0.8 4.35374e-09
          42         0.8         0.8 4.30159e-09
          43         0.8         0.8 3.59299e-09
          44         0.8         0.8 3.55192e-09
          45         0.8         0.8 3.14144e-09
          46         0.8         0.8 3.10711e-09
          47         0.8         0.8 2.17356e-09
          48         0.8         0.8  2.1508e-09
          49         0.8         0.8 2.12874e-09
          50         0.8         0.8 1.49012e-09
          51         0.8         0.8 1.47543e-09
          52         0.8         0.8 1.46118e-09
          53         0.8         0.8 1.44733e-09
          54         0.8         0.8 1.43386e-09
          55         0.8         0.8 2.46085e-09
          56         0.8         0.8 2.43877e-09
          57         0.8         0.8 2.41729e-09
          58         0.8         0.8 2.39636e-09
          59         0.8         0.8 2.74353e-09
          60         0.8         0.8 2.72057e-09
          61         0.8         0.8 2.69818e-09
          62         0.8         0.8 3.27782e-09
          63         0.8         0.8  3.2517e-09
          64         0.8         0.8  3.2262e-09
          65         0.8         0.8 3.20128e-09
          66         0.8         0.8 3.17694e-09
          67         0.8         0.8 3.40578e-09
          68         0.8         0.8 3.38065e-09
          69         0.8         0.8 3.35606e-09
          70         0.8         0.8   3.332e-09
          71         0.8         0.8 3.30845e-09
          72         0.8         0.8 3.72529e-09
          73         0.8         0.8 3.69969e-09
          74         0.8         0.8  3.6746e-09
          75         0.8         0.8 3.65002e-09
          76         0.8         0.8 3.62593e-09
          77         0.8         0.8  3.9825e-09
          78         0.8         0.8 3.95689e-09
          79         0.8         0.8 3.93177e-09
          80         0.8         0.8 3.53412e-09
          81         0.8         0.8 3.51224e-09
          82         0.8         0.8 3.07856e-09
          83         0.8         0.8 2.83297e-09
          84         0.8         0.8 2.81605e-09
          85         0.8         0.8 2.28573e-09
          86         0.8         0.8 2.27241e-09
          87         0.8         0.8 1.95662e-09
          88         0.8         0.8 1.94547e-09
          89         0.8         0.8 1.11689e-09
          90         0.8         0.8 1.11067e-09
          91         0.8         0.8 1.10455e-09
          92         0.8         0.8 1.09853e-09
          93         0.8         0.8 1.54518e-09
          94         0.8         0.8 1.53694e-09
          95         0.8         0.8 2.16209e-09
          96         0.8         0.8  2.1508e-09
          97         0.8         0.8 2.39224e-09
          98         0.8         0.8    2.38e-09
          99         0.8         0.8  2.8018e-09
         100         0.8         0.8 2.78775e-09
         101         0.8         0.8 2.77392e-09
         102         0.8         0.8 3.12987e-09
         103         0.8         0.8 3.11464e-09
         104         0.8         0.8  3.2673e-09
         105         0.8         0.8  3.2517e-09
         106         0.8         0.8 3.23633e-09
         107         0.8         0.8 3.52861e-09
         108         0.8         0.8 3.51224e-09
         109         0.8         0.8 3.49609e-09
         110         0.8         0.8 3.62227e-09
         111         0.8         0.8 3.60591e-09
         112         0.8         0.8 3.58978e-09
         113         0.8         0.8 3.83894e-09
         114         0.8         0.8 3.82207e-09
         115         0.8         0.8 3.80541e-09
         116         0.8         0.8 4.03367e-09
         117         0.8         0.8  4.0164e-09
         118         0.8         0.8 3.99934e-09
         119         0.8         0.8 4.09796e-09
         120         0.8         0.8 4.08085e-09
