# DISTANCE:     AVE_GOFR:        ERROR:
    0.064633           0           0
    0.129266           0           0
    0.193899           0           0
    0.258532           0           0
    0.323165           0           0
    0.387798           0           0
    0.452431           0           0
    0.517064           0           0
    0.581697           0           0
     0.64633           0           0
    0.710963           0           0
    0.775596           0           0
     0.84023           0           0
    0.904863   0.0013196 0.000352874
    0.969496    0.151226  0.00464519
     1.03413     1.04966   0.0170562
     1.09876     1.99733   0.0246994
     1.16339     2.26705    0.030582
     1.22803     2.08256   0.0291595
     1.29266     1.79988   0.0230164
     1.35729     1.61269   0.0203384
     1.42193     1.42769   0.0200427
     1.48656     1.31493   0.0170918
     1.55119     1.23754    0.014838
     1.61583     1.19142   0.0140841
     1.68046     1.14914   0.0138654
     1.74509     1.11477   0.0117456
     1.80973     1.10837   0.0126033
     1.87436     1.07701   0.0114091
     1.93899     1.05674   0.0124548
     2.00362     1.03979   0.0112109
     2.06826     1.03852   0.0116299
     2.13289     1.04797   0.0122217
     2.19752     1.04044   0.0100635
     2.26216     1.03582  0.00939456
     2.32679     1.03419  0.00934179
     2.39142     1.03104  0.00991274
     2.45606     1.02696  0.00977404
     2.52069     1.01648  0.00946833
     2.58532      1.0183  0.00818615
     2.64995     1.02304  0.00777163
     2.71459     1.00843  0.00860824
     2.77922     0.99856  0.00897403
     2.84385    0.999077  0.00873479
     2.90849    0.991329  0.00820285
     2.97312    0.996249  0.00780887
     3.03775     1.00672  0.00790274
     3.10239     1.00042   0.0069906
     3.16702    0.996606  0.00731671
     3.23165    0.989927  0.00684309
     3.29629    0.978441  0.00695498
     3.36092    0.987646   0.0061936
     3.42555    0.982105  0.00650444
     3.49018    0.982656  0.00645833
     3.55482    0.979713  0.00594632
     3.61945    0.982117  0.00594929
     3.68408    0.984282  0.00571757
     3.74872    0.984597  0.00565954
     3.81335    0.979563  0.00529156
     3.87798    0.978378  0.00544709
     3.94262    0.985677  0.00515994
     4.00725    0.976938  0.00511055
     4.07188    0.980752   0.0049639
     4.13651    0.985377   0.0048566
     4.20115    0.983565  0.00541424
     4.26578    0.980403  0.00481291
     4.33041    0.981486  0.00516414
     4.39505    0.981672  0.00560999
     4.45968    0.981233  0.00502026
     4.52431    0.973645  0.00467078
     4.58895    0.972097  0.00445112
     4.65358    0.970539  0.00457412
     4.71821    0.973241  0.00426743
     4.78285    0.975838  0.00423655
     4.84748     0.98037  0.00430048
     4.91211    0.980339  0.00346126
     4.97674    0.981228  0.00413058
     5.04138    0.979763  0.00403868
     5.10601    0.978022  0.00390038
     5.17064     0.97833  0.00423123
     5.23528    0.970093  0.00400271
     5.29991    0.973819  0.00388057
     5.36454    0.976978  0.00403464
     5.42918     0.98444  0.00424617
     5.49381    0.983431  0.00363639
     5.55844    0.985499  0.00351686
     5.62307    0.981859  0.00387972
     5.68771     0.98276  0.00322361
     5.75234    0.986552  0.00335108
     5.81697    0.980829  0.00302457
     5.88161    0.982737   0.0030302
     5.94624    0.984944   0.0032258
     6.01087    0.987966  0.00332413
     6.07551     0.98832  0.00329271
     6.14014    0.986687  0.00339755
     6.20477    0.988111  0.00335928
      6.2694    0.984177  0.00333419
     6.33404    0.982947  0.00350236
     6.39867    0.986248  0.00324463
      6.4633     0.98608   0.0034897
