#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
           1     1.78972     1.78972           0
           2      1.7693     1.77951  0.00721882
           3     1.73213     1.76371   0.0137637
           4     1.76097     1.76303   0.0103399
           5     1.79412     1.76925    0.009968
           6     1.83953     1.78096   0.0135402
           7     1.83815     1.78913    0.013853
           8     1.81347     1.79217   0.0124511
           9     1.80837     1.79397    0.011197
          10     1.83443     1.79802   0.0107834
          11      1.8337     1.80126   0.0102794
          12     1.87806     1.80766   0.0112401
          13     1.86801      1.8123   0.0112934
          14     1.81807     1.81271   0.0104942
          15     1.77939     1.81049    0.010027
          16     1.76726     1.80779  0.00975759
          17      1.7649     1.80527  0.00950419
          18      1.7904     1.80444    0.009012
          19     1.83639     1.80612  0.00869313
          20     1.84002     1.80782  0.00842209
          21     1.79858     1.80738  0.00803253
          22     1.80847     1.80743  0.00766757
          23     1.84996     1.80928   0.0075539
          24     1.77502     1.80785  0.00737278
          25     1.77193     1.80641  0.00721654
          26     1.80218     1.80625  0.00694082
          27     1.81654     1.80663  0.00669422
          28     1.76608     1.80518  0.00660995
          29     1.81071     1.80537  0.00638476
          30     1.77831     1.80447  0.00623536
          31     1.79222     1.80408  0.00604673
          32     1.82399      1.8047   0.0058897
          33     1.81346     1.80496  0.00571721
          34     1.76482     1.80378  0.00566967
          35     1.80022     1.80368  0.00550859
          36      1.7943     1.80342  0.00536173
          37     1.79452     1.80318  0.00522222
          38     1.79656     1.80301  0.00508769
          39     1.80031     1.80294  0.00495771
          40     1.83139     1.80365  0.00488451
          41     1.83394     1.80439  0.00482092
          42     1.78788     1.80399  0.00472212
          43     1.76102     1.80299   0.0047169
          44      1.7908     1.80272  0.00461784
          45     1.81288     1.80294  0.00452073
          46     1.78305     1.80251   0.0044431
          47     1.73135       1.801  0.00459932
          48      1.7608     1.80016  0.00457912
          49     1.73586     1.79885  0.00466993
          50     1.81986     1.79927   0.0045954
          51     1.80999     1.79948   0.0045101
          52     1.80034     1.79949   0.0044234
          53     1.78338     1.79919  0.00435037
          54     1.82327     1.79964  0.00429261
          55     1.80897     1.79981  0.00421792
          56     1.77039     1.79928  0.00417517
          57     1.76297     1.79864  0.00415023
          58      1.7855     1.79842  0.00408486
          59     1.73342     1.79731  0.00416151
          60     1.79585     1.79729  0.00409223
          61     1.80575     1.79743  0.00402749
          62     1.83145     1.79798  0.00399975
          63     1.80836     1.79814  0.00393965
          64     1.79976     1.79817  0.00387817
          65     1.78118     1.79791   0.0038273
          66     1.76523     1.79741  0.00380119
          67     1.78064     1.79716  0.00375269
          68     1.81954     1.79749   0.0037119
          69     1.79691     1.79748  0.00365811
          70     1.74555     1.79674   0.0036803
          71     1.79847     1.79676  0.00362855
          72     1.81114     1.79696  0.00358364
          73     1.79514     1.79694  0.00353463
          74     1.80337     1.79703  0.00348794
          75     1.79511       1.797  0.00344152
          76     1.82971     1.79743  0.00342305
          77     1.81855     1.79771  0.00338957
          78     1.75283     1.79713  0.00339458
          79     1.77375     1.79683  0.00336448
          80     1.84681     1.79746  0.00337993
          81     1.83039     1.79787  0.00336256
          82     1.78509     1.79771  0.00332516
          83     1.84406     1.79827  0.00333167
          84     1.82531     1.79859  0.00330752
          85     1.77033     1.79826  0.00328526
          86     1.76977     1.79793  0.00326372
          87     1.77998     1.79772  0.00323272
          88     1.78372     1.79756  0.00319989
          89     1.79317     1.79751  0.00316432
          90     1.82579     1.79783  0.00314472
          91     1.90855     1.79904  0.00333726
          92     1.88209     1.79995  0.00342089
          93     1.86541     1.80065  0.00345577
          94     1.83108     1.80097  0.00343414
          95     1.78842     1.80084  0.00340053
          96     1.81316     1.80097  0.00336753
          97     1.82169     1.80118  0.00333958
          98     1.72733     1.80043  0.00338946
          99     1.77323     1.80015  0.00336634
         100     1.76276     1.79978  0.00335338
         101     1.84895     1.80027  0.00335533
         102     1.79054     1.80017  0.00332379
         103     1.83688     1.80053  0.00331057
         104     1.83908      1.8009  0.00329942
         105     1.86392      1.8015  0.00332215
         106     1.81957     1.80167  0.00329518
         107     1.78304      1.8015  0.00326898
         108     1.84114     1.80186  0.00325926
         109     1.79293     1.80178  0.00323039
         110     1.76629     1.80146  0.00321709
         111     1.74241     1.80093   0.0032318
         112     1.85863     1.80144  0.00324375
         113     1.77709     1.80123  0.00322219
         114     1.78032     1.80104  0.00319914
         115     1.79182     1.80096  0.00317233
         116     1.76384     1.80064  0.00316108
         117     1.77209      1.8004  0.00314346
         118     1.79194     1.80033  0.00311764
         119     1.75487     1.79994  0.00311476
         120     1.77285     1.79972  0.00309697
