#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1   -0.400894   -0.400894           0
           2   -0.380433   -0.390664  0.00723384
           3   -0.343341   -0.374889   0.0137528
           4   -0.372249   -0.374229   0.0103304
           5   -0.405408   -0.380465  0.00997032
           6    -0.45078   -0.392184   0.0135455
           7   -0.449375   -0.400354    0.013857
           8   -0.424689   -0.403396   0.0124543
           9   -0.419625   -0.405199   0.0112003
          10   -0.445731   -0.409253   0.0107887
          11   -0.445041   -0.412506   0.0102868
          12   -0.489345   -0.418909   0.0112473
          13   -0.479168   -0.423545    0.011297
          14   -0.429174   -0.423947   0.0104972
          15   -0.390526   -0.421719   0.0100311
          16    -0.37848   -0.419016  0.00976135
          17   -0.376068    -0.41649  0.00950846
          18   -0.401567   -0.415661  0.00901628
          19   -0.447588   -0.417341  0.00869691
          20   -0.451067   -0.419027  0.00842396
          21   -0.409721   -0.418584  0.00803447
          22   -0.419634   -0.418632   0.0076694
          23   -0.461199   -0.420483  0.00755596
          24   -0.386324   -0.419059  0.00737395
          25   -0.383181   -0.417624   0.0072173
          26   -0.413437   -0.417463  0.00694151
          27   -0.427712   -0.417843  0.00669479
          28   -0.377281   -0.416394  0.00661056
          29   -0.422018   -0.416588  0.00638546
          30   -0.389627   -0.415689  0.00623553
          31    -0.40354   -0.415298  0.00604669
          32   -0.435241   -0.415921  0.00588976
          33   -0.424634   -0.416185   0.0057172
          34   -0.376079   -0.415005  0.00566943
          35   -0.411599   -0.414908  0.00550828
          36   -0.405573   -0.414649  0.00536137
          37   -0.405711   -0.414407  0.00522191
          38   -0.407773   -0.414232  0.00508741
          39   -0.411577   -0.414164  0.00495742
          40   -0.442773    -0.41488   0.0048848
          41   -0.445429   -0.415625  0.00482215
          42   -0.399145   -0.415232  0.00472327
          43   -0.372117    -0.41423  0.00471866
          44   -0.401942    -0.41395  0.00461967
          45   -0.424076   -0.414175  0.00452249
          46   -0.394207   -0.413741  0.00444496
          47   -0.342632   -0.412228  0.00460067
          48   -0.371989    -0.41139  0.00458057
          49   -0.347131   -0.410079  0.00467104
          50   -0.431141     -0.4105  0.00459658
          51   -0.421228    -0.41071  0.00451126
          52   -0.411647   -0.410728  0.00442454
          53   -0.394593   -0.410424  0.00435152
          54   -0.434355   -0.410867  0.00429344
          55   -0.420061   -0.411034  0.00421863
          56   -0.381529   -0.410507  0.00417607
          57   -0.374147   -0.409869  0.00415124
          58   -0.396588    -0.40964  0.00408598
          59   -0.344597   -0.408538  0.00416279
          60   -0.407044   -0.408513  0.00409349
          61   -0.417039   -0.408653  0.00402877
          62   -0.442763   -0.409203  0.00400118
          63   -0.419696   -0.409369  0.00394113
          64   -0.411065   -0.409396  0.00387964
          65   -0.392387   -0.409134  0.00382877
          66   -0.376471   -0.408639   0.0038026
          67   -0.391914    -0.40839  0.00375403
          68    -0.43075   -0.408719   0.0037132
          69   -0.408036   -0.408709   0.0036594
          70   -0.356782   -0.407967  0.00368154
          71   -0.409685   -0.407991  0.00362977
          72   -0.422342    -0.40819  0.00358483
          73   -0.406292   -0.408164  0.00353581
          74   -0.414525    -0.40825  0.00348908
          75   -0.406363   -0.408225  0.00344265
          76   -0.440934   -0.408656  0.00342414
          77   -0.429749    -0.40893  0.00339061
          78   -0.363959   -0.408353  0.00339581
          79   -0.384941   -0.408057  0.00336573
          80   -0.458016   -0.408681   0.0033811
          81   -0.441502   -0.409086  0.00336355
          82   -0.396395   -0.408932  0.00332609
          83   -0.455402   -0.409491  0.00333281
          84    -0.43653   -0.409813  0.00330864
          85   -0.381553   -0.409481  0.00328638
          86   -0.381021    -0.40915  0.00326478
          87   -0.391186   -0.408943  0.00323378
          88   -0.395075   -0.408786  0.00320087
          89   -0.404595   -0.408739  0.00316525
          90   -0.437151   -0.409054  0.00314578
          91   -0.519887   -0.410272  0.00333868
          92   -0.493434   -0.411176  0.00342257
          93   -0.476759   -0.411882  0.00345765
          94   -0.442401   -0.412206  0.00343608
          95   -0.399664   -0.412074  0.00340244
          96   -0.424327   -0.412202  0.00336939
          97   -0.432763   -0.412414  0.00334132
          98   -0.338304   -0.411658  0.00339172
          99   -0.384431   -0.411383  0.00336859
         100   -0.373941   -0.411008  0.00335565
         101   -0.460128   -0.411494  0.00335748
         102   -0.401652   -0.411398  0.00332595
         103   -0.447961   -0.411753  0.00331255
         104   -0.450176   -0.412122  0.00330124
         105   -0.475208   -0.412723  0.00332402
         106   -0.430924   -0.412895  0.00329709
         107   -0.394437   -0.412722  0.00327079
         108   -0.452497   -0.413091  0.00326117
         109   -0.404239   -0.413009  0.00323226
         110   -0.377611   -0.412688  0.00321886
         111    -0.35377   -0.412157  0.00323333
         112   -0.469962   -0.412673  0.00324539
         113   -0.388247   -0.412457  0.00322386
         114   -0.391525   -0.412273  0.00320081
         115   -0.402964   -0.412192    0.003174
         116   -0.375021   -0.411872  0.00316277
         117   -0.383251   -0.411627  0.00314518
         118   -0.403034   -0.411554  0.00311937
         119   -0.365963   -0.411171   0.0031166
         120   -0.384026   -0.410945  0.00309882
