#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
           1   0.0528479   0.0528479           0
           2   0.0521641    0.052506 0.000241749
           3   0.0509725   0.0519948 0.000447402
           4   0.0518998   0.0519711 0.000336181
           5   0.0530157     0.05218 0.000327492
           6   0.0545005   0.0525668 0.000446236
           7   0.0544558   0.0528366 0.000456857
           8   0.0536706   0.0529409 0.000411472
           9   0.0534722   0.0529999 0.000369964
          10   0.0543118   0.0531311 0.000355468
          11   0.0542983   0.0532372 0.000338618
          12   0.0557665    0.053448 0.000370232
          13    0.055474   0.0536038 0.000373115
          14   0.0537998   0.0536178 0.000346727
          15   0.0525242   0.0535449 0.000331188
          16   0.0521159   0.0534556 0.000322307
          17   0.0520107   0.0533706 0.000314355
          18   0.0528997   0.0533444 0.000297977
          19   0.0543957   0.0533998 0.000287385
          20   0.0545302   0.0534563 0.000278519
          21   0.0531576   0.0534421 0.000265619
          22   0.0534973   0.0534446 0.000253557
          23   0.0548568    0.053506 0.000249856
          24   0.0523489   0.0534578 0.000244053
          25   0.0522724   0.0534104 0.000238852
          26    0.053292   0.0534058 0.000229709
          27   0.0537569   0.0534188 0.000221569
          28    0.052072   0.0533707 0.000218814
          29   0.0535955   0.0533785 0.000211406
          30   0.0524983   0.0533491 0.000206385
          31   0.0529533   0.0533363 0.000200122
          32   0.0540149   0.0533576 0.000194988
          33   0.0536514   0.0533665 0.000189283
          34   0.0519999   0.0533263 0.000187934
          35   0.0531943   0.0533225 0.000182603
          36   0.0529956   0.0533134 0.000177756
          37   0.0530323   0.0533058 0.000173114
          38   0.0531197   0.0533009 0.000168628
          39   0.0531927   0.0532981 0.000164327
          40    0.054248   0.0533219 0.000161925
          41   0.0543607   0.0533472 0.000159946
          42   0.0527724   0.0533335 0.000156722
          43   0.0518999   0.0533002 0.000156583
          44   0.0528786   0.0532906 0.000153318
          45   0.0536403   0.0532984 0.000150107
          46   0.0526535   0.0532844 0.000147497
          47   0.0509163    0.053234 0.000152722
          48   0.0519215   0.0532066 0.000151969
          49   0.0510612   0.0531629 0.000155047
          50   0.0538403   0.0531764 0.000152537
          51   0.0535378   0.0531835  0.00014971
          52   0.0531952   0.0531837 0.000146831
          53   0.0526557   0.0531738 0.000144398
          54   0.0539464   0.0531881 0.000142432
          55   0.0534952   0.0531936 0.000139951
          56   0.0521834   0.0531756  0.00013861
          57   0.0519479   0.0531541 0.000137842
          58   0.0527173   0.0531465 0.000135671
          59   0.0509623   0.0531095  0.00013833
          60   0.0530869   0.0531091 0.000136025
          61   0.0534091   0.0531141 0.000133884
          62   0.0542277    0.053132 0.000132924
          63   0.0534842   0.0531376 0.000130932
          64   0.0531696   0.0531381 0.000128887
          65   0.0525929   0.0531297 0.000127177
          66   0.0520468   0.0531133 0.000126304
          67   0.0525402   0.0531048 0.000124708
          68   0.0538368   0.0531155 0.000123338
          69   0.0530907   0.0531152 0.000121551
          70   0.0513998   0.0530907  0.00012226
          71   0.0531615   0.0530917 0.000120542
          72   0.0535995   0.0530987 0.000119074
          73   0.0530582   0.0530982 0.000117444
          74   0.0533231   0.0531012 0.000115896
          75   0.0530485   0.0531005 0.000114353
          76   0.0541735   0.0531146 0.000113717
          77   0.0538346    0.053124 0.000112623
          78   0.0516416    0.053105 0.000112772
          79   0.0523402   0.0530953 0.000111759
          80   0.0547327   0.0531157 0.000112221
          81   0.0542065   0.0531292  0.00011164
          82   0.0526721   0.0531236 0.000110418
          83   0.0547065   0.0531427 0.000110722
          84   0.0540381   0.0531534 0.000109916
          85    0.052221   0.0531424 0.000109169
          86   0.0521722   0.0531311 0.000108481
          87   0.0525275   0.0531242 0.000107456
          88   0.0526694    0.053119 0.000106359
          89   0.0529866   0.0531175 0.000105174
          90    0.054074   0.0531282 0.000104541
          91   0.0567786   0.0531683 0.000110822
          92   0.0559262   0.0531982   0.0001136
          93   0.0553691   0.0532216 0.000114751
          94   0.0542361   0.0532324 0.000114037
          95   0.0527985   0.0532278 0.000112928
          96   0.0536389   0.0532321 0.000111833
          97   0.0539034    0.053239 0.000110894
          98   0.0508028   0.0532142 0.000112514
          99   0.0523525   0.0532055 0.000111714
         100   0.0519565    0.053193 0.000111293
         101   0.0548608   0.0532095 0.000111409
         102   0.0528773   0.0532062 0.000110364
         103   0.0544128   0.0532179 0.000109913
         104   0.0544862   0.0532301  0.00010953
         105   0.0552963   0.0532498 0.000110241
         106   0.0538237   0.0532552 0.000109333
         107   0.0526081   0.0532492 0.000108479
         108   0.0545946   0.0532616 0.000108187
         109   0.0529638   0.0532589 0.000107229
         110   0.0521031   0.0532484 0.000106768
         111   0.0512772   0.0532306 0.000107273
         112   0.0551518   0.0532478 0.000107678
         113   0.0524307   0.0532406 0.000106967
         114   0.0525189   0.0532342 0.000106216
         115   0.0529133   0.0532314 0.000105329
         116   0.0520344   0.0532211 0.000104926
         117   0.0522709    0.053213 0.000104343
         118    0.052954   0.0532108 0.000103481
         119   0.0517022   0.0531981 0.000103385
         120   0.0522819   0.0531905 0.000102805
