#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1     1.19314     1.19314           0
           2     1.17953     1.18634  0.00481255
           3     1.15475     1.17581  0.00917579
           4     1.17398     1.17535  0.00689327
           5     1.19608      1.1795  0.00664533
           6     1.22635     1.18731   0.0090268
           7     1.22543     1.19275  0.00923535
           8     1.20898     1.19478  0.00830076
           9     1.20558     1.19598  0.00746469
          10     1.22295     1.19868  0.00718894
          11     1.22246     1.20084  0.00685291
          12     1.25204     1.20511  0.00749337
          13     1.24534      1.2082  0.00752894
          14     1.21204     1.20848  0.00699616
          15     1.18626       1.207  0.00668469
          16     1.17818     1.20519  0.00650506
          17      1.1766     1.20351  0.00633613
          18      1.1936     1.20296    0.006008
          19     1.22426     1.20408  0.00579542
          20     1.22668     1.20521  0.00561473
          21     1.19905     1.20492  0.00535502
          22     1.20565     1.20495  0.00511171
          23     1.23331     1.20618  0.00503593
          24     1.18335     1.20523  0.00491519
          25     1.18128     1.20428  0.00481103
          26     1.20145     1.20417  0.00462721
          27     1.21103     1.20442  0.00446281
          28     1.17739     1.20346  0.00440663
          29     1.20714     1.20358  0.00425651
          30     1.18554     1.20298  0.00415691
          31     1.19481     1.20272  0.00403116
          32     1.21599     1.20313  0.00392647
          33     1.20898     1.20331  0.00381147
          34     1.17655     1.20252  0.00377978
          35     1.20015     1.20245  0.00367239
          36      1.1962     1.20228  0.00357449
          37     1.19635     1.20212  0.00348148
          38     1.19771       1.202  0.00339179
          39     1.20021     1.20196  0.00330514
          40     1.22092     1.20243  0.00325634
          41     1.22262     1.20292  0.00321394
          42     1.19192     1.20266  0.00314808
          43     1.17401       1.202   0.0031446
          44     1.19386     1.20181  0.00307856
          45     1.20858     1.20196  0.00301382
          46      1.1887     1.20167  0.00296206
          47     1.15423     1.20066  0.00306621
          48     1.17386     1.20011  0.00305275
          49     1.15724     1.19923  0.00311329
          50     1.21324     1.19951   0.0030636
          51     1.20666     1.19965  0.00300673
          52     1.20023     1.19966  0.00294893
          53     1.18892     1.19946  0.00290025
          54     1.21552     1.19976  0.00286174
          55     1.20598     1.19987  0.00281194
          56     1.18026     1.19952  0.00278345
          57     1.17531      1.1991  0.00276682
          58     1.19033     1.19894  0.00272324
          59     1.15561     1.19821  0.00277434
          60     1.19723     1.19819  0.00272815
          61     1.20384     1.19829  0.00268499
          62     1.22097     1.19865   0.0026665
          63     1.20557     1.19876  0.00262643
          64     1.19984     1.19878  0.00258545
          65     1.18746      1.1986  0.00255153
          66     1.17682     1.19827  0.00253413
          67      1.1871     1.19811  0.00250179
          68     1.21303     1.19833   0.0024746
          69     1.19794     1.19832  0.00243874
          70      1.1637     1.19783  0.00245353
          71     1.19898     1.19784  0.00241903
          72     1.20743     1.19798  0.00238909
          73     1.19676     1.19796  0.00235642
          74     1.20225     1.19802  0.00232529
          75     1.19674       1.198  0.00229435
          76     1.21981     1.19829  0.00228203
          77     1.21237     1.19847  0.00225971
          78     1.16856     1.19809  0.00226305
          79      1.1825     1.19789  0.00224299
          80     1.23121     1.19831  0.00225328
          81     1.22026     1.19858  0.00224171
          82     1.19006     1.19847  0.00221678
          83     1.22937     1.19885  0.00222111
          84     1.21687     1.19906  0.00220501
          85     1.18022     1.19884  0.00219018
          86     1.17985     1.19862  0.00217581
          87     1.18665     1.19848  0.00215515
          88     1.18915     1.19837  0.00213326
          89     1.19545     1.19834  0.00210955
          90     1.21719     1.19855  0.00209648
          91     1.27237     1.19936  0.00222484
          92     1.25473     1.19996  0.00228059
          93     1.24361     1.20043  0.00230385
          94     1.22072     1.20065  0.00228943
          95     1.19228     1.20056  0.00226702
          96     1.20878     1.20065  0.00224502
          97     1.21446     1.20079  0.00222639
          98     1.15156     1.20029  0.00225964
          99     1.18215      1.2001  0.00224423
         100     1.17517     1.19985  0.00223559
         101     1.23263     1.20018  0.00223689
         102     1.19369     1.20011  0.00221586
         103     1.22458     1.20035  0.00220705
         104     1.22605      1.2006  0.00219962
         105     1.24262       1.201  0.00221477
         106     1.21305     1.20111  0.00219679
         107      1.1887       1.201  0.00217932
         108     1.22743     1.20124  0.00217284
         109     1.19528     1.20119  0.00215359
         110     1.17753     1.20097  0.00214473
         111     1.16161     1.20062  0.00215453
         112     1.23909     1.20096   0.0021625
         113     1.18473     1.20082  0.00214813
         114     1.18688     1.20069  0.00213276
         115     1.19455     1.20064  0.00211488
         116     1.17589     1.20043  0.00210739
         117      1.1814     1.20027  0.00209564
         118     1.19463     1.20022  0.00207843
         119     1.16991     1.19996   0.0020765
         120      1.1819     1.19981  0.00206465
