# DISTANCE:     AVE_GOFR:        ERROR:
   0.0256496           0           0
   0.0512993           0           0
   0.0769489           0           0
    0.102599           0           0
    0.128248           0           0
    0.153898           0           0
    0.179547           0           0
    0.205197           0           0
    0.230847           0           0
    0.256496           0           0
    0.282146           0           0
    0.307796           0           0
    0.333445           0           0
    0.359095           0           0
    0.384745           0           0
    0.410394           0           0
    0.436044           0           0
    0.461694           0           0
    0.487343           0           0
    0.512993           0           0
    0.538642           0           0
    0.564292           0           0
    0.589942           0           0
    0.615591           0           0
    0.641241           0           0
    0.666891           0           0
     0.69254           0           0
     0.71819           0           0
     0.74384           0           0
    0.769489           0           0
    0.795139           0           0
    0.820788           0           0
    0.846438           0           0
    0.872088 1.37787e-05 1.37212e-05
    0.897737   0.0014711 0.000184526
    0.923387   0.0244924 0.000894997
    0.949037    0.166803  0.00196971
    0.974686    0.569766  0.00388549
     1.00034     1.22211  0.00603523
     1.02599     1.87048  0.00752866
     1.05164       2.345  0.00796521
     1.07728      2.5496  0.00877598
     1.10293     2.53441  0.00859976
     1.12858     2.41727  0.00748132
     1.15423     2.20335  0.00765056
     1.17988     1.97685  0.00714855
     1.20553     1.75569  0.00650038
     1.23118     1.56178  0.00745606
     1.25683     1.38613  0.00668261
     1.28248     1.23559  0.00674362
     1.30813     1.11107  0.00551834
     1.33378     1.01173  0.00540211
     1.35943    0.931551  0.00527138
     1.38508    0.865753  0.00477288
     1.41073    0.810473  0.00486468
     1.43638    0.771109  0.00421353
     1.46203    0.740765  0.00374975
     1.48768    0.703467  0.00383205
     1.51333    0.684196   0.0038804
     1.53898    0.674972  0.00369133
     1.56463     0.67109  0.00337853
     1.59028     0.67721  0.00360341
     1.61593    0.677135  0.00415479
     1.64158    0.692078  0.00389456
     1.66723    0.701062  0.00363052
     1.69288    0.727547  0.00315395
     1.71853    0.761384  0.00326495
     1.74418    0.786673  0.00333212
     1.76983    0.817054  0.00357552
     1.79547    0.853374  0.00360841
     1.82112    0.891278  0.00371149
     1.84677    0.937502   0.0036925
     1.87242    0.984922  0.00410287
     1.89807     1.02264  0.00367702
     1.92372      1.0608  0.00363821
     1.94937     1.09768  0.00351893
     1.97502     1.13225  0.00362283
     2.00067     1.16145  0.00336788
     2.02632     1.18852  0.00368748
     2.05197     1.21003  0.00322505
     2.07762     1.21657  0.00373731
     2.10327     1.21397  0.00393917
     2.12892     1.21068  0.00369039
     2.15457     1.19344  0.00373213
     2.18022     1.17257   0.0034862
     2.20587     1.14984  0.00330738
     2.23152     1.12185  0.00307605
     2.25717     1.09417  0.00298379
     2.28282     1.05732  0.00293161
     2.30847     1.03018  0.00307261
     2.33412     1.00503   0.0031016
     2.35977    0.981359  0.00307213
     2.38542    0.957245  0.00278972
     2.41107    0.935872  0.00296764
     2.43672    0.921273  0.00282644
     2.46237    0.908328  0.00256745
     2.48802    0.900782  0.00288158
     2.51366    0.894074  0.00278719
     2.53931    0.894295  0.00299677
     2.56496     0.89628  0.00295107
