#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
           1     1.61499     1.61499           0
           2     1.66799     1.64149   0.0187368
           3     1.64479     1.64259   0.0125234
           4     1.66877     1.64914   0.0109704
           5     1.61622     1.64255    0.010569
           6     1.66567     1.64641  0.00948411
           7     1.63661     1.64501  0.00823192
           8     1.68357     1.64983  0.00849784
           9     1.63323     1.64798  0.00775115
          10     1.64401     1.64758  0.00698621
          11     1.65787     1.64852  0.00641335
          12     1.68677     1.65171  0.00662378
          13     1.65535     1.65199  0.00612018
          14     1.61291      1.6492   0.0062873
          15     1.64145     1.64868  0.00588929
          16     1.60051     1.64567  0.00624351
          17       1.683     1.64786  0.00625042
          18      1.6509     1.64803  0.00590546
          19       1.657     1.64851  0.00561348
          20     1.63644      1.6479  0.00536515
          21     1.65061     1.64803  0.00511121
          22      1.6105     1.64632  0.00515575
          23      1.6458      1.6463  0.00493164
          24     1.69169     1.64819   0.0050759
          25     1.64849     1.64821  0.00487288
          26     1.65481     1.64846  0.00469208
          27     1.58697     1.64618  0.00504073
          28     1.72288     1.64892  0.00555535
          29     1.64217     1.64869  0.00536867
          30     1.66487     1.64923  0.00521674
          31     1.66773     1.64982  0.00508249
          32      1.6524     1.64991   0.0049243
          33     1.65313        1.65  0.00477605
          34     1.64135     1.64975  0.00464235
          35     1.66215      1.6501  0.00452322
          36     1.61341     1.64908  0.00451093
          37     1.67545      1.6498  0.00444493
          38     1.67586     1.65048  0.00438057
          39     1.62385      1.6498  0.00432116
          40     1.67701     1.65048  0.00426636
          41     1.66853     1.65092  0.00418496
          42     1.58455     1.64934  0.00437346
          43     1.58117     1.64775  0.00455004
          44     1.64257     1.64764  0.00444816
          45     1.60628     1.64672  0.00444325
          46     1.64902     1.64677  0.00434694
          47     1.64693     1.64677  0.00425445
          48     1.66172     1.64708   0.0041772
          49     1.69726     1.64811   0.0042156
          50     1.64435     1.64803  0.00413195
          51     1.64009     1.64788  0.00405387
          52     1.69071      1.6487  0.00405876
          53     1.62146     1.64819  0.00401457
          54     1.62575     1.64777  0.00396167
          55     1.67202     1.64821  0.00391409
          56     1.63407     1.64796  0.00385234
          57     1.63247     1.64769  0.00379432
          58     1.62981     1.64738   0.0037414
          59     1.64453     1.64733   0.0036783
          60     1.66816     1.64768  0.00363333
          61     1.64284      1.6476  0.00357464
          62     1.62616     1.64725  0.00353367
          63     1.68443     1.64784  0.00352651
          64     1.68351      1.6484  0.00351518
          65     1.66661     1.64868  0.00347225
          66     1.59935     1.64793  0.00349914
          67     1.64134     1.64783   0.0034483
          68     1.62491      1.6475  0.00341402
          69     1.64486     1.64746  0.00336476
          70     1.66059     1.64765  0.00332192
          71     1.66114     1.64784  0.00328056
          72     1.68185     1.64831  0.00326883
          73     1.61969     1.64792  0.00324748
          74     1.61067     1.64741  0.00324236
          75     1.69713     1.64808  0.00326619
          76     1.60139     1.64746  0.00328048
          77     1.67225     1.64778  0.00325364
          78     1.65427     1.64787  0.00321299
          79     1.64975     1.64789   0.0031724
          80     1.66857     1.64815  0.00314327
          81     1.61114     1.64769  0.00313749
          82     1.67116     1.64798  0.00311224
          83     1.67893     1.64835  0.00309701
          84     1.66084      1.6485  0.00306371
          85     1.61109     1.64806  0.00305912
          86     1.64801     1.64806  0.00302355
          87     1.69142     1.64856  0.00302959
          88      1.6525      1.6486   0.0029955
          89      1.7016      1.6492  0.00302044
          90     1.65281     1.64924  0.00298715
          91     1.68449     1.64963  0.00297933
          92     1.69688     1.65014   0.0029909
          93     1.62998     1.64992  0.00296658
          94     1.68819     1.65033  0.00296283
          95     1.65105     1.65034  0.00293165
          96     1.63089     1.65013   0.0029081
          97      1.6782     1.65042  0.00289248
          98     1.64913     1.65041  0.00286299
          99     1.66662     1.65057  0.00283875
         100     1.62346      1.6503  0.00282329
         101     1.65984      1.6504  0.00279691
         102     1.62139     1.65011  0.00278391
         103     1.61123     1.64974  0.00278237
         104     1.65851     1.64982  0.00275689
         105     1.66194     1.64994  0.00273305
         106     1.65878     1.65002  0.00270854
         107     1.60897     1.64964  0.00271026
         108     1.58748     1.64906  0.00274559
         109     1.65801     1.64914  0.00272163
         110     1.66036     1.64924   0.0026988
         111     1.65291     1.64928  0.00267469
         112      1.6566     1.64934  0.00265161
         113     1.60011     1.64891  0.00266369
         114     1.65387     1.64895  0.00264069
         115     1.64645     1.64893  0.00261781
         116      1.6472     1.64891  0.00259529
         117     1.64285     1.64886  0.00257362
         118     1.63633     1.64876    0.002554
         119     1.61426     1.64847  0.00254894
         120     1.68862      1.6488  0.00254957
