#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1    -5.42008    -5.42008           0
           2     -5.4766    -5.44834   0.0199832
           3    -5.45211     -5.4496   0.0133615
           4    -5.47598    -5.45619   0.0115346
           5    -5.42213    -5.44938   0.0110585
           6    -5.47112      -5.453  0.00979109
           7    -5.44257    -5.45151  0.00850509
           8    -5.48848    -5.45613  0.00860615
           9    -5.43799    -5.45412  0.00788252
          10     -5.4504    -5.45375  0.00710305
          11    -5.46487    -5.45476  0.00652892
          12    -5.49537    -5.45814  0.00680577
          13    -5.46479    -5.45865  0.00630141
          14    -5.41898    -5.45582  0.00645716
          15     -5.4489    -5.45536  0.00604314
          16    -5.40711    -5.45234  0.00637355
          17    -5.49206    -5.45468  0.00641253
          18    -5.45544    -5.45472  0.00605642
          19    -5.46469    -5.45525  0.00576034
          20    -5.44408    -5.45469   0.0054993
          21    -5.45695     -5.4548  0.00523849
          22      -5.418    -5.45312   0.0052606
          23    -5.45064    -5.45301  0.00503299
          24     -5.4942    -5.45473  0.00510749
          25    -5.45364    -5.45469  0.00490338
          26    -5.46103    -5.45493  0.00472086
          27    -5.39145    -5.45258    0.005098
          28    -5.53195    -5.45541  0.00564932
          29    -5.44938    -5.45521  0.00545834
          30    -5.47084    -5.45573  0.00530122
          31      -5.475    -5.45635  0.00516654
          32    -5.46035    -5.45647  0.00500659
          33    -5.46013    -5.45659   0.0048561
          34    -5.44801    -5.45633  0.00471982
          35    -5.46876    -5.45669   0.0045983
          36    -5.41884    -5.45564   0.0045892
          37    -5.48263    -5.45637  0.00452278
          38    -5.48199    -5.45704  0.00445375
          39    -5.43285    -5.45642  0.00438254
          40    -5.48428    -5.45712  0.00432796
          41     -5.4772    -5.45761  0.00425004
          42    -5.39112    -5.45602  0.00443389
          43    -5.38544    -5.45438  0.00462467
          44    -5.44913    -5.45426   0.0045211
          45    -5.41053    -5.45329  0.00452389
          46    -5.45608    -5.45335  0.00442595
          47    -5.45269    -5.45334  0.00433181
          48    -5.47134    -5.45371  0.00425777
          49    -5.50333    -5.45473  0.00428961
          50    -5.45111    -5.45465  0.00420442
          51    -5.44716    -5.45451  0.00412455
          52    -5.49751    -5.45533  0.00412732
          53    -5.42672    -5.45479  0.00408461
          54    -5.43556    -5.45444  0.00402446
          55    -5.48137    -5.45493  0.00398097
          56    -5.44306    -5.45471  0.00391552
          57    -5.43798    -5.45442  0.00385782
          58    -5.43547    -5.45409  0.00380513
          59    -5.45129    -5.45405  0.00374093
          60    -5.47541     -5.4544  0.00369548
          61    -5.44977    -5.45433  0.00363568
          62    -5.42982    -5.45393  0.00359846
          63    -5.48878    -5.45448  0.00358361
          64    -5.49212    -5.45507  0.00357553
          65    -5.47505    -5.45538  0.00353371
          66    -5.40568    -5.45463  0.00355949
          67    -5.44758    -5.45452  0.00350792
          68    -5.43018    -5.45416  0.00347455
          69    -5.45002     -5.4541  0.00342471
          70    -5.46576    -5.45427  0.00337983
          71    -5.46783    -5.45446  0.00333762
          72    -5.48797    -5.45493  0.00332356
          73    -5.42578    -5.45453  0.00330193
          74    -5.41651    -5.45401  0.00329703
          75    -5.50488    -5.45469  0.00332211
          76    -5.41018    -5.45411  0.00332962
          77    -5.47921    -5.45443   0.0033023
          78    -5.46054    -5.45451  0.00326089
          79     -5.4561    -5.45453  0.00321968
          80    -5.47564    -5.45479  0.00319023
          81    -5.41682    -5.45433  0.00318511
          82    -5.47809    -5.45462  0.00315943
          83    -5.48727    -5.45501  0.00314576
          84    -5.46646    -5.45515  0.00311126
          85    -5.41548    -5.45468  0.00310945
          86    -5.45325    -5.45466  0.00307334
          87    -5.49519    -5.45513  0.00307311
          88    -5.45951    -5.45518  0.00303859
          89    -5.50785    -5.45577  0.00306155
          90    -5.45905    -5.45581  0.00302775
          91     -5.4932    -5.45622  0.00302224
          92    -5.50544    -5.45675  0.00303638
          93    -5.43687    -5.45654  0.00301125
          94      -5.495    -5.45695  0.00300689
          95    -5.45925    -5.45697  0.00297533
          96    -5.43982    -5.45679   0.0029497
          97    -5.48362    -5.45707  0.00293223
          98    -5.45527    -5.45705  0.00290236
          99    -5.47097    -5.45719  0.00287645
         100    -5.42933    -5.45691  0.00286115
         101    -5.46469    -5.45699  0.00283386
         102    -5.42497    -5.45668  0.00282341
         103    -5.41848    -5.45631  0.00282024
         104    -5.46509    -5.45639  0.00279439
         105    -5.46919    -5.45651  0.00277043
         106    -5.46386    -5.45658  0.00274517
         107    -5.41319    -5.45618   0.0027493
         108    -5.39349     -5.4556  0.00278444
         109     -5.4638    -5.45567  0.00275991
         110    -5.46539    -5.45576  0.00273623
         111    -5.45834    -5.45578  0.00271168
         112    -5.46188    -5.45584  0.00268802
         113    -5.40593    -5.45539  0.00270026
         114    -5.45972    -5.45543  0.00267684
         115    -5.45363    -5.45542  0.00265361
         116    -5.45254    -5.45539  0.00263085
         117    -5.45008    -5.45535  0.00260876
         118    -5.44307    -5.45524  0.00258872
         119    -5.41979    -5.45494  0.00258406
         120    -5.49594    -5.45529  0.00258501
