#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
           1   0.0186555   0.0186555           0
           2    0.044795   0.0317252  0.00924173
           3   0.0332326   0.0322277   0.0061748
           4   0.0449653   0.0354121  0.00539003
           5   0.0194332   0.0322163  0.00517339
           6   0.0432623   0.0340573  0.00462714
           7   0.0290598   0.0333434  0.00402082
           8   0.0531527   0.0358196  0.00421222
           9   0.0276882   0.0349161  0.00383987
          10   0.0336825   0.0347927  0.00345786
          11   0.0406773   0.0353277  0.00318462
          12   0.0538176   0.0368685  0.00327082
          13   0.0380085   0.0369562  0.00302039
          14   0.0173667   0.0355569  0.00311193
          15   0.0320688   0.0353244  0.00291314
          16   0.0115053   0.0338357  0.00308811
          17   0.0514804   0.0348736  0.00307594
          18   0.0364527   0.0349614  0.00290631
          19   0.0398174   0.0352169  0.00276456
          20   0.0283498   0.0348736  0.00264757
          21   0.0355951   0.0349079  0.00252172
          22   0.0157048   0.0340351   0.0025537
          23   0.0351574   0.0340839  0.00244313
          24   0.0564075    0.035014  0.00251217
          25   0.0359784   0.0350526  0.00241198
          26    0.039157   0.0352105  0.00232437
          27  0.00528219    0.034102  0.00248859
          28   0.0720179   0.0354561   0.0027435
          29   0.0306135   0.0352892  0.00265398
          30   0.0425692   0.0355318  0.00257658
          31   0.0438803   0.0358011   0.0025075
          32   0.0367926   0.0358321  0.00242933
          33   0.0360341   0.0358382  0.00235572
          34   0.0309965   0.0356958  0.00229074
          35   0.0425701   0.0358922  0.00223369
          36   0.0174596   0.0353802  0.00222956
          37   0.0485281   0.0357356  0.00219743
          38   0.0483059   0.0360664  0.00216436
          39   0.0217666   0.0356997   0.0021397
          40    0.049277   0.0360391  0.00211296
          41   0.0447695   0.0362521  0.00207212
          42  0.00345837   0.0354713   0.0021649
          43   0.0028159   0.0347118  0.00224381
          44    0.033163   0.0346766  0.00219309
          45    0.014873   0.0342366  0.00218806
          46   0.0362696   0.0342808  0.00214094
          47   0.0362492   0.0343226   0.0020958
          48   0.0412317   0.0344666  0.00205707
          49   0.0587024   0.0349612   0.0020737
          50   0.0321342   0.0349047    0.002033
          51   0.0318564   0.0348449  0.00199401
          52   0.0556885   0.0352457  0.00199555
          53   0.0241527   0.0350364  0.00196884
          54   0.0224488   0.0348033  0.00194613
          55   0.0463771   0.0350137  0.00192209
          56   0.0272634   0.0348753  0.00189275
          57   0.0272644   0.0347418  0.00186424
          58   0.0264223   0.0345984  0.00183761
          59   0.0335796   0.0345811  0.00180655
          60   0.0440768   0.0347394  0.00178336
          61   0.0329041   0.0347093  0.00175437
          62   0.0254841   0.0345605  0.00173238
          63   0.0535731   0.0348623  0.00173096
          64   0.0523695   0.0351358   0.0017254
          65   0.0434632   0.0352639   0.0017036
          66   0.0104125   0.0348874   0.0017189
          67   0.0317161   0.0348401   0.0016939
          68   0.0236879   0.0346761  0.00167691
          69   0.0343508   0.0346714  0.00165261
          70    0.041364    0.034767  0.00163176
          71   0.0416827   0.0348644  0.00161169
          72   0.0527633    0.035113  0.00160836
          73   0.0223581   0.0349382  0.00159579
          74   0.0166373   0.0346909  0.00159327
          75   0.0593085   0.0350192  0.00160548
          76   0.0126086   0.0347243  0.00161121
          77   0.0484915   0.0349031  0.00160018
          78   0.0383269    0.034947  0.00158026
          79   0.0357379    0.034957  0.00156029
          80   0.0446035   0.0350776  0.00154544
          81   0.0171879   0.0348567  0.00154206
          82   0.0459308   0.0349918  0.00152916
          83   0.0497584   0.0351697  0.00152105
          84   0.0406377   0.0352348  0.00150433
          85   0.0171569   0.0350221  0.00150159
          86   0.0357208   0.0350302  0.00148416
          87   0.0568702   0.0352812  0.00148818
          88   0.0373566   0.0353048  0.00147145
          89   0.0607438   0.0355907  0.00148242
          90    0.037069   0.0356071  0.00146604
          91   0.0521828   0.0357892   0.0014612
          92   0.0611375   0.0360648  0.00147107
          93   0.0254343   0.0359505  0.00145968
          94   0.0555053   0.0361585   0.0014589
          95   0.0360866   0.0361577  0.00144355
          96   0.0264645   0.0360568  0.00143204
          97   0.0499446   0.0361999  0.00142441
          98   0.0365225   0.0362032  0.00140988
          99    0.044251   0.0362845  0.00139798
         100    0.021632    0.036138  0.00139166
         101   0.0410343   0.0361865  0.00137872
         102   0.0240246   0.0360672  0.00137035
         103    0.017892   0.0358908  0.00136836
         104   0.0407157   0.0359372  0.00135599
         105   0.0416116   0.0359912  0.00134415
         106   0.0404197    0.036033  0.00133212
         107   0.0161167   0.0358469  0.00133261
         108  0.00443305    0.035556  0.00135165
         109   0.0394283   0.0355915  0.00133971
         110   0.0411572   0.0356421  0.00132849
         111   0.0376348   0.0356601  0.00131664
         112   0.0376335   0.0356777    0.001305
         113   0.0123684   0.0354714  0.00130965
         114   0.0380869   0.0354943  0.00129837
         115    0.035875   0.0354977  0.00128708
         116   0.0347609   0.0354913    0.001276
         117   0.0312864   0.0354554   0.0012656
         118   0.0288047    0.035399  0.00125613
         119   0.0185157   0.0352571  0.00125356
         120   0.0542699   0.0354156  0.00125309
