#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1     1.07666     1.07666           0
           2     1.11199     1.09433   0.0124912
           3     1.09652     1.09506  0.00834892
           4     1.11251     1.09942  0.00731362
           5     1.07748     1.09503  0.00704601
           6     1.11045      1.0976  0.00632274
           7     1.09107     1.09667  0.00548795
           8     1.12238     1.09988  0.00566523
           9     1.08882     1.09865  0.00516743
          10     1.09601     1.09839  0.00465747
          11     1.10525     1.09901  0.00427556
          12     1.12451     1.10114  0.00441585
          13     1.10357     1.10132  0.00408012
          14     1.07527     1.09946  0.00419153
          15      1.0943     1.09912  0.00392619
          16     1.06701     1.09711  0.00416234
          17       1.122     1.09858  0.00416695
          18      1.1006     1.09869  0.00393697
          19     1.10467       1.099  0.00374232
          20     1.09096      1.0986  0.00357677
          21     1.10041     1.09869  0.00340748
          22     1.07367     1.09755  0.00343717
          23      1.0972     1.09753  0.00328776
          24      1.1278      1.0988  0.00338393
          25     1.09899      1.0988  0.00324858
          26     1.10321     1.09897  0.00312806
          27     1.05798     1.09745  0.00336048
          28     1.14859     1.09928  0.00370357
          29     1.09478     1.09913  0.00357911
          30     1.10991     1.09949  0.00347783
          31     1.11182     1.09988  0.00338833
          32      1.1016     1.09994  0.00328287
          33     1.10209         1.1  0.00318403
          34     1.09424     1.09983   0.0030949
          35      1.1081     1.10007  0.00301548
          36     1.07561     1.09939  0.00300729
          37     1.11696     1.09986  0.00296328
          38     1.11724     1.10032  0.00292038
          39     1.08256     1.09987  0.00288077
          40     1.11801     1.10032  0.00284424
          41     1.11235     1.10061  0.00278997
          42     1.05637     1.09956  0.00291564
          43     1.05411      1.0985  0.00303336
          44     1.09505     1.09842  0.00296544
          45     1.07085     1.09781  0.00296217
          46     1.09935     1.09784  0.00289796
          47     1.09795     1.09785   0.0028363
          48     1.10781     1.09805   0.0027848
          49     1.13151     1.09874   0.0028104
          50     1.09623     1.09869  0.00275464
          51     1.09339     1.09858  0.00270258
          52     1.12714     1.09913  0.00270584
          53     1.08098     1.09879  0.00267638
          54     1.08383     1.09851  0.00264112
          55     1.11468     1.09881  0.00260939
          56     1.08938     1.09864  0.00256822
          57     1.08832     1.09846  0.00252955
          58     1.08654     1.09825  0.00249427
          59     1.09635     1.09822   0.0024522
          60      1.1121     1.09845  0.00242222
          61     1.09522      1.0984  0.00238309
          62      1.0841     1.09817  0.00235578
          63     1.12295     1.09856  0.00235101
          64     1.12234     1.09893  0.00234345
          65     1.11108     1.09912  0.00231483
          66     1.06624     1.09862  0.00233276
          67     1.09423     1.09856  0.00229886
          68     1.08328     1.09833  0.00227601
          69     1.09657     1.09831  0.00224317
          70     1.10706     1.09843  0.00221461
          71     1.10743     1.09856  0.00218704
          72     1.12123     1.09887  0.00217922
          73     1.07979     1.09861  0.00216498
          74     1.07378     1.09828  0.00216157
          75     1.13142     1.09872  0.00217746
          76     1.06759     1.09831  0.00218699
          77     1.11483     1.09852  0.00216909
          78     1.10285     1.09858  0.00214199
          79     1.09984     1.09859  0.00211494
          80     1.11238     1.09877  0.00209551
          81      1.0741     1.09846  0.00209166
          82      1.1141     1.09865  0.00207483
          83     1.11929      1.0989  0.00206468
          84     1.10723       1.099  0.00204248
          85     1.07406     1.09871  0.00203941
          86     1.09867     1.09871   0.0020157
          87     1.12761     1.09904  0.00201973
          88     1.10166     1.09907    0.001997
          89      1.1344     1.09947  0.00201363
          90     1.10188     1.09949  0.00199143
          91     1.12299     1.09975  0.00198622
          92     1.13125     1.10009  0.00199393
          93     1.08665     1.09995  0.00197772
          94     1.12546     1.10022  0.00197522
          95      1.1007     1.10022  0.00195443
          96     1.08726     1.10009  0.00193874
          97      1.1188     1.10028  0.00192832
          98     1.09942     1.10027  0.00190866
          99     1.11108     1.10038   0.0018925
         100      1.0823      1.1002  0.00188219
         101     1.10656     1.10027  0.00186461
         102     1.08093     1.10008  0.00185594
         103     1.07415     1.09982  0.00185491
         104     1.10567     1.09988  0.00183793
         105     1.10796     1.09996  0.00182203
         106     1.10585     1.10001  0.00180569
         107     1.07264     1.09976  0.00180684
         108     1.05832     1.09937   0.0018304
         109     1.10534     1.09943  0.00181442
         110     1.10691      1.0995   0.0017992
         111     1.10194     1.09952  0.00178313
         112      1.1044     1.09956  0.00176774
         113     1.06674     1.09927   0.0017758
         114     1.10258      1.0993  0.00176046
         115     1.09763     1.09929  0.00174521
         116     1.09814     1.09928  0.00173019
         117     1.09523     1.09924  0.00171575
         118     1.09089     1.09917  0.00170267
         119     1.07617     1.09898  0.00169929
         120     1.12575      1.0992  0.00169971
