# DISTANCE:     AVE_GOFR:        ERROR:
   0.0230664           0           0
   0.0461329           0           0
   0.0691993           0           0
   0.0922657           0           0
    0.115332           0           0
    0.138399           0           0
    0.161465           0           0
    0.184531           0           0
    0.207598           0           0
    0.230664           0           0
    0.253731           0           0
    0.276797           0           0
    0.299864           0           0
     0.32293           0           0
    0.345996           0           0
    0.369063           0           0
    0.392129           0           0
    0.415196           0           0
    0.438262           0           0
    0.461329           0           0
    0.484395           0           0
    0.507461           0           0
    0.530528           0           0
    0.553594           0           0
    0.576661           0           0
    0.599727           0           0
    0.622794           0           0
     0.64586           0           0
    0.668926           0           0
    0.691993           0           0
    0.715059           0           0
    0.738126           0           0
    0.761192           0           0
    0.784259           0           0
    0.807325           0           0
    0.830391           0           0
    0.853458           0           0
    0.876524           0           0
    0.899591 8.46866e-05  2.2256e-05
    0.922657  0.00357696 0.000191676
    0.945724   0.0494172 0.000677352
     0.96879    0.305054  0.00163739
    0.991856     1.03986  0.00278866
     1.01492     2.28706  0.00474215
     1.03799     3.63759  0.00568776
     1.06106     4.59231   0.0054208
     1.08412     4.83674  0.00592025
     1.10719     4.44013  0.00608311
     1.13026     3.62239  0.00523189
     1.15332     2.68738  0.00542152
     1.17639      1.8312  0.00390931
     1.19945     1.14837  0.00306059
     1.22252    0.671201  0.00263895
     1.24559    0.364441  0.00180779
     1.26865    0.185519  0.00147656
     1.29172   0.0929413  0.00109365
     1.31479   0.0519167 0.000855679
     1.33785   0.0435277 0.000923391
     1.36092   0.0626402   0.0011077
     1.38399    0.108981  0.00140062
     1.40705     0.18992  0.00171966
     1.43012    0.305667  0.00201917
     1.45319    0.456151  0.00190139
     1.47625    0.629288  0.00179746
     1.49932    0.790637  0.00247328
     1.52238    0.914584    0.003109
     1.54545    0.962747  0.00358653
     1.56852    0.919614  0.00326614
     1.59158    0.802502  0.00239851
     1.61465    0.639592  0.00156888
     1.63772    0.468563  0.00150636
     1.66078    0.322397  0.00167098
     1.68385     0.22549  0.00163783
     1.70692    0.200379  0.00172039
     1.72998    0.267037  0.00207505
     1.75305    0.451696   0.0025113
     1.77612    0.766205  0.00278771
     1.79918     1.21002  0.00264153
     1.82225     1.72813  0.00226918
     1.84531     2.22078  0.00324077
     1.86838     2.56925  0.00419073
     1.89145      2.6794  0.00474979
     1.91451     2.53048  0.00466855
     1.93758     2.16863  0.00318977
     1.96065     1.68987  0.00229917
     1.98371     1.20885  0.00207328
     2.00678    0.818132  0.00218719
     2.02985    0.558642  0.00228123
     2.05291    0.449562  0.00216659
     2.07598    0.476084  0.00208553
     2.09905    0.596336  0.00153215
     2.12211    0.761023  0.00137651
     2.14518    0.908109  0.00173707
     2.16824    0.993722  0.00184899
     2.19131    0.996369  0.00191136
     2.21438     0.91522  0.00174018
     2.23744    0.790699  0.00155776
     2.26051    0.662622  0.00170462
     2.28358    0.582896  0.00244702
     2.30664    0.587093  0.00266856
