#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
           1     1.19905     1.19905           0
           2     1.19936      1.1992 0.000110476
           3     1.20986     1.20275  0.00290078
           4     1.19746     1.20143  0.00245918
           5     1.19766     1.20068  0.00207987
           6     1.19206     1.19924  0.00217327
           7     1.19837     1.19911  0.00186638
           8      1.1955     1.19866  0.00168699
           9     1.19564     1.19833  0.00153259
          10     1.20306      1.1988  0.00145072
          11     1.19995     1.19891  0.00132262
          12     1.20153     1.19912  0.00123033
          13      1.1967     1.19894  0.00114978
          14     1.19574     1.19871  0.00109005
          15     1.19789     1.19865  0.00101873
          16     1.19669     1.19853 0.000962412
          17     1.19816     1.19851 0.000906047
          18      1.1981     1.19849 0.000855996
          19     1.19583     1.19835 0.000822289
          20     1.19872     1.19837 0.000781381
          21      1.2011      1.1985 0.000754943
          22     1.19878     1.19851 0.000720735
          23     1.21012     1.19901 0.000847919
          24     1.19662     1.19891 0.000818433
          25     1.19277     1.19867 0.000821741
          26     1.19939      1.1987 0.000790606
          27     1.19845     1.19869 0.000761377
          28     1.19635      1.1986 0.000738753
          29     1.19788     1.19858 0.000713699
          30     1.20164     1.19868 0.000697159
          31     1.19878     1.19868 0.000674677
          32     1.20211     1.19879  0.00066203
          33     1.19571      1.1987 0.000648514
          34     1.19759     1.19867 0.000630251
          35     1.19685     1.19861 0.000614372
          36     1.20042     1.19866 0.000599342
          37     1.19866     1.19866 0.000583143
          38     1.20449     1.19882 0.000587603
          39     1.20303     1.19892 0.000582361
          40     1.19881     1.19892  0.00056781
          41     1.20078     1.19897 0.000555763
          42      1.1991     1.19897 0.000542541
          43     1.19796     1.19895 0.000530429
          44     1.19784     1.19892 0.000518973
          45     1.20201     1.19899  0.00051197
          46     1.19599     1.19893 0.000504968
          47     1.19214     1.19878 0.000514443
          48     1.19748     1.19875 0.000504437
          49     1.19666     1.19871 0.000495945
          50     1.18902     1.19852 0.000522542
          51     1.19784      1.1985 0.000512464
          52     1.20523     1.19863 0.000518653
          53     1.18732     1.19842  0.00055103
          54     1.20493     1.19854 0.000553844
          55     1.19407     1.19846 0.000549706
          56     1.19602     1.19842 0.000541612
          57     1.20435     1.19852 0.000542008
          58      1.2008     1.19856 0.000534085
          59     1.19775     1.19854 0.000525209
          60      1.2039     1.19863 0.000523988
          61     1.19686     1.19861 0.000516207
          62     1.20444      1.1987 0.000516389
          63     1.19561     1.19865 0.000510515
          64     1.20166      1.1987 0.000504701
          65     1.20405     1.19878 0.000503622
          66     1.19687     1.19875 0.000496827
          67     1.19892     1.19875 0.000489417
          68     1.19595     1.19871 0.000483956
          69     1.20681     1.19883 0.000490969
          70     1.19421     1.19876 0.000488377
          71     1.20349     1.19883 0.000486012
          72     1.19521     1.19878 0.000481861
          73     1.20042      1.1988 0.000475783
          74     1.19309     1.19872 0.000475573
          75     1.20225     1.19877 0.000471554
          76      1.1953     1.19873 0.000467551
          77     1.20855     1.19885 0.000478553
          78     1.19769     1.19884 0.000472652
          79     1.19988     1.19885 0.000466853
          80     1.19592     1.19882 0.000462453
          81     1.19653     1.19879 0.000457605
          82     1.20958     1.19892 0.000470557
          83     1.19804     1.19891 0.000465007
          84     1.19469     1.19886 0.000462177
          85     1.20008     1.19887 0.000456963
          86     1.19263      1.1988 0.000457375
          87     1.20354     1.19885 0.000455355
          88     1.20229     1.19889 0.000451847
          89     1.19864     1.19889 0.000446779
          90     1.20133     1.19892 0.000442634
          91     1.20259     1.19896 0.000439604
          92     1.19726     1.19894 0.000435213
          93     1.19788     1.19893 0.000430683
          94     1.20244     1.19897 0.000427717
          95     1.19607     1.19893 0.000424295
          96     1.19191     1.19886 0.000426147
          97     1.20362     1.19891 0.000424566
          98     1.20152     1.19894 0.000421066
          99     1.19412     1.19889 0.000419613
         100     1.19646     1.19886  0.00041612
         101     1.20018     1.19888 0.000412204
         102     1.19736     1.19886  0.00040843
         103     1.20446     1.19892 0.000408068
         104     1.20116     1.19894 0.000404716
         105     1.19773     1.19893 0.000401025
         106     1.19967     1.19893 0.000397304
         107     1.20419     1.19898 0.000396617
         108     1.19658     1.19896 0.000393566
         109      1.1967     1.19894 0.000390502
         110     1.20259     1.19897  0.00038836
         111     1.19722     1.19896 0.000385182
         112     1.19724     1.19894 0.000382049
         113     1.20215     1.19897 0.000379722
         114     1.19441     1.19893 0.000378491
         115     1.20365     1.19897 0.000377416
         116     1.19829     1.19897 0.000374208
         117     1.19867     1.19896 0.000371018
         118     1.20248     1.19899 0.000369071
         119      1.1984     1.19899 0.000366003
         120     1.19117     1.19892 0.000368702
