#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1    -7.52422    -7.52422           0
           2    -7.52548    -7.52485  0.00044502
           3    -7.53645    -7.52872   0.0031702
           4    -7.52276    -7.52723  0.00270481
           5    -7.52237    -7.52625  0.00233205
           6    -7.51825    -7.52492  0.00229372
           7    -7.52383    -7.52476  0.00197131
           8    -7.52145    -7.52435  0.00176801
           9     -7.5219    -7.52408  0.00159234
          10    -7.52956    -7.52463  0.00152458
          11    -7.52562    -7.52472  0.00138868
          12    -7.52803    -7.52499  0.00130019
          13    -7.52166    -7.52474  0.00122519
          14    -7.52144     -7.5245  0.00116014
          15    -7.52325    -7.52442  0.00108577
          16     -7.5228    -7.52432  0.00102261
          17    -7.52371    -7.52428  0.00096307
          18    -7.52465     -7.5243  0.00090979
          19    -7.52124    -7.52414 0.000876092
          20    -7.52536     -7.5242 0.000834413
          21    -7.52701    -7.52434 0.000805297
          22    -7.52425    -7.52433 0.000768703
          23    -7.53586    -7.52483 0.000883775
          24    -7.52336    -7.52477 0.000849079
          25    -7.51897    -7.52454  0.00084625
          26    -7.52503    -7.52456 0.000813913
          27    -7.52436    -7.52455 0.000783803
          28    -7.52197    -7.52446 0.000761187
          29    -7.52346    -7.52442 0.000735719
          30    -7.52709    -7.52451 0.000716546
          31    -7.52537    -7.52454 0.000693966
          32     -7.5284    -7.52466 0.000682681
          33    -7.52208    -7.52458 0.000666449
          34    -7.52415    -7.52457  0.00064697
          35    -7.52298    -7.52452 0.000630082
          36     -7.5266    -7.52458 0.000615214
          37    -7.52489    -7.52459 0.000598644
          38     -7.5313    -7.52477 0.000608381
          39    -7.52957    -7.52489 0.000605123
          40    -7.52419    -7.52487 0.000590248
          41    -7.52628    -7.52491 0.000576845
          42    -7.52609    -7.52494 0.000563797
          43    -7.52407    -7.52492 0.000551043
          44    -7.52387    -7.52489 0.000539028
          45    -7.52753    -7.52495 0.000530233
          46    -7.52247     -7.5249 0.000521451
          47    -7.51761    -7.52474 0.000532914
          48    -7.52297     -7.5247 0.000523089
          49    -7.52359    -7.52468 0.000512906
          50    -7.51441    -7.52448 0.000542199
          51    -7.52431    -7.52447 0.000531577
          52     -7.5304    -7.52459 0.000533448
          53     -7.5132    -7.52437 0.000564989
          54    -7.53043    -7.52448  0.00056556
          55    -7.52007     -7.5244 0.000560953
          56    -7.52141    -7.52435 0.000553471
          57    -7.53025    -7.52445 0.000553355
          58    -7.52687     -7.5245 0.000545386
          59    -7.52388    -7.52449 0.000536243
          60     -7.5301    -7.52458 0.000535416
          61    -7.52327    -7.52456 0.000527065
          62    -7.53186    -7.52468 0.000531577
          63    -7.52245    -7.52464 0.000524317
          64    -7.52807    -7.52469  0.00051886
          65    -7.53053    -7.52478 0.000518589
          66    -7.52244    -7.52475 0.000511948
          67    -7.52513    -7.52475 0.000504339
          68    -7.52146    -7.52471 0.000499249
          69    -7.53244    -7.52482 0.000504457
          70    -7.51918    -7.52474 0.000503629
          71    -7.52943     -7.5248 0.000500863
          72    -7.52065    -7.52475 0.000497216
          73    -7.52604    -7.52476  0.00049072
          74    -7.51859    -7.52468 0.000491126
          75    -7.52967    -7.52475 0.000489064
          76    -7.52187    -7.52471 0.000484086
          77    -7.53453    -7.52484 0.000494333
          78    -7.52337    -7.52482 0.000488351
          79    -7.52546    -7.52483 0.000482236
          80    -7.52204    -7.52479 0.000477462
          81    -7.52182    -7.52475 0.000472974
          82    -7.53547    -7.52488 0.000484927
          83     -7.5244    -7.52488  0.00047912
          84    -7.52036    -7.52482 0.000476433
          85    -7.52642    -7.52484 0.000471197
          86    -7.51772    -7.52476 0.000472941
          87    -7.52988    -7.52482 0.000471149
          88    -7.52852    -7.52486 0.000467664
          89    -7.52438    -7.52486 0.000462441
          90    -7.52799    -7.52489 0.000458615
          91    -7.52835    -7.52493 0.000455145
          92    -7.52398    -7.52492 0.000450314
          93    -7.52334     -7.5249 0.000445793
          94    -7.52856    -7.52494 0.000442742
          95    -7.52145     -7.5249 0.000439601
          96    -7.51763    -7.52483  0.00044151
          97    -7.52926    -7.52487 0.000439317
          98    -7.52753     -7.5249 0.000435669
          99     -7.5201    -7.52485 0.000433961
         100    -7.52252    -7.52483 0.000430247
         101    -7.52629    -7.52484 0.000426229
         102    -7.52233    -7.52482 0.000422761
         103    -7.53072    -7.52488 0.000422526
         104    -7.52697     -7.5249 0.000418944
         105    -7.52383    -7.52489 0.000415078
         106    -7.52602     -7.5249 0.000411299
         107    -7.53051    -7.52495 0.000410791
         108    -7.52336    -7.52493 0.000407249
         109    -7.52423    -7.52493 0.000403565
         110    -7.52888    -7.52496 0.000401492
         111    -7.52366    -7.52495 0.000398047
         112     -7.5227    -7.52493 0.000395002
         113    -7.52861    -7.52496 0.000392843
         114    -7.52085    -7.52493  0.00039105
         115    -7.52986    -7.52497 0.000389992
         116    -7.52503    -7.52497  0.00038663
         117     -7.5249    -7.52497 0.000383326
         118    -7.52889      -7.525 0.000381517
         119    -7.52381    -7.52499 0.000378443
         120    -7.51701    -7.52493 0.000381088
