#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
           1   -0.760545   -0.760545           0
           2   -0.760444   -0.760495 3.57568e-05
           3   -0.753222    -0.75807   0.0019795
           4   -0.761785   -0.758999  0.00168846
           5   -0.761568   -0.759513  0.00142679
           6   -0.765514   -0.760513  0.00149914
           7    -0.76125   -0.760618  0.00128866
           8   -0.763163   -0.760936  0.00116619
           9   -0.763087   -0.761175  0.00106082
          10   -0.757884   -0.760846  0.00100451
          11   -0.760113   -0.760779 0.000915406
          12   -0.758954   -0.760627  0.00085167
          13   -0.762125   -0.760743 0.000793908
          14   -0.763037   -0.760906 0.000753921
          15   -0.761472   -0.760944 0.000704604
          16   -0.762438   -0.761037 0.000666721
          17   -0.761365   -0.761057  0.00062778
          18   -0.761459   -0.761079 0.000593301
          19   -0.762733   -0.761166 0.000568425
          20   -0.760779   -0.761147 0.000540333
          21   -0.759353   -0.761061  0.00052131
          22    -0.76072   -0.761046 0.000497845
          23   -0.752996   -0.760696 0.000586464
          24   -0.762115   -0.760755 0.000565002
          25   -0.764833   -0.760918 0.000565463
          26   -0.760501   -0.760902 0.000543942
          27   -0.761065   -0.760908 0.000523829
          28   -0.762354    -0.76096 0.000507661
          29   -0.761494   -0.760978 0.000490489
          30   -0.759001   -0.760912 0.000478546
          31   -0.760942   -0.760913  0.00046311
          32    -0.75874   -0.760845  0.00045359
          33   -0.763074   -0.760913 0.000444844
          34   -0.761519   -0.760931 0.000432117
          35   -0.762102   -0.760964 0.000421065
          36   -0.759639   -0.760927 0.000410974
          37   -0.760813   -0.760924 0.000399878
          38   -0.756808   -0.760816  0.00040376
          39   -0.757999   -0.760744 0.000399815
          40   -0.760891   -0.760747 0.000389837
          41   -0.759402   -0.760715 0.000381708
          42   -0.760699   -0.760714  0.00037262
          43   -0.761501   -0.760732 0.000364403
          44   -0.761582   -0.760752 0.000356632
          45   -0.758663   -0.760705 0.000351714
          46   -0.762499   -0.760744 0.000346223
          47    -0.76528   -0.760841 0.000352046
          48   -0.761679   -0.760858 0.000345145
          49   -0.762311   -0.760888 0.000339372
          50   -0.767625   -0.761023 0.000358337
          51    -0.76162   -0.761034 0.000351502
          52   -0.756573   -0.760949 0.000355061
          53   -0.768712   -0.761095 0.000377371
          54   -0.756603   -0.761012 0.000379443
          55   -0.764118   -0.761068 0.000376722
          56   -0.762708   -0.761098 0.000371131
          57   -0.757173   -0.761029 0.000370952
          58   -0.759334      -0.761 0.000365706
          59   -0.761479   -0.761008 0.000359598
          60   -0.757193   -0.760944  0.00035918
          61   -0.761971   -0.760961 0.000353686
          62   -0.756709   -0.760892 0.000354569
          63   -0.762981   -0.760926 0.000350487
          64   -0.758872   -0.760893 0.000346476
          65   -0.757287   -0.760838 0.000345558
          66   -0.762081   -0.760857 0.000340836
          67   -0.760878   -0.760857 0.000335749
          68   -0.762643   -0.760883 0.000331837
          69   -0.755288   -0.760802  0.00033679
          70   -0.763934   -0.760847 0.000334937
          71   -0.757544   -0.760801 0.000333435
          72   -0.763292   -0.760835 0.000330594
          73   -0.759869   -0.760822  0.00032633
          74   -0.764693   -0.760874 0.000326086
          75   -0.758536   -0.760843 0.000323225
          76   -0.763276   -0.760875 0.000320553
          77   -0.754263   -0.760789 0.000327689
          78   -0.761431   -0.760797 0.000323591
          79   -0.759956   -0.760787  0.00031967
          80   -0.762837   -0.760812 0.000316699
          81   -0.762393   -0.760832  0.00031339
          82   -0.753559   -0.760743 0.000321873
          83   -0.761436   -0.760752 0.000318103
          84   -0.763692   -0.760787 0.000316237
          85   -0.760197    -0.76078 0.000312592
          86   -0.765243   -0.760832 0.000313237
          87   -0.757626   -0.760795 0.000311796
          88   -0.758488   -0.760768 0.000309353
          89   -0.760971   -0.760771 0.000305885
          90   -0.759133   -0.760753 0.000303027
          91   -0.758293   -0.760726   0.0003009
          92   -0.761992   -0.760739 0.000297944
          93   -0.761378   -0.760746  0.00029482
          94   -0.758472   -0.760722 0.000292675
          95   -0.762435    -0.76074 0.000290148
          96   -0.765395   -0.760788 0.000291149
          97   -0.757601   -0.760756 0.000289996
          98   -0.759223    -0.76074 0.000287458
          99   -0.763947   -0.760772 0.000286374
         100   -0.762401   -0.760789 0.000283973
         101   -0.759973   -0.760781 0.000281277
         102   -0.761872   -0.760791 0.000278722
         103   -0.756828   -0.760753  0.00027866
         104   -0.759222   -0.760738 0.000276369
         105   -0.761527   -0.760746 0.000273839
         106   -0.760039   -0.760739 0.000271337
         107   -0.757086   -0.760705  0.00027094
         108   -0.762173   -0.760718 0.000268772
         109   -0.762346   -0.760733 0.000266721
         110   -0.758355   -0.760712 0.000265171
         111    -0.76182   -0.760722  0.00026297
         112   -0.761983   -0.760733 0.000260863
         113   -0.758517   -0.760713  0.00025929
         114   -0.763911   -0.760741 0.000258529
         115   -0.757469   -0.760713 0.000257842
         116   -0.761332   -0.760718 0.000255675
         117   -0.760906    -0.76072 0.000253495
         118   -0.758318     -0.7607 0.000252162
         119    -0.76109   -0.760703 0.000250064
         120   -0.766184   -0.760748 0.000252117
