#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1    0.799364    0.799364           0
           2    0.799572    0.799468 7.36509e-05
           3    0.806571    0.801836  0.00193385
           4    0.798306    0.800953  0.00163945
           5    0.798439     0.80045  0.00138658
           6    0.794705    0.799493  0.00144885
           7    0.798911     0.79941  0.00124425
           8    0.796998    0.799108  0.00112466
           9    0.797094    0.798884  0.00102173
          10    0.802043      0.7992 0.000967145
          11     0.79997     0.79927 0.000881749
          12    0.801019    0.799416 0.000820219
          13    0.797797    0.799291 0.000766518
          14    0.797162    0.799139 0.000726698
          15    0.798596    0.799103 0.000679154
          16    0.797795    0.799021 0.000641608
          17    0.798774    0.799007 0.000604032
          18    0.798734    0.798992 0.000570664
          19     0.79722    0.798898 0.000548192
          20    0.799144    0.798911 0.000520921
          21    0.800734    0.798998 0.000503295
          22    0.799184    0.799006  0.00048049
          23    0.806746    0.799343 0.000565279
          24    0.797747    0.799276 0.000545622
          25    0.795181    0.799112 0.000547827
          26    0.799594    0.799131 0.000527071
          27    0.798967    0.799125 0.000507584
          28    0.797565    0.799069 0.000492502
          29    0.798588    0.799052 0.000475799
          30    0.801092     0.79912 0.000464773
          31    0.799187    0.799123 0.000449785
          32    0.801406    0.799194 0.000441353
          33    0.797141    0.799132 0.000432343
          34    0.798397     0.79911 0.000420167
          35      0.7979    0.799076 0.000409581
          36    0.800277    0.799109 0.000399561
          37    0.799107    0.799109 0.000388762
          38    0.802993    0.799211 0.000391736
          39    0.802017    0.799283 0.000388241
          40    0.799205    0.799281  0.00037854
          41    0.800519    0.799311 0.000370509
          42    0.799403    0.799313 0.000361694
          43    0.798642    0.799298  0.00035362
          44    0.798558    0.799281 0.000345982
          45    0.801343    0.799327 0.000341313
          46    0.797329    0.799283 0.000336645
          47     0.79476    0.799187 0.000342962
          48    0.798321    0.799169 0.000336291
          49    0.797775    0.799141  0.00033063
          50    0.792679    0.799011 0.000348362
          51    0.798561    0.799003 0.000341643
          52    0.803483    0.799089 0.000345769
          53    0.791548    0.798946 0.000367353
          54    0.803284    0.799027 0.000369229
          55    0.796047    0.798973 0.000366471
          56    0.797347    0.798944 0.000361074
          57    0.802897    0.799013 0.000361339
          58    0.800532    0.799039 0.000356057
          59      0.7985     0.79903 0.000350139
          60    0.802601    0.799089 0.000349326
          61    0.797905     0.79907 0.000344138
          62     0.80296    0.799133 0.000344259
          63    0.797074      0.7991 0.000340343
          64    0.801108    0.799131 0.000336468
          65    0.802703    0.799186 0.000335748
          66     0.79791    0.799167 0.000331218
          67    0.799277    0.799169 0.000326278
          68    0.797298    0.799141 0.000322637
          69     0.80454    0.799219 0.000327313
          70    0.796137    0.799175 0.000325585
          71    0.802326     0.79922 0.000324008
          72    0.796804    0.799186 0.000321241
          73    0.800279    0.799201 0.000317189
          74    0.795393     0.79915 0.000317049
          75    0.801502    0.799181 0.000314369
          76    0.796869    0.799151 0.000311701
          77    0.805697    0.799236 0.000319035
          78    0.798458    0.799226 0.000315101
          79    0.799922    0.799235 0.000311236
          80    0.797281     0.79921 0.000308302
          81    0.797685    0.799191  0.00030507
          82    0.806384    0.799279 0.000313705
          83    0.798694    0.799272 0.000310005
          84    0.796458    0.799238 0.000308118
          85    0.800052    0.799248 0.000304642
          86    0.795088      0.7992 0.000304917
          87    0.802361    0.799236  0.00030357
          88    0.801524    0.799262 0.000301231
          89    0.799096     0.79926 0.000297853
          90    0.800885    0.799278  0.00029509
          91    0.801725    0.799305 0.000293069
          92    0.798173    0.799293 0.000290142
          93    0.798585    0.799285 0.000287122
          94    0.801625     0.79931 0.000285144
          95    0.797383     0.79929 0.000282863
          96    0.794603    0.799241 0.000284098
          97    0.802412    0.799274 0.000283044
          98    0.801012    0.799291 0.000280711
          99    0.796081    0.799259 0.000279742
         100    0.797639    0.799243 0.000277413
         101    0.800121    0.799251 0.000274803
         102    0.798243    0.799242 0.000272287
         103    0.802975    0.799278 0.000272045
         104    0.800777    0.799292 0.000269811
         105    0.798487    0.799285  0.00026735
         106    0.799781    0.799289 0.000264869
         107    0.802794    0.799322 0.000264411
         108    0.797723    0.799307 0.000262377
         109    0.797799    0.799293 0.000260334
         110    0.801728    0.799316 0.000258907
         111    0.798148    0.799305 0.000256788
         112    0.798158    0.799295 0.000254699
         113    0.801435    0.799314 0.000253148
         114    0.796274    0.799287 0.000252328
         115    0.802432    0.799314 0.000251611
         116    0.798863     0.79931 0.000249472
         117    0.799114    0.799309 0.000247345
         118    0.801655    0.799329 0.000246047
         119    0.798934    0.799325 0.000244002
         120    0.794115    0.799282 0.000245802
