AVERAGE     ERRORE: 
-0.444871           0
-0.444503 0.000367257
-0.444805 0.000368475
-0.444861 0.000266576
-0.443745   0.0011349
-0.443246  0.00105237
-0.443458 0.000914272
-0.443403 0.000793662
-0.44307 0.000775094
-0.443178 0.000701602
-0.44307 0.000643767
-0.442987 0.000593497
-0.442873 0.000557682
-0.442824 0.000518634
-0.442988  0.00050981
-0.442815 0.000507259
-0.4427 0.000490116
-0.442868 0.000491699
-0.442887 0.000465482
-0.442913 0.000442352
-0.442958 0.000423149
-0.442848 0.000418302
-0.442737 0.000414804
-0.442592 0.000422835
-0.442697 0.000419109
-0.443003 0.000505318
-0.44293 0.000491642
-0.442845  0.00048126
-0.442827 0.000464734
-0.442814 0.000449152
-0.442777 0.000436001
-0.442763 0.000422395
-0.442832 0.000415102
-0.442872 0.000404744
-0.442882 0.000393137
-0.442961 0.000390198
-0.442955 0.000379553
-0.44303 0.000376937
-0.442906 0.000387618
-0.442972 0.000383502
-0.442934 0.000375934
-0.443002 0.000373152
-0.443014 0.000364562
-0.443071 0.000360691
-0.443036 0.000354336
-0.443139 0.000361688
-0.4431 0.000356116
-0.443165 0.000354766
-0.443174 0.000347562
-0.443118 0.000345208
-0.443181 0.000344168
-0.443165 0.000337819
-0.443149 0.000331781
-0.443186 0.000327659
-0.443186 0.000321646
-0.443225 0.000318214
-0.443201 0.000313468
-0.443213 0.000308229
-0.443203 0.000303119
-0.443215 0.000298273
-0.443158 0.000298915
-0.443085    0.000303
-0.443093 0.000298282
-0.443092 0.000293586
-0.443138 0.000292633
-0.44308 0.000293954
-0.443118 0.000292002
-0.443057  0.00029411
-0.443046  0.00029002
-0.443028 0.000286423
-0.443009  0.00028298
-0.442973 0.000281355
-0.442947 0.000278711
-0.442949 0.000274926
-0.442967  0.00027187
-0.442991 0.000269319
-0.443001 0.000265971
-0.442996 0.000262569
-0.442943 0.000264751
-0.442937 0.000261473
-0.442932 0.000258292
-0.442948 0.000255657
-0.442948 0.000252559
-0.442935 0.000249854
-0.442909 0.000248283
-0.44294  0.00024743
-0.442929  0.00024482
-0.44292 0.000242188
-0.442892 0.000241105
-0.442895 0.000238432
-0.442899 0.000235823
-0.442876 0.000234399
-0.442896 0.000232731
-0.442864  0.00023236
-0.442854 0.000230154
-0.44284 0.000228126
-0.44284 0.000225763
-0.442872 0.000225711
-0.442877 0.000223476
-0.442912 0.000224036
